Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexei Tezikov,VAN,D,15,0,0,0,1.0,72,3:29,0,0,2,0.0,,,,,,0,0,0.0
Andrew Cassels,VAN,C,82,23,44,67,18.0,26,19:21,6,7,183,12.6,,,,,,0,0,0.0
Artem Chubarov,VAN,C,40,5,5,10,10.0,53,12:03,2,2,43,11.6,,,,,,0,0,0.0
Brad Leeb,VAN,RW,3,0,1,1,-2.0,2,12:17,0,0,0,0.0,,,,,,0,0,0.0
Brendan Morrison,VAN,C,72,36,49,85,21.0,110,19:39,14,16,203,17.7,,,,,,0,0,0.0
Brent Sopel,VAN,D,79,9,23,32,1.0,32,12:21,4,5,117,7.7,,,,,,0,0,0.0
Bryan Allen,VAN,D,2,0,0,0,2.0,0,11:46,0,0,0,0.0,,,,,,0,0,0.0
Bryan Helmer,VAN,D,81,1,10,11,15.0,50,20:02,0,1,48,2.1,,,,,,0,0,0.0
Daniel Sedin,VAN,LW,82,13,20,33,4.0,111,14:03,1,0,103,12.6,,,,,,0,0,0.0
Denis Pederson RW *,VAN,,61,1,6,7,8.0,68,16:56,0,0,38,2.6,,,,,,0,0,0.0
Donald Brashear LW *,VAN,,34,8,7,15,9.0,10,15:26,2,1,67,11.9,,,,,,0,0,0.0
Drake Berehowsky D *,VAN,,18,3,2,5,0.0,2,9:09,2,0,17,17.6,,,,,,0,0,0.0
Ed Jovanovski,VAN,D,53,11,39,50,5.0,22,17:26,7,17,64,17.2,,,,,,0,0,0.0
Harold Druken,VAN,C,49,2,7,9,-1.0,74,10:11,0,0,37,5.4,,,,,,0,0,0.0
Henrik Sedin,VAN,C,81,10,26,36,16.0,56,25:16,4,11,193,5.2,,,,,,0,0,0.0
Herbert Vasiljevs,VAN,C,14,2,4,6,4.0,12,9:01,0,0,18,11.1,,,,,,0,0,0.0
Jan Hlavac LW *,VAN,,66,8,17,25,21.0,44,19:01,1,7,116,6.9,,,,,,0,0,0.0
Jarkko Ruutu,VAN,LW,51,5,5,10,-3.0,10,12:37,0,0,73,6.8,,,,,,0,0,0.0
Jason Strudwick,VAN,D,29,1,5,6,-2.0,31,8:17,0,0,24,4.2,,,,,,0,0,0.0
Justin Kurtz,VAN,D,27,4,4,8,-1.0,6,11:08,1,2,33,12.1,,,,,,0,0,0.0
Matt Cooke,VAN,LW,64,12,22,34,-3.0,65,19:22,2,5,122,9.8,,,,,,0,0,0.0
Mattias Ohlund,VAN,D,82,17,31,48,-7.0,101,25:10,7,18,202,8.4,,,,,,0,0,0.0
Mike Brown,VAN,LW,2,0,0,0,1.0,0,9:34,0,0,1,0.0,,,,,,0,0,0.0
Murray Baron,VAN,D,27,3,5,8,-4.0,14,15:57,2,4,30,10.0,,,,,,0,0,0.0
Scott Lachance,VAN,D,31,5,8,13,-8.0,90,13:57,1,4,45,11.1,,,,,,0,0,0.0
Steve Kariya,VAN,LW,25,1,2,3,-5.0,18,13:28,0,0,15,6.7,,,,,,0,0,0.0
Todd Bertuzzi,VAN,RW,81,40,50,90,22.0,50,19:30,8,23,302,13.2,,,,,,0,0,0.0
Todd Warriner LW *,VAN,,44,2,4,6,4.0,96,9:44,0,0,13,15.4,,,,,,0,0,0.0
Total,VAN,,11,0,0,0,1.0,6,10:46,0,0,4,0.0,,,,,,0,0,0.0
Trent Klatt,VAN,RW,42,7,10,17,2.0,15,12:47,1,1,65,10.8,,,,,,0,0,0.0
Trevor Letowski RW *,VAN,,46,9,12,21,4.0,10,14:46,1,1,70,12.9,,,,,,0,0,0.0
Trevor Linden C *,VAN,,82,16,20,36,9.0,36,12:48,3,6,78,20.5,,,,,,0,0,0.0
