Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Oates,ANA,C,82,20,38,58,-14.0,12,21:05,6,17,194,10.3,,,,,,0,0,0.0
Alexei Smirnov,ANA,RW,70,3,4,7,-9.0,40,9:24,0,0,52,5.8,,,,,,0,0,0.0
Andy McDonald,ANA,C,81,4,18,22,8.0,65,22:33,0,0,87,4.6,,,,,,0,0,0.0
Cam Severson,ANA,D,29,0,1,1,-2.0,43,7:08,0,0,18,0.0,,,,,,0,0,0.0
Chris O'Sullivan,ANA,D,16,1,1,2,0.0,44,4:58,0,0,8,12.5,,,,,,0,0,0.0
Dan Bylsma,ANA,RW,44,3,2,5,-1.0,18,8:49,0,0,46,6.5,,,,,,0,0,0.0
Fredrik Olausson,ANA,D,80,2,6,8,-8.0,76,14:10,0,0,65,3.1,,,,,,0,0,0.0
Jason Krog,ANA,C,57,9,19,28,-8.0,34,16:56,1,8,122,7.4,,,,,,0,0,0.0
Jonathan Hedstrom,ANA,RW,2,0,0,0,0.0,8,6:44,0,0,1,0.0,,,,,,0,0,0.0
Keith Carney,ANA,D,67,10,15,25,1.0,12,13:47,0,1,92,10.9,,,,,,0,0,0.0
Kevin Sawyer,ANA,LW,12,2,2,4,3.0,15,15:20,1,0,21,9.5,,,,,,0,0,0.0
Kurt Sauer,ANA,D,31,2,1,3,-2.0,115,6:05,0,0,11,18.2,,,,,,0,0,0.0
Lance Ward D *,ANA,,10,1,0,1,1.0,2,8:34,0,0,7,14.3,,,,,,0,0,0.0
Marc Chouinard,ANA,C,44,2,6,8,0.0,22,14:26,2,3,38,5.3,,,,,,0,0,0.0
Matt Cullen C *,ANA,,46,10,11,21,-1.0,14,18:30,3,3,92,10.9,,,,,,0,0,0.0
Mike Brown,ANA,LW,80,1,2,3,-23.0,74,18:32,0,0,50,2.0,,,,,,0,0,0.0
Mike Leclerc,ANA,LW,79,12,18,30,4.0,54,13:35,3,7,114,10.5,,,,,,0,0,0.0
Niclas Havelid,ANA,D,67,9,36,45,-1.0,16,18:38,4,16,67,13.4,,,,,,0,0,0.0
Patric Kjellberg,ANA,LW,50,7,14,21,-4.0,12,14:18,1,6,77,9.1,,,,,,0,0,0.0
Pavel Trnka D *,ANA,,61,4,8,12,2.0,78,21:53,0,0,93,4.3,,,,,,0,0,0.0
Petr Sykora,ANA,RW,82,25,56,81,-3.0,48,20:17,11,24,257,9.7,,,,,,0,0,0.0
Rob Niedermayer C *,ANA,,39,1,4,5,-1.0,12,9:28,0,0,23,4.3,,,,,,0,0,0.0
Rob Valicevic,ANA,C,2,0,1,1,0.0,0,12:45,0,1,3,0.0,,,,,,0,0,0.0
Ruslan Salei,ANA,D,12,10,3,13,10.0,2,13:41,1,0,27,37.0,,,,,,0,0,0.0
Samuel Pahlsson,ANA,C,31,5,13,18,10.0,16,22:08,1,3,54,9.3,,,,,,0,0,0.0
Sandis Ozolinsh D *,ANA,,76,8,11,19,-9.0,16,15:37,2,1,95,8.4,,,,,,0,0,0.0
Stanislav Chistov,ANA,LW,82,11,22,33,5.0,30,22:29,4,11,169,6.5,,,,,,0,0,0.0
Steve Rucchin,ANA,LW,82,34,25,59,-7.0,24,18:28,15,8,299,11.4,,,,,,0,0,0.0
Steve Thomas RW *,ANA,,34,4,11,15,10.0,18,13:19,0,0,28,14.3,,,,,,0,0,0.0
Total,ANA,,4,0,0,0,-1.0,0,7:50,0,0,3,0.0,,,,,,0,0,0.0
Vitaly Vishnevski,ANA,D,24,3,6,9,2.0,6,15:59,1,1,33,9.1,,,,,,0,0,0.0
