Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Mair,BUF,C,63,8,12,20,-7,25,15:35,1,0,98,8.2,,,,,,0,0,0.0
Ales Kotalik,BUF,RW,68,4,24,28,-13,102,25:01,2,12,134,3.0,,,,,,0,0,0.0
Alexei Zhitnik,BUF,LW,73,17,14,31,-4,57,13:45,3,3,148,11.5,,,,,,0,0,0.0
Andrew Peters,BUF,LW,14,0,3,3,-3,19,18:21,0,0,35,0.0,,,,,,0,0,0.0
Andy Delmore,BUF,D,14,1,8,9,10,4,17:29,0,1,18,5.6,,,,,,0,0,0.0
Brad Brown D *,BUF,,42,2,0,2,-3,151,4:10,0,0,19,10.5,,,,,,0,0,0.0
Brian Campbell,BUF,D,54,6,6,12,-2,22,10:10,0,0,50,12.0,,,,,,0,0,0.0
Chris Drury,BUF,C,77,22,31,53,-9,40,17:00,10,7,156,14.1,,,,,,0,0,0.0
Chris Taylor,BUF,C,49,9,10,19,-8,12,15:18,1,3,71,12.7,,,,,,0,0,0.0
Curtis Brown C *,BUF,,62,15,11,26,-1,41,15:10,2,1,142,10.6,,,,,,0,0,0.0
Derek Roy,BUF,C,81,6,14,20,-3,146,9:38,1,0,82,7.3,,,,,,0,0,0.0
Dmitri Kalinin,BUF,D,64,15,37,52,17,49,18:59,2,13,174,8.6,,,,,,0,0,0.0
Domenic Pittis,BUF,C,1,0,0,0,0,0,14:22,0,0,3,0.0,,,,,,0,0,0.0
Doug Janik,BUF,D,4,0,0,0,-1,4,11:36,0,0,3,0.0,,,,,,0,0,0.0
Eric Boulton,BUF,LW,19,2,1,3,0,14,11:24,1,1,20,10.0,,,,,,0,0,0.0
Henrik Tallinder,BUF,D,55,4,7,11,11,12,18:58,0,1,44,9.1,,,,,,0,0,0.0
J.P. Dumont,BUF,RW,82,29,28,57,-15,30,20:02,11,15,206,14.1,,,,,,0,0,0.0
James Patrick,BUF,D,60,4,7,11,-5,44,19:02,2,2,78,5.1,,,,,,0,0,0.0
Jason Botterill,BUF,LW,43,2,3,5,6,41,17:44,0,0,29,6.9,,,,,,0,0,0.0
Jason Pominville,BUF,RW,2,0,0,0,0,2,8:20,0,0,2,0.0,,,,,,0,0,0.0
Jay McKee,BUF,D,37,2,5,7,-5,29,15:11,2,1,40,5.0,,,,,,0,0,0.0
Jeff Jillson D *,BUF,,44,1,2,3,-2,110,4:52,0,0,20,5.0,,,,,,0,0,0.0
Jochen Hecht,BUF,C,76,18,35,53,8,68,18:04,5,11,152,11.8,,,,,,0,0,0.0
Maxim Afinogenov,BUF,RW,77,10,24,34,0,42,23:05,2,13,118,8.5,,,,,,0,0,0.0
Mike Grier RW *,BUF,,23,1,8,9,1,18,12:52,0,0,30,3.3,,,,,,0,0,0.0
Milan Bartovic,BUF,LW,72,1,9,10,5,26,18:22,0,0,63,1.6,,,,,,0,0,0.0
Miroslav Satan,BUF,RW,82,28,37,65,-7,70,18:19,11,16,194,14.4,,,,,,0,0,0.0
Norm Milley,BUF,RW,13,0,2,2,3,12,16:32,0,0,6,0.0,,,,,,0,0,0.0
Rory Fitzpatrick,BUF,D,53,3,8,11,-8,12,16:01,0,1,45,6.7,,,,,,0,0,0.0
Taylor Pyatt,BUF,LW,68,9,12,21,2,30,16:36,2,1,117,7.7,,,,,,0,0,0.0
