Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Andy Sutton,WPG,D,58,9,15,24,2,68,10:04,1,1,,,,74,12.2,,,,2004-2005
Ben Simon,WPG,C,17,0,4,4,-1,16,13:52,0,0,,,,17,0.0,,,,2004-2005
Bill Lindsay,WPG,LW,5,0,0,0,0,17,3:36,0,0,,,,2,0.0,,,,2004-2005
Brad Larsen LW *,WPG,NAN,37,0,0,0,-8,25,8:00,0,0,,,,12,0.0,,,,2004-2005
Brian Swanson,WPG,C,12,0,1,1,0,10,6:38,0,0,,,,7,0.0,,,,2004-2005
Chris Tamer,WPG,D,71,1,9,10,-10,134,19:31,0,0,,,,42,2.4,,,,2004-2005
Daniel Corso,WPG,C,14,0,1,1,-3,4,9:56,0,1,,,,10,0.0,,,,2004-2005
Daniel Tjarnqvist,WPG,D,65,8,13,21,0,94,23:20,7,5,,,,102,7.8,,,,2004-2005
Dany Heatley,WPG,LW,67,3,26,29,2,30,23:19,2,16,,,,94,3.2,,,,2004-2005
Derek MacKenzie,WPG,C,2,0,1,1,1,0,10:14,0,0,,,,0,0.0,,,,2004-2005
Francis Lessard,WPG,RW,33,1,2,3,-7,22,10:07,0,1,,,,23,4.3,,,,2004-2005
Frantisek Kaberle,WPG,D,78,16,15,31,-9,123,14:16,0,2,,,,102,15.7,,,,2004-2005
Garnet Exelby,WPG,D,38,2,8,10,-13,13,21:35,1,2,,,,47,4.3,,,,2004-2005
Ivan Majesky,WPG,D,70,10,8,18,-18,22,14:36,2,3,,,,110,9.1,,,,2004-2005
J.P. Vigier,WPG,RW,68,5,15,20,-4,20,22:16,0,2,,,,65,7.7,,,,2004-2005
Jean-Luc Grand-Pierre RW *,WPG,NAN,38,2,5,7,-9,55,17:58,0,0,,,,40,5.0,,,,2004-2005
Jeff Cowan RW *,WPG,NAN,66,10,15,25,0,73,16:00,1,1,,,,97,10.3,,,,2004-2005
Kamil Piros C *,WPG,NAN,3,0,1,1,0,0,6:58,0,0,,,,1,0.0,,,,2004-2005
Karl Stewart,WPG,LW,2,0,1,1,0,0,6:35,0,0,,,,0,0.0,,,,2004-2005
Kip Brennan LW *,WPG,NAN,1,0,0,0,-1,0,8:28,0,0,,,,0,0.0,,,,2004-2005
Kurtis Foster,WPG,D,62,1,1,2,-5,181,4:27,0,0,,,,19,5.3,,,,2004-2005
Kyle Rossiter D *,WPG,NAN,2,0,1,1,0,0,6:38,0,0,,,,1,0.0,,,,2004-2005
Marc Savard,WPG,C,76,20,32,52,-12,74,20:20,6,16,,,,191,10.5,,,,2004-2005
Mike Weaver,WPG,D,5,0,1,1,0,4,4:27,0,0,,,,2,0.0,,,,2004-2005
Patrik Stefan,WPG,C,45,19,33,52,-8,85,22:19,6,12,,,,133,14.3,,,,2004-2005
Randy Robitaille,WPG,C,82,14,26,40,-7,26,16:28,3,5,,,,110,12.7,,,,2004-2005
Ronald Petrovicky,WPG,RW,69,11,26,37,-12,20,15:51,5,9,,,,121,9.1,,,,2004-2005
Serge Aubin,WPG,LW,31,13,12,25,-8,18,19:52,5,7,,,,83,15.7,,,,2004-2005
Shawn Heins,WPG,D,27,2,2,4,-7,26,15:24,0,0,,,,19,10.5,,,,2004-2005
Shawn McEachern,WPG,LW,81,41,46,87,-10,63,23:41,16,17,,,,341,12.0,,,,2004-2005
Simon Gamache LW *,WPG,NAN,7,0,1,1,-2,0,12:59,0,0,,,,2,0.0,,,,2004-2005
Tomas Kloucek D *,WPG,NAN,24,0,0,0,-6,25,5:55,0,0,,,,10,0.0,,,,2004-2005
Tommi Santala,WPG,C,16,3,0,3,0,6,10:26,0,0,,,,17,17.6,,,,2004-2005
Vyacheslav Kozlov,WPG,LW,82,17,38,55,5,76,20:13,5,13,,,,176,9.7,,,,2004-2005
Yannick Tremblay,WPG,D,63,3,7,10,-7,76,14:27,0,0,,,,35,8.6,,,,2004-2005
Zdenek Blatny,WPG,LW,52,3,0,3,-10,28,6:04,0,0,,,,30,10.0,,,,2004-2005
