Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Aaron Johnson,CBJ,D,18,3,6,9,-1.0,20,20:05,0,3,42,7.1,,,,,,0,0,0.0
Adam Foote,CBJ,D,78,6,22,28,1.0,133,22:34,1,13,113,5.3,,,,,,0,0,0.0
Alexandre Picard D *,CBJ,,39,0,0,0,-17.0,44,8:31,0,0,23,0.0,,,,,,0,0,0.0
Andy Delmore,CBJ,D,13,0,0,0,-4.0,4,5:38,0,0,7,0.0,,,,,,0,0,0.0
Ben Simon,CBJ,C,17,0,0,0,-2.0,14,9:08,0,0,10,0.0,,,,,,0,0,0.0
Bryan Berard,CBJ,D,75,10,23,33,-8.0,78,16:57,4,8,78,12.8,,,,,,2,0,0.0
Cale Hulse D *,CBJ,,4,1,2,3,1.0,0,18:12,0,0,2,50.0,,,,,,0,0,0.0
Cam Severson,CBJ,D,2,0,0,0,-2.0,0,10:35,0,0,3,0.0,,,,,,0,0,0.0
Dan Fritsche,CBJ,C,55,2,15,17,13.0,43,17:47,1,4,81,2.5,,,,,,0,0,0.0
Duvie Westcott,CBJ,D,81,10,18,28,-2.0,36,16:32,1,1,135,7.4,,,,,,4,2,50.0
Francois Beauchemin D *,CBJ,,27,0,3,3,-9.0,43,15:04,0,0,27,0.0,,,,,,0,0,0.0
Geoff Platt,CBJ,C,39,4,2,6,-3.0,58,9:03,0,0,38,10.5,,,,,,0,0,0.0
Geoff Sanderson LW *,CBJ,,11,0,2,2,-6.0,11,17:16,0,1,16,0.0,,,,,,0,0,0.0
Gilbert Brule,CBJ,C,18,0,4,4,-3.0,20,15:22,0,0,26,0.0,,,,,,1,0,0.0
Jamie Pushor,CBJ,D,7,2,2,4,-2.0,0,13:11,0,1,11,18.2,,,,,,0,0,0.0
Jan Hrdina,CBJ,C,62,12,31,43,-1.0,64,21:05,3,13,142,8.5,,,,,,4,0,0.0
Jaroslav Balastik,CBJ,LW,65,6,16,22,-16.0,89,24:33,2,2,67,9.0,,,,,,0,0,0.0
Jason Chimera,CBJ,LW,58,10,21,31,1.0,41,16:21,1,3,102,9.8,,,,,,0,0,0.0
Joakim Lindstrom,CBJ,F,4,0,0,0,0.0,5,3:05,0,0,2,0.0,,,,,,0,0,0.0
Jody Shelley,CBJ,LW,33,9,3,12,-1.0,22,11:38,3,1,54,16.7,,,,,,2,1,50.0
Joe Motzko,CBJ,LW,1,0,0,0,0.0,0,10:42,0,0,0,0.0,,,,,,0,0,0.0
Luke Richardson D *,CBJ,,79,1,7,8,-8.0,30,19:55,0,0,33,3.0,,,,,,0,0,0.0
Manny Malhotra,CBJ,C,44,12,20,32,-29.0,32,22:39,11,11,126,9.5,,,,,,1,0,0.0
Mark Hartigan,CBJ,C,59,6,7,13,-14.0,22,10:16,0,0,93,6.5,,,,,,1,0,0.0
Mike Rupp C *,CBJ,,44,1,6,7,-18.0,30,15:15,0,0,24,4.2,,,,,,0,0,0.0
Nikolay Zherdev,CBJ,RW,54,31,23,54,5.0,51,18:15,11,8,170,18.2,,,,,,8,3,37.5
Ole-Kristian Tollefsen,CBJ,D,3,0,0,0,0.0,0,5:11,0,0,4,0.0,,,,,,0,0,0.0
Peter Sarno,CBJ,C,2,0,0,0,-1.0,0,10:53,0,0,7,0.0,,,,,,0,0,0.0
Radoslav Suchy,CBJ,D,26,2,6,8,9.0,23,14:11,1,1,28,7.1,,,,,,0,0,0.0
Rick Nash,CBJ,LW,80,22,43,65,-9.0,50,20:41,5,27,145,15.2,,,,,,7,1,14.3
Ron Hainsey,CBJ,D,51,6,13,19,-4.0,75,21:26,2,7,84,7.1,,,,,,0,0,0.0
Rostislav Klesla,CBJ,D,66,12,10,22,-1.0,26,12:50,7,1,158,7.6,,,,,,9,6,66.7
Sergei Fedorov C *,CBJ,,73,27,27,54,-13.0,50,17:35,10,12,194,13.9,,,,,,3,1,33.3
Steven Goertzen,CBJ,RW,5,0,0,0,-2.0,2,16:18,0,0,3,0.0,,,,,,0,0,0.0
Todd Marchant C *,CBJ,,80,3,7,10,-4.0,163,5:58,0,1,39,7.7,,,,,,0,0,0.0
Total,CBJ,,7,0,0,0,-1.0,2,15:23,0,0,7,0.0,,,,,,0,0,0.0
Trevor Letowski,CBJ,RW,80,17,13,30,-10.0,95,12:40,1,0,127,13.4,,,,,,1,1,100.0
Tyler Wright RW *,CBJ,,15,0,5,5,-4.0,16,11:12,0,1,29,0.0,,,,,,0,0,0.0
