Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alexei Zhitnik,ATL,D,65,3,5,8,-8,58,1141.1846,0,2,0,1,1,79,0.03797,3,5,,2007-2008
Bobby Holik,ATL,C,82,15,19,34,-14,90,958.378,3,3,0,0,3,140,0.10714,12,27,0.58388,2007-2008
Boris Valabik,ATL,D,7,0,0,0,-2,42,1001.5714,0,0,0,0,0,5,0.0,0,0,,2007-2008
Brad Larsen,ATL,L,62,1,3,4,-17,12,541.5645,0,0,0,0,0,35,0.02857,1,4,0.41975,2007-2008
Brett Sterling,ATL,L,13,1,2,3,-2,14,743.6153,0,0,0,0,0,14,0.07142,1,3,0.66666,2007-2008
Bryan Little,ATL,C,48,6,10,16,-2,18,936.5625,2,0,0,0,1,76,0.07894,4,14,0.45148,2007-2008
Chris Thorburn,ATL,R,73,5,13,18,-4,92,536.2602,0,0,0,0,1,72,0.06944,5,18,0.6,2007-2008
Colby Armstrong,ATL,R,72,13,22,35,4,56,963.7777,1,1,0,0,3,113,0.11504,12,32,0.2,2007-2008
Colin Stuart,ATL,L,18,3,2,5,2,6,739.7222,0,0,1,0,1,19,0.15789,2,4,0.57142,2007-2008
Darren Haydar,ATL,R,16,1,7,8,4,2,705.5,0,2,0,0,0,14,0.07142,1,6,0.0,2007-2008
Eric Boulton,ATL,L,74,4,5,9,-10,127,446.9729,0,0,0,0,0,64,0.0625,4,9,0.25,2007-2008
Eric Perrin,ATL,C,81,12,33,45,-5,26,1069.6049,2,4,2,0,0,121,0.09917,8,29,0.52998,2007-2008
Erik Christensen,ATL,C,59,11,13,24,-10,30,800.8644,2,6,0,0,0,132,0.08333,9,16,0.58438,2007-2008
Garnet Exelby,ATL,D,79,2,5,7,-21,85,1133.2658,0,0,0,0,0,37,0.05405,2,7,,2007-2008
Ilya Kovalchuk,ATL,L,79,52,35,87,-12,52,1290.1645,16,14,2,1,4,283,0.18374,34,55,0.4375,2007-2008
Jim Slater,ATL,C,69,8,5,13,-10,41,623.5217,0,0,2,0,0,95,0.08421,6,11,0.52043,2007-2008
Joel Kwiatkowski,ATL,D,18,0,5,5,-5,20,1004.4444,0,1,0,0,0,24,0.0,0,4,,2007-2008
Jordan Lavallee-Smotherman,ATL,L,2,1,1,2,2,0,687.5,0,0,0,0,0,1,1.0,1,2,,2007-2008
Ken Klee,ATL,D,72,1,9,10,-5,60,1202.7777,0,0,0,0,0,56,0.01785,1,9,,2007-2008
Kevin Doell,ATL,C,8,0,1,1,-2,4,579.875,0,1,0,0,0,6,0.0,0,0,0.47169,2007-2008
Marian Hossa,ATL,R,72,29,37,66,-14,36,1281.5555,8,21,2,2,4,264,0.10984,19,35,0.26666,2007-2008
Mark Popovic,ATL,D,33,0,2,2,-4,10,868.4848,0,0,0,0,0,25,0.0,0,2,,2007-2008
Mark Recchi,ATL,R,72,14,34,48,-18,32,1072.1666,7,16,0,0,0,121,0.1157,7,25,0.46551,2007-2008
Niclas Havelid,ATL,D,81,1,13,14,2,42,1230.4197,0,0,0,0,0,54,0.01851,1,13,,2007-2008
Pascal Dupuis,ATL,R,78,12,15,27,0,32,911.7564,0,0,3,0,1,143,0.08391,9,23,0.3125,2007-2008
Steve McCarthy,ATL,D,55,1,6,7,-23,48,947.4545,0,1,0,0,0,41,0.02439,1,6,,2007-2008
Toby Enstrom,ATL,D,82,5,33,38,-5,42,1468.2073,4,22,0,0,0,105,0.04761,1,12,,2007-2008
Todd White,ATL,C,74,14,23,37,-12,36,1105.6756,6,5,1,2,4,111,0.12612,7,25,0.46569,2007-2008
Vyacheslav Kozlov,ATL,L,82,17,24,41,-10,26,956.2439,5,9,0,0,4,161,0.10559,12,27,0.45588,2007-2008
