Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alexandre Picard,PHI,D,24,3,3,6,-12,10,1225.0833,1,1,0,0,1,24,0.125,2,4,,2007-2008
Ben Eager,PHI,L,32,0,2,2,-9,89,348.2187,0,0,0,0,0,16,0.0,0,2,0.2,2007-2008
Braydon Coburn,PHI,D,92,9,33,42,21,88,1284.9239,5,11,0,0,2,137,0.06569,4,25,,2007-2008
Claude Giroux,PHI,R,2,0,0,0,-2,0,574.5,0,0,0,0,0,2,0.0,0,0,,2007-2008
Daniel Brière,PHI,C,96,40,48,88,-25,88,1127.3437,20,26,0,0,6,227,0.17621,20,41,0.50902,2007-2008
Denis Tolpeko,PHI,R,26,1,5,6,-4,24,496.7692,0,1,0,0,0,24,0.04166,1,5,,2007-2008
Derian Hatcher,PHI,D,59,3,7,10,6,73,1267.983,0,0,0,0,1,34,0.08823,3,9,,2007-2008
Jaroslav Modry,PHI,D,80,1,8,9,-9,50,1143.8875,0,2,0,0,0,56,0.01785,1,7,0.0,2007-2008
Jason Smith,PHI,D,94,1,11,12,-8,90,1062.6702,0,0,0,0,0,60,0.01666,1,12,1.0,2007-2008
Jeff Carter,PHI,C,99,35,29,64,6,67,1143.7373,10,11,2,0,6,332,0.10542,23,40,0.46845,2007-2008
Jesse Boulerice,PHI,R,5,0,0,0,-2,29,232.0,0,0,0,0,0,1,0.0,0,0,,2007-2008
Jim Dowd,PHI,C,90,6,7,13,0,45,511.8,0,0,1,0,0,52,0.11538,5,11,0.5421,2007-2008
Jim Vandermeer,PHI,D,75,3,14,17,6,110,1178.0266,2,1,0,0,0,72,0.04166,1,11,,2007-2008
Joffrey Lupul,PHI,L,73,24,32,56,3,37,1064.7123,9,17,0,1,4,222,0.1081,15,30,0.75,2007-2008
Kimmo Timonen,PHI,D,93,8,42,50,3,58,1423.9032,3,30,1,0,1,149,0.05369,4,15,,2007-2008
Kyle Greentree,PHI,L,2,0,0,0,-1,0,551.5,0,0,0,0,0,3,0.0,0,0,,2007-2008
Lasse Kukkonen,PHI,D,67,1,6,7,2,44,939.6417,0,2,0,0,0,37,0.02702,1,5,,2007-2008
Mike Knuble,PHI,R,94,32,30,62,-4,78,1131.9787,15,16,1,1,4,202,0.15841,16,30,0.41935,2007-2008
Mike Richards,PHI,C,90,35,54,89,14,86,1284.0777,9,29,7,1,6,265,0.13207,19,43,0.51037,2007-2008
Nate Guenin,PHI,D,2,0,0,0,2,2,596.5,0,0,0,0,0,0,,0,0,,2007-2008
Patrick Thoresen,PHI,L,14,0,2,2,1,4,562.2857,0,0,0,0,0,10,0.0,0,2,0.6,2007-2008
Patrick Thoresen,PHI,L,38,2,6,8,-10,14,705.1315,0,0,0,0,0,39,0.05128,2,8,0.41,2007-2008
R.J. Umberger,PHI,C,91,23,42,65,7,29,1060.6263,5,10,0,0,5,213,0.10798,18,45,0.39682,2007-2008
Randy Jones,PHI,D,87,5,28,33,14,62,1185.6896,1,12,0,0,0,124,0.04032,4,20,,2007-2008
Riley Cote,PHI,L,73,1,3,4,2,202,256.3013,0,1,0,0,0,17,0.05882,1,3,0.5,2007-2008
Rory Fitzpatrick,PHI,D,19,0,1,1,-12,11,763.6842,0,0,0,0,0,10,0.0,0,1,,2007-2008
Ryan Parent,PHI,D,26,0,1,1,-5,6,913.7692,0,0,0,0,0,11,0.0,0,1,,2007-2008
Ryan Potulny,PHI,C,7,0,1,1,0,4,390.4285,0,1,0,0,0,5,0.0,0,0,0.4375,2007-2008
Sami Kapanen,PHI,R,90,7,3,10,-16,18,772.1333,0,0,1,0,1,95,0.07368,6,9,0.40625,2007-2008
Scott Hartnell,PHI,L,97,27,23,50,0,179,963.3917,10,3,1,1,6,199,0.13567,16,35,0.40625,2007-2008
Scottie Upshall,PHI,R,78,17,20,37,3,118,808.1794,4,3,0,0,2,165,0.10303,13,30,0.28571,2007-2008
Simon Gagne,PHI,L,25,7,11,18,-8,4,1088.72,5,5,0,1,2,76,0.0921,2,7,0.5,2007-2008
Stefan Ruzicka,PHI,R,14,1,3,4,5,27,519.5,0,1,0,0,0,10,0.1,1,3,0.0,2007-2008
Steve Downie,PHI,R,38,6,7,13,0,83,555.1052,0,0,1,0,1,27,0.22222,5,12,0.33333,2007-2008
Vinny Prospal,PHI,L,17,3,10,13,-3,6,1008.7058,1,4,0,0,0,34,0.08823,2,8,0.60256,2007-2008
Vinny Prospal,PHI,L,80,33,38,71,0,45,1162.375,10,9,0,1,5,215,0.15348,23,52,0.55725,2007-2008
