Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Hall,PIT,RW,19,2,6,8,-2.0,12,16:28,2,2,36,5.6,,,,,,1,0,0.0
Alain Nasreddine,PIT,D,5,0,0,0,-2.0,0,8:41,0,0,3,0.0,,,,,,0,0,0.0
Alex Goligoski,PIT,D,36,0,3,3,6.0,4,19:38,0,0,28,0.0,,,,,,0,0,0.0
Brooks Orpik,PIT,D,45,5,7,12,2.0,8,9:35,1,2,56,8.9,,,,,,0,0,0.0
Chris Minard,PIT,LW,3,0,2,2,2.0,2,13:56,0,0,2,0.0,,,,,,0,0,0.0
Colby Armstrong RW *,PIT,,63,12,14,26,8.0,53,15:26,0,1,80,15.0,,,,,,0,0,0.0
Connor James,PIT,LW,6,0,1,1,-1.0,5,6:25,0,0,3,0.0,,,,,,0,0,0.0
Darryl Sydor,PIT,D,38,3,12,15,-3.0,40,13:20,1,2,41,7.3,,,,,,0,0,0.0
Erik Christensen C *,PIT,,54,9,15,24,6.0,50,15:24,0,0,84,10.7,,,,,,0,0,0.0
Gary Roberts,PIT,F,71,6,10,16,3.0,138,10:12,0,0,55,10.9,,,,,,6,3,50.0
Georges Laraque,PIT,RW,74,1,12,13,1.0,26,17:33,1,3,59,1.7,,,,,,0,0,0.0
Hal Gill D *,PIT,,71,0,5,5,3.0,26,18:44,0,0,28,0.0,,,,,,0,0,0.0
Jarkko Ruutu,PIT,LW,63,6,11,17,-1.0,23,18:09,1,8,68,8.8,,,,,,8,5,62.5
Jeff Taffe,PIT,F,16,2,10,12,4.0,8,16:49,0,0,32,6.3,,,,,,0,0,0.0
Jonathan Filewich,PIT,RW,1,0,0,0,-1.0,0,4:34,0,0,0,0.0,,,,,,0,0,0.0
Jordan Staal,PIT,C,76,12,28,40,-2.0,45,22:26,7,15,119,10.1,,,,,,1,0,0.0
Kris Beech C *,PIT,,13,0,0,0,0.0,2,7:40,0,0,3,0.0,,,,,,0,0,0.0
Kris Letang,PIT,D,55,10,9,19,2.0,35,12:13,1,3,104,9.6,,,,,,0,0,0.0
Marian Hossa RW *,PIT,,78,1,10,11,11.0,57,16:58,0,0,50,2.0,,,,,,0,0,0.0
Mark Eaton,PIT,D,18,1,3,4,6.0,16,17:31,0,0,17,5.9,,,,,,0,0,0.0
Mark Recchi RW *,PIT,,12,3,7,10,0.0,6,18:34,0,3,35,8.6,,,,,,0,0,0.0
Max Talbot,PIT,C,82,12,16,28,-5.0,55,18:16,3,4,183,6.6,,,,,,0,0,0.0
Nathan Smith,PIT,C,6,0,0,0,-4.0,4,12:53,0,0,3,0.0,,,,,,0,0,0.0
Pascal Dupuis RW *,PIT,,71,4,9,13,0.0,141,7:42,0,0,29,13.8,,,,,,0,0,0.0
Petr Sykora,PIT,RW,78,12,53,65,13.0,66,25:54,8,38,173,6.9,,,,,,1,0,0.0
Rob Scuderi,PIT,D,46,2,4,6,-2.0,24,11:52,0,1,39,5.1,,,,,,0,0,0.0
Ryan Malone,PIT,LW,81,28,35,63,1.0,41,16:50,15,12,201,13.9,,,,,,7,2,28.6
Ryan Stone,PIT,C,15,1,1,2,-1.0,10,3:52,0,1,9,11.1,,,,,,0,0,0.0
Ryan Whitney,PIT,D,77,27,24,51,14.0,103,19:05,11,5,159,17.0,,,,,,0,0,0.0
Sergei Gonchar,PIT,D,53,24,48,72,18.0,39,20:50,6,21,173,13.9,,,,,,7,2,28.6
Sidney Crosby,PIT,C,82,47,59,106,16.0,78,21:19,17,23,272,17.3,,,,,,5,0,0.0
Tim Brent,PIT,C,13,1,0,1,-2.0,2,7:25,1,0,9,11.1,,,,,,0,0,0.0
Total,PIT,,5,0,0,0,-1.0,2,8:14,0,0,6,0.0,,,,,,0,0,0.0
Tyler Kennedy,PIT,C,49,9,11,20,-3.0,28,12:38,2,4,109,8.3,,,,,,8,5,62.5
