Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Anthony Stewart,FLA,R,59,2,5,7,-6,34,458.7457,0,0,0,0,0,56,0.03571,2,6,0.33333,2008-2009
Brett McLean,FLA,C,80,7,12,19,-12,29,745.55,0,1,0,0,2,114,0.0614,7,18,0.43201,2008-2009
Bryan Allen,FLA,D,2,0,1,1,2,0,1631.0,0,0,0,0,0,5,0.0,0,1,,2008-2009
Bryan McCabe,FLA,D,69,15,24,39,-1,41,1388.2318,8,11,0,1,3,153,0.09803,7,20,,2008-2009
Cory Murphy,FLA,D,32,5,11,16,-4,14,1077.4375,4,6,0,0,0,55,0.0909,1,6,,2008-2009
Cory Stillman,FLA,L,63,17,32,49,1,37,995.4603,8,13,0,0,2,115,0.14782,9,28,0.36666,2008-2009
David Booth,FLA,L,72,31,29,60,10,38,1025.4861,11,5,0,1,5,246,0.12601,20,43,0.41176,2008-2009
Gregory Campbell,FLA,C,77,13,19,32,0,76,1007.0389,1,1,0,0,1,135,0.09629,12,29,0.5,2008-2009
Janis Sprukts,FLA,C,1,0,0,0,0,0,739.0,0,0,0,0,0,1,0.0,0,0,,2008-2009
Jason Garrison,FLA,D,1,0,0,0,0,0,717.0,0,0,0,0,0,0,,0,0,,2008-2009
Jassen Cullimore,FLA,D,68,2,8,10,-10,37,1007.9264,0,1,0,0,0,52,0.03846,2,9,,2008-2009
Jay Bouwmeester,FLA,D,82,15,27,42,-2,68,1619.2804,9,11,0,0,2,182,0.08241,6,21,,2008-2009
Kamil Kreps,FLA,C,66,4,15,19,2,18,838.4393,0,0,1,0,1,77,0.05194,3,18,0.50459,2008-2009
Karlis Skrastins,FLA,D,80,4,14,18,9,30,1233.6625,0,0,0,0,0,55,0.07272,4,17,,2008-2009
Keith Ballard,FLA,D,82,6,28,34,14,72,1343.0365,1,4,0,0,1,106,0.0566,5,28,0.0,2008-2009
Kenndal McArdle,FLA,L,3,0,0,0,-1,2,450.0,0,0,0,0,0,1,0.0,0,0,,2008-2009
Michael Frolik,FLA,R,79,21,24,45,10,22,888.481,1,11,0,0,2,158,0.13291,20,33,0.40298,2008-2009
Michal Repik,FLA,R,5,2,0,2,1,2,451.8,0,0,0,0,0,7,0.28571,2,2,1.0,2008-2009
Nathan Horton,FLA,R,67,22,23,45,-5,48,1071.3283,5,9,1,0,5,131,0.16793,16,30,0.43684,2008-2009
Nick Boynton,FLA,D,68,5,16,21,7,91,995.8676,0,3,0,0,1,104,0.04807,5,18,,2008-2009
Nick Tarnasky,FLA,L,45,1,6,7,-1,50,439.5111,0,0,0,0,0,38,0.02631,1,7,0.0,2008-2009
Noah Welch,FLA,D,40,1,1,2,-9,25,656.375,0,0,0,0,0,22,0.04545,1,2,,2008-2009
Radek Dvorak,FLA,R,81,15,21,36,0,42,986.1111,0,0,4,0,3,136,0.11029,11,32,0.35294,2008-2009
Richard Zednik,FLA,R,70,17,16,33,2,46,935.0428,3,1,0,1,4,153,0.11111,14,28,0.0,2008-2009
Rostislav Olesz,FLA,L,37,4,5,9,-5,8,791.9729,0,1,0,0,0,69,0.05797,4,8,0.2,2008-2009
Shawn Matthias,FLA,L,16,0,2,2,-3,2,549.75,0,0,0,0,0,11,0.0,0,2,0.50549,2008-2009
Stephen Weiss,FLA,C,78,14,47,61,19,22,1068.3205,4,17,1,1,4,154,0.0909,9,39,0.509,2008-2009
Steve Eminger,FLA,D,71,5,21,26,-3,50,1296.7746,2,10,0,0,1,85,0.05882,3,14,0.0,2008-2009
Tanner Glass,FLA,L,3,0,0,0,0,7,405.3333,0,0,0,0,0,1,0.0,0,0,1.0,2008-2009
Ville Peltonen,FLA,L,79,12,19,31,6,31,915.1139,0,1,0,0,1,121,0.09917,12,30,0.28125,2008-2009
Wade Belak,FLA,R,53,0,2,2,-1,79,315.0943,0,0,0,0,0,19,0.0,0,2,,2008-2009
