Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alexander Nikulin,PHX,C,1,0,0,0,-1,0,335.0,0,0,0,0,0,1,0.0,0,0,0.0,2008-2009
Brandon Prust,PHX,L,36,1,2,3,-8,108,447.5,0,0,0,0,1,23,0.04347,1,3,0.54838,2008-2009
Brian McGrattan,PHX,R,5,0,0,0,-2,22,331.2,0,0,0,0,0,2,0.0,0,0,,2008-2009
Daniel Carcillo,PHX,L,74,3,11,14,-15,254,691.0675,2,1,0,0,0,130,0.02307,1,11,0.6,2008-2009
Daniel Winnik,PHX,L,49,3,4,7,1,63,784.3061,0,0,0,0,0,66,0.04545,3,7,0.36956,2008-2009
David Hale,PHX,D,48,3,6,9,-11,36,908.3125,0,0,0,0,0,22,0.13636,3,9,,2008-2009
David Schlemko,PHX,D,3,0,1,1,-2,0,1156.0,0,1,0,0,0,3,0.0,0,0,,2008-2009
Derek Morris,PHX,D,75,5,15,20,-10,40,1253.3066,0,5,1,0,0,120,0.04166,4,13,,2008-2009
Dmitri Kalinin,PHX,D,73,2,15,17,-9,32,1060.3972,1,2,0,0,0,67,0.02985,1,14,,2008-2009
Ed Jovanovski,PHX,D,82,9,27,36,-15,106,1329.8048,6,12,0,0,3,194,0.04639,3,18,0.0,2008-2009
Enver Lisin,PHX,R,48,13,8,21,-13,24,889.8958,1,1,0,0,2,105,0.1238,12,19,0.33333,2008-2009
Garth Murray,PHX,C,10,0,0,0,-2,12,560.1,0,0,0,0,0,12,0.0,0,0,0.45,2008-2009
Jeff Hoggan,PHX,R,4,0,1,1,-1,7,720.0,0,0,0,0,0,7,0.0,0,1,0.0,2008-2009
Joakim Lindstrom,PHX,C,44,9,11,20,-6,28,891.7272,3,6,0,0,2,77,0.11688,6,11,0.35714,2008-2009
Joel Perrault,PHX,C,7,2,1,3,2,4,772.1428,0,1,0,0,0,15,0.13333,2,2,0.44736,2008-2009
Keith Yandle,PHX,D,69,4,26,30,-4,37,997.0869,1,12,0,0,0,118,0.03389,3,17,,2008-2009
Ken Klee,PHX,D,71,1,10,11,9,28,926.3661,0,0,0,0,0,51,0.0196,1,11,,2008-2009
Ken Klee,PHX,D,71,1,10,11,9,28,926.3661,0,0,0,0,0,51,0.0196,1,11,,2008-2009
Kevin Porter,PHX,C,34,5,5,10,-2,4,817.8823,1,1,0,0,2,39,0.1282,4,8,0.29473,2008-2009
Kurt Sauer,PHX,D,68,1,6,7,-1,36,1237.1029,0,0,0,0,0,33,0.0303,1,6,0.0,2008-2009
Kyle Turris,PHX,C,63,8,12,20,-15,21,775.3015,3,8,0,0,3,91,0.08791,5,9,0.42857,2008-2009
Martin Hanzal,PHX,C,74,11,20,31,-4,40,981.1621,0,2,2,0,2,97,0.1134,9,26,0.4833,2008-2009
Matthew Lombardi,PHX,C,69,14,32,46,13,44,1060.9275,1,7,1,0,2,177,0.07909,12,37,0.51957,2008-2009
Mikkel Boedker,PHX,L,78,11,17,28,-6,18,932.4358,2,0,0,0,3,116,0.09482,9,26,0.125,2008-2009
Nigel Dawes,PHX,L,64,10,11,21,-6,15,795.2968,3,1,0,0,4,115,0.08695,7,17,,2008-2009
Olli Jokinen,PHX,C,76,29,28,57,-12,67,1133.0131,9,11,2,0,3,236,0.12288,18,35,0.43382,2008-2009
Peter Mueller,PHX,C,72,13,23,36,-7,24,964.6805,5,6,0,0,4,138,0.0942,8,25,0.44565,2008-2009
Petr Prucha,PHX,R,47,6,13,19,-1,22,881.2127,1,4,0,1,1,67,0.08955,5,14,0.125,2008-2009
Scottie Upshall,PHX,R,74,15,19,34,7,89,875.7702,5,2,0,0,1,192,0.07812,10,27,0.26315,2008-2009
Shane Doan,PHX,R,82,31,42,73,5,72,1214.5,10,15,0,0,4,230,0.13478,21,46,0.44198,2008-2009
Steve Reinprecht,PHX,C,73,14,27,41,0,20,954.1232,3,4,0,0,3,95,0.14736,11,34,0.46275,2008-2009
Steven Goertzen,PHX,R,16,2,2,4,-2,24,582.0,0,0,0,0,0,18,0.11111,2,4,0.5,2008-2009
Todd Fedoruk,PHX,L,72,6,7,13,-9,72,635.5,0,0,0,0,0,56,0.10714,6,13,0.26666,2008-2009
Viktor Tikhonov,PHX,R,61,8,8,16,-3,20,727.5901,1,0,0,0,1,71,0.11267,7,14,0.38333,2008-2009
Zbynek Michalek,PHX,D,82,6,21,27,-13,28,1362.8292,0,0,0,0,0,106,0.0566,6,26,,2008-2009
