Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexander Semin,WSH,RW,82,22,66,88,16.0,46,19:56,14,28,174,12.6,,,,,,3,1,33.3
Alexandre Giroux,WSH,LW,12,0,3,3,-1.0,2,16:32,0,1,8,0.0,,,,,,0,0,0.0
Andrew Gordon,WSH,RW,3,0,0,0,-1.0,0,13:13,0,0,4,0.0,,,,,,0,0,0.0
Boyd Gordon,WSH,C,76,8,11,19,2.0,34,13:48,0,0,103,7.8,,,,,,0,0,0.0
Brian Pothier,WSH,D,52,0,4,4,1.0,63,16:46,0,0,50,0.0,,,,,,0,0,0.0
Brooks Laich,WSH,C,68,31,42,73,24.0,68,25:46,18,20,243,12.8,,,,,,0,0,0.0
Bryan Helmer,WSH,D,9,1,2,3,0.0,4,16:34,0,1,8,12.5,,,,,,0,0,0.0
Chris Bourque,WSH,LW,12,1,1,2,4.0,10,10:34,0,0,20,5.0,,,,,,0,0,0.0
Chris Clark,WSH,RW,12,2,4,6,5.0,4,10:19,1,0,15,13.3,,,,,,0,0,0.0
David Steckel,WSH,C,61,12,13,25,8.0,22,11:15,1,1,134,9.0,,,,,,0,0,0.0
Donald Brashear,WSH,LW,7,0,4,4,-3.0,6,19:29,0,3,7,0.0,,,,,,0,0,0.0
Eric Fehr,WSH,RW,72,9,24,33,0.0,32,14:02,4,6,87,10.3,,,,,,3,1,33.3
Graham Mink,WSH,C,8,1,0,1,0.0,0,9:46,0,0,11,9.1,,,,,,0,0,0.0
Jay Beagle,WSH,C,1,0,0,0,0.0,0,7:12,0,0,1,0.0,,,,,,0,0,0.0
Jeff Schultz,WSH,D,72,3,10,13,4.0,77,18:00,0,0,50,6.0,,,,,,0,0,0.0
John Erskine,WSH,D,63,1,3,4,-6.0,121,8:14,0,0,43,2.3,,,,,,0,0,0.0
Karl Alzner,WSH,D,26,1,4,5,4.0,14,16:39,0,0,8,12.5,,,,,,0,0,0.0
Keith Aucoin,WSH,C,81,5,6,11,-1.0,59,10:36,0,0,98,5.1,,,,,,0,0,0.0
Matt Bradley,WSH,RW,64,1,11,12,13.0,21,19:46,0,0,40,2.5,,,,,,0,0,0.0
Michael Nylander,WSH,C,52,11,22,33,4.0,50,16:30,2,11,118,9.3,,,,,,1,0,0.0
Mike Green,WSH,D,62,34,45,79,25.0,77,19:14,8,22,223,15.2,,,,,,7,3,42.9
Milan Jurcina,WSH,D,63,5,9,14,-4.0,16,13:27,0,0,69,7.2,,,,,,1,0,0.0
Nicklas Backstrom,WSH,C,79,56,54,110,8.0,72,22:59,19,27,528,10.6,,,,,,7,2,28.6
Oskar Osala,WSH,LW,3,0,0,0,-3.0,2,7:36,0,0,5,0.0,,,,,,0,0,0.0
Quintin Laing,WSH,LW,2,0,0,0,0.0,0,8:03,0,0,4,0.0,,,,,,0,0,0.0
Sami Lepisto,WSH,D,30,1,4,5,-1.0,2,19:25,0,0,31,3.2,,,,,,0,0,0.0
Sergei Fedorov,WSH,C,73,19,18,37,-3.0,20,15:06,7,4,131,14.5,,,,,,0,0,0.0
Shaone Morrisonn,WSH,D,52,3,10,13,3.0,28,21:11,0,2,48,6.3,,,,,,0,0,0.0
Staffan Kronwall,WSH,D,1,0,0,0,1.0,0,10:19,0,0,2,0.0,,,,,,0,0,0.0
Tom Poti,WSH,D,79,3,11,14,1.0,68,16:09,0,1,95,3.2,,,,,,0,0,0.0
Tomas Fleischmann,WSH,LW,67,13,28,41,-9.0,16,15:39,2,13,153,8.5,,,,,,5,1,20.0
Total,WSH,,2,0,0,0,-1.0,0,8:43,0,0,1,0.0,,,,,,0,0,0.0
Tyler Sloan,WSH,LW,32,1,5,6,-3.0,32,11:34,0,1,36,2.8,,,,,,0,0,0.0
Viktor Kozlov,WSH,RW,82,23,30,53,-1.0,31,17:16,9,15,185,12.4,,,,,,1,0,0.0
