Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Aaron Gagnon,DAL,C,2,0,0,0,0,0,529.0,0,0,0,0,0,2,0.0,0,0,0.72727,2009-2010
Brad Richards,DAL,C,80,24,67,91,-12,14,1251.8625,13,27,0,0,2,284,0.0845,11,51,0.51491,2009-2010
Brandon Segal,DAL,R,44,6,6,12,3,38,524.7045,0,0,0,0,2,55,0.10909,6,12,0.0,2009-2010
Brenden Morrow,DAL,L,76,20,26,46,-3,69,1150.421,9,10,1,0,2,155,0.12903,10,26,0.29032,2009-2010
Brian Sutherby,DAL,C,46,5,4,9,8,66,516.5869,0,0,0,0,0,49,0.10204,5,9,0.43902,2009-2010
Fabian Brunnstrom,DAL,L,44,2,9,11,-3,10,640.0909,0,1,0,0,0,38,0.05263,2,10,0.33333,2009-2010
James Neal,DAL,L,78,27,28,55,-5,64,1091.7307,2,8,1,1,4,200,0.135,24,43,0.31666,2009-2010
Jamie Benn,DAL,L,82,22,19,41,-1,45,882.2439,2,5,0,0,3,182,0.12087,20,34,0.46186,2009-2010
Jeff Woywitka,DAL,D,36,0,3,3,-6,11,846.0833,0,1,0,0,0,44,0.0,0,2,,2009-2010
Karlis Skrastins,DAL,D,79,2,11,13,-4,24,1174.2911,0,0,0,0,1,53,0.03773,2,13,,2009-2010
Krys Barch,DAL,R,63,0,6,6,0,130,422.6984,0,0,0,0,0,29,0.0,0,6,0.0,2009-2010
Loui Eriksson,DAL,L,82,29,42,71,-4,26,1185.5731,6,6,2,0,4,214,0.13551,21,56,0.36363,2009-2010
Mark Fistric,DAL,D,67,1,9,10,27,69,895.7164,0,0,0,0,0,46,0.02173,1,9,,2009-2010
Matt Niskanen,DAL,D,74,3,12,15,-15,18,1095.6756,0,6,0,0,2,110,0.02727,3,9,,2009-2010
Maxime Fortunus,DAL,D,8,0,0,0,-6,4,908.625,0,0,0,0,0,5,0.0,0,0,,2009-2010
Maxime Fortunus,DAL,D,8,0,0,0,-6,4,908.625,0,0,0,0,0,5,0.0,0,0,,2009-2010
Mike Modano,DAL,C,59,14,16,30,-6,22,858.0338,3,7,0,0,2,115,0.12173,11,20,0.50413,2009-2010
Mike Ribeiro,DAL,C,66,19,34,53,-5,38,1172.1515,8,15,2,0,0,155,0.12258,9,26,0.44827,2009-2010
Nicklas Grossmann,DAL,D,71,0,7,7,-3,32,1151.3661,0,1,0,0,0,58,0.0,0,6,0.0,2009-2010
Philip Larsen,DAL,D,2,0,1,1,1,0,747.0,0,0,0,0,0,1,0.0,0,1,,2009-2010
Raymond Sawada,DAL,R,5,0,0,0,1,0,489.2,0,0,0,0,0,2,0.0,0,0,,2009-2010
Stephane Robidas,DAL,D,82,10,31,41,-10,70,1469.0487,7,12,0,0,1,199,0.05025,3,22,,2009-2010
Steve Ott,DAL,C,73,22,14,36,-14,153,988.1917,8,3,1,0,2,146,0.15068,13,23,0.56818,2009-2010
Toby Petersen,DAL,C,78,9,6,15,3,6,655.2564,0,0,1,0,0,110,0.08181,8,14,0.44444,2009-2010
Tom Wandell,DAL,C,50,5,10,15,2,14,832.26,0,1,0,1,3,85,0.05882,5,13,0.44032,2009-2010
Trevor Daley,DAL,D,77,6,16,22,3,25,1331.2077,2,3,0,0,2,107,0.05607,4,16,,2009-2010
Warren Peters,DAL,C,11,1,0,1,1,2,433.0,0,0,0,0,0,8,0.125,1,1,0.4875,2009-2010
