Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alec Martinez,LAK,D,4,0,0,0,-2,2,924.5,0,0,0,0,0,6,0.0,0,0,,2009-2010
Alex Frolov,LAK,L,87,20,35,55,-6,26,1099.4252,5,11,0,0,1,191,0.10471,15,39,0.61538,2009-2010
Andrei Loktionov,LAK,C,1,0,0,0,0,0,712.0,0,0,0,0,0,1,0.0,0,0,0.125,2009-2010
Anze Kopitar,LAK,C,88,36,50,86,5,18,1304.8295,15,25,1,1,3,277,0.12996,20,45,0.49577,2009-2010
Brad Richardson,LAK,R,87,12,17,29,-6,39,778.4827,0,0,1,0,5,160,0.075,11,27,0.4729,2009-2010
Brandon Segal,LAK,R,44,6,6,12,3,38,524.7045,0,0,0,0,2,55,0.10909,6,12,0.0,2009-2010
Brayden Schenn,LAK,C,1,0,0,0,-1,0,751.0,0,0,0,0,0,0,,0,0,0.28571,2009-2010
Corey Elkins,LAK,C,3,1,0,1,-2,0,714.3333,0,0,0,0,0,5,0.2,1,1,0.33333,2009-2010
Davis Drewiske,LAK,D,42,1,7,8,-4,14,914.7142,0,0,0,0,0,32,0.03125,1,8,,2009-2010
Drew Doughty,LAK,D,88,19,47,66,15,58,1508.5454,11,25,0,1,5,155,0.12258,8,30,,2009-2010
Dustin Brown,LAK,R,88,25,36,61,-13,47,1153.9659,8,14,0,2,3,263,0.09505,17,39,0.40909,2009-2010
Freddy Modin,LAK,L,6,3,1,4,-3,2,1041.8333,2,1,0,0,0,13,0.23076,1,1,0.5,2009-2010
Freddy Modin,LAK,L,44,5,6,11,-8,26,886.8863,2,2,0,1,2,67,0.07462,3,7,0.64285,2009-2010
Jack Johnson,LAK,D,86,8,35,43,-20,54,1361.279,3,14,0,0,0,145,0.05517,5,26,,2009-2010
Jarret Stoll,LAK,C,79,17,31,48,9,44,1038.0,5,17,0,0,4,171,0.09941,12,25,0.5574,2009-2010
Jeff Halpern,LAK,C,6,0,0,0,-1,4,612.3333,0,0,0,0,0,1,0.0,0,0,0.42857,2009-2010
Jeff Halpern,LAK,C,71,9,10,19,-14,39,871.6056,2,3,0,0,1,71,0.12676,7,14,0.51578,2009-2010
Justin Williams,LAK,R,52,10,20,30,3,41,965.3461,1,6,0,0,1,144,0.06944,9,23,0.33333,2009-2010
Marc-Andre Cliche,LAK,C,1,0,0,0,1,0,443.0,0,0,0,0,0,0,,0,0,0.66666,2009-2010
Matt Greene,LAK,D,81,2,8,10,0,83,1054.4444,0,0,0,0,1,61,0.03278,2,10,,2009-2010
Michal Handzus,LAK,C,87,23,24,47,-1,42,1103.4712,8,7,1,1,6,134,0.17164,14,30,0.50168,2009-2010
Oscar Moller,LAK,R,34,4,3,7,-6,4,515.0882,1,1,0,0,0,42,0.09523,3,5,0.30769,2009-2010
Peter Harrold,LAK,D,41,1,2,3,-2,8,562.8292,0,0,0,0,0,24,0.04166,1,3,0.14285,2009-2010
Raitis Ivanans,LAK,L,62,0,0,0,-8,136,294.8548,0,0,0,0,0,18,0.0,0,0,,2009-2010
Randy Jones,LAK,D,52,5,16,21,-5,30,1088.0384,1,7,1,0,1,57,0.08771,3,12,,2009-2010
Rob Scuderi,LAK,D,79,0,11,11,12,27,1162.443,0,0,0,0,0,42,0.0,0,11,,2009-2010
Ryan Smyth,LAK,L,73,23,32,55,8,48,1175.6712,11,13,0,0,3,217,0.10599,12,31,0.47692,2009-2010
Scott Parse,LAK,L,63,11,13,24,12,22,617.0634,0,0,0,0,1,80,0.1375,11,24,0.53846,2009-2010
Sean O'Donnell,LAK,D,84,3,13,16,12,74,1123.0476,0,0,0,0,1,46,0.06521,3,16,0.0,2009-2010
Teddy Purcell,LAK,L,60,6,9,15,-9,10,771.7166,2,1,0,0,1,101,0.0594,4,12,0.5,2009-2010
Trevor Lewis,LAK,C,5,0,0,0,-3,0,547.6,0,0,0,0,0,4,0.0,0,0,0.0,2009-2010
Wayne Simmonds,LAK,R,84,18,25,43,23,125,868.2619,0,0,0,0,2,141,0.12765,18,43,0.27272,2009-2010
