Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alex Ovechkin,WSH,L,79,55,64,119,50,89,1314.8101,14,23,0,0,7,402,0.13681,41,82,0.45833,2009-2010
Alexander Semin,WSH,R,80,40,46,86,36,70,1148.55,8,19,2,0,5,322,0.12422,30,57,0.41176,2009-2010
Alexandre Giroux,WSH,L,9,1,2,3,3,4,622.3333,0,0,0,0,0,17,0.05882,1,3,,2009-2010
Andrew Gordon,WSH,R,2,0,0,0,-2,0,401.0,0,0,0,0,0,0,,0,0,,2009-2010
Boyd Gordon,WSH,C,42,5,7,12,6,12,623.6904,0,0,1,0,0,51,0.09803,4,10,0.62403,2009-2010
Boyd Kane,WSH,L,3,0,0,0,-1,2,492.6666,0,0,0,0,0,2,0.0,0,0,,2009-2010
Brendan Morrison,WSH,C,79,12,31,43,22,42,929.9746,3,5,0,0,3,111,0.1081,9,35,0.51497,2009-2010
Brian Pothier,WSH,D,61,5,10,15,4,21,1141.2131,1,3,0,1,2,81,0.06172,4,11,,2009-2010
Brooks Laich,WSH,C,85,27,35,62,14,38,1105.4823,12,9,1,2,5,243,0.11111,14,39,0.46089,2009-2010
Chris Bourque,WSH,L,21,0,3,3,-6,10,574.7619,0,2,0,0,0,21,0.0,0,1,,2009-2010
Chris Clark,WSH,R,74,7,13,20,-12,48,712.1756,0,4,0,0,1,105,0.06666,7,16,0.35,2009-2010
David Steckel,WSH,C,82,5,11,16,5,19,740.0365,1,0,0,0,1,90,0.05555,4,15,0.59168,2009-2010
Eric Belanger,WSH,C,7,0,1,1,0,4,845.4285,0,0,0,0,0,6,0.0,0,1,0.66666,2009-2010
Eric Belanger,WSH,C,77,15,26,41,2,32,930.7402,3,6,0,0,3,151,0.09933,12,32,0.56385,2009-2010
Eric Fehr,WSH,C,76,24,19,43,20,28,723.6973,3,3,0,0,3,165,0.14545,21,37,0.5,2009-2010
Jason Chimera,WSH,L,7,1,2,3,2,2,705.7142,0,0,0,0,1,15,0.06666,1,3,0.0,2009-2010
Jason Chimera,WSH,L,78,15,19,34,-1,98,821.5641,1,0,0,0,1,160,0.09375,14,33,0.55,2009-2010
Jay Beagle,WSH,C,7,1,1,2,-1,2,555.8571,0,0,0,0,0,10,0.1,1,2,0.54838,2009-2010
Jeff Schultz,WSH,D,80,3,21,24,49,36,1191.1625,0,0,0,0,0,47,0.06382,3,24,,2009-2010
Joe Corvo,WSH,D,7,1,1,2,-2,4,1013.2857,0,0,0,0,0,21,0.04761,1,2,,2009-2010
Joe Corvo,WSH,D,52,6,12,18,-10,12,1398.0576,5,4,0,0,0,99,0.0606,1,9,,2009-2010
John Carlson,WSH,D,29,2,8,10,17,8,987.0689,0,0,0,0,0,35,0.05714,2,10,,2009-2010
John Erskine,WSH,D,50,1,5,6,16,66,958.72,0,0,0,0,0,50,0.02,1,6,,2009-2010
Karl Alzner,WSH,D,22,0,5,5,-2,8,980.6363,0,0,0,0,0,16,0.0,0,5,,2009-2010
Keith Aucoin,WSH,C,9,1,4,5,-2,0,527.8888,0,2,0,0,0,4,0.25,1,3,0.55357,2009-2010
Mathieu Perreault,WSH,C,21,4,5,9,4,6,681.0476,1,0,0,0,0,27,0.14814,3,8,0.45238,2009-2010
Matt Bradley,WSH,R,84,11,16,27,8,49,659.6428,0,0,1,0,5,106,0.10377,10,26,0.43333,2009-2010
Mike Green,WSH,D,82,19,60,79,40,66,1531.7073,10,26,0,1,4,228,0.08333,9,42,,2009-2010
Mike Knuble,WSH,R,76,31,28,59,25,65,1017.8421,6,7,1,1,5,174,0.17816,24,45,0.11111,2009-2010
Milan Jurcina,WSH,D,44,1,6,7,2,24,1060.0909,0,0,0,0,1,49,0.0204,1,7,,2009-2010
Nicklas Backstrom,WSH,C,89,38,72,110,44,54,1229.6179,11,27,0,2,5,249,0.15261,27,72,0.49626,2009-2010
Quintin Laing,WSH,L,36,2,2,4,2,21,578.25,0,0,0,0,0,38,0.05263,2,4,0.57142,2009-2010
Scott Walker,WSH,R,1,0,0,0,0,0,407.0,0,0,0,0,0,0,,0,0,,2009-2010
Scott Walker,WSH,R,42,5,3,8,-3,32,581.9761,1,0,0,0,1,63,0.07936,4,7,0.0,2009-2010
Shaone Morrisonn,WSH,D,73,1,11,12,9,70,1047.2191,0,0,0,0,1,33,0.0303,1,12,,2009-2010
Tom Poti,WSH,D,76,4,24,28,35,47,1284.2368,2,4,0,0,0,75,0.05333,2,20,,2009-2010
Tomas Fleischmann,WSH,L,75,23,29,52,8,34,949.28,7,13,0,1,4,129,0.17829,16,32,0.43401,2009-2010
Tyler Sloan,WSH,D,42,2,4,6,-2,22,851.2857,0,0,0,0,0,34,0.05882,2,6,0.66666,2009-2010
