Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Anton Babchuk D *,CAR,,72,3,7,10,5.0,72,15:16,0,0,49,6.1,,,,,,0,0,0.0
Brandon Sutter,CAR,C,76,7,23,30,-8.0,32,19:06,1,7,95,7.4,,,,,,0,0,0.0
Brett Carson D *,CAR,,3,0,0,0,0.0,2,8:44,0,0,3,0.0,,,,,,0,0,0.0
Brett Sutter C *,CAR,,10,1,0,1,-1.0,2,8:51,0,0,13,7.7,,,,,,1,0,0.0
Bryan Allen D *,CAR,,23,4,3,7,-2.0,4,10:43,1,0,44,9.1,,,,,,0,0,0.0
Bryan Rodney,CAR,D,1,0,0,0,0.0,0,4:09,0,0,0,0.0,,,,,,0,0,0.0
Chad LaRose,CAR,RW,72,5,30,35,-2.0,60,25:01,1,11,144,3.5,,,,,,0,0,0.0
Cory Stillman LW *,CAR,,80,8,10,18,-6.0,12,12:34,0,1,104,7.7,,,,,,0,0,0.0
Derek Joslin D *,CAR,,19,0,5,5,4.0,19,15:50,0,0,8,0.0,,,,,,0,0,0.0
Drayson Bowman,CAR,,23,0,2,2,0.0,0,6:51,0,0,28,0.0,,,,,,0,0,0.0
Erik Cole,CAR,LW,82,19,38,57,1.0,54,16:49,7,9,148,12.8,,,,,,4,1,25.0
Ian White D *,CAR,,57,6,6,12,1.0,14,9:51,0,0,53,11.3,,,,,,0,0,0.0
Jamie McBain,CAR,D,82,16,15,31,-21.0,59,16:00,2,1,176,9.1,,,,,,0,0,0.0
Jay Harrison,CAR,D,39,0,10,10,4.0,12,19:18,0,2,53,0.0,,,,,,0,0,0.0
Jeff Skinner,CAR,LW,81,33,43,76,-10.0,72,21:56,12,17,296,11.1,,,,,,1,0,0.0
Jerome Samson,CAR,RW,13,2,0,2,-4.0,4,7:04,0,0,11,18.2,,,,,,0,0,0.0
Jiri Tlusty,CAR,LW,82,2,14,16,-11.0,85,20:57,0,1,84,2.4,,,,,,0,0,0.0
Joe Corvo,CAR,D,70,19,33,52,3.0,24,17:13,8,10,136,14.0,,,,,,10,2,20.0
Jon Matsumoto,CAR,C,50,1,2,3,-4.0,54,6:18,0,0,39,2.6,,,,,,0,0,0.0
Joni Pitkanen,CAR,D,82,11,29,40,-14.0,18,24:46,5,18,191,5.8,,,,,,0,0,0.0
Jussi Jokinen,CAR,LW,82,26,26,52,-1.0,49,18:27,3,5,201,12.9,,,,,,0,0,0.0
Patrick Dwyer,CAR,RW,58,10,16,26,0.0,12,14:09,4,5,87,11.5,,,,,,2,1,50.0
Patrick O'Sullivan C *,CAR,,23,0,1,1,0.0,12,9:48,0,0,28,0.0,,,,,,0,0,0.0
Ryan Carter C *,CAR,,17,1,3,4,-1.0,30,11:17,0,0,13,7.7,,,,,,0,0,0.0
Sergei Samsonov LW *,CAR,,82,14,15,29,13.0,25,16:50,1,2,145,9.7,,,,,,1,0,0.0
Tim Gleason,CAR,D,21,5,11,16,2.0,4,18:58,2,4,35,14.3,,,,,,0,0,0.0
Tom Kostopoulos RW *,CAR,,15,3,1,4,0.0,0,7:56,0,0,16,18.8,,,,,,0,0,0.0
Total,CAR,,13,0,0,0,7.0,4,10:49,0,0,8,0.0,,,,,,0,0,0.0
Troy Bodie RW *,CAR,,32,0,3,3,0.0,22,8:18,0,0,26,0.0,,,,,,0,0,0.0
Tuomo Ruutu,CAR,RW,82,31,32,63,3.0,46,16:43,6,12,215,14.4,,,,,,10,4,40.0
Zac Dalpe,CAR,C,17,1,4,5,7.0,2,18:03,1,0,23,4.3,,,,,,0,0,0.0
Zach Boychuk,CAR,C,17,3,5,8,-4.0,12,19:06,1,1,45,6.7,,,,,,0,0,0.0
