Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Ben Smith,CHI,R,13,4,0,4,0,0,861.0769,0,0,0,1,1,12,0.33333,4,4,0.5625,2010-2011
Brandon Pirri,CHI,C,1,0,0,0,-1,0,536.0,0,0,0,0,0,1,0.0,0,0,0.33333,2010-2011
Brent Seabrook,CHI,D,87,9,40,49,0,53,1458.3218,5,15,0,0,1,144,0.0625,4,26,,2010-2011
Brian Campbell,CHI,D,72,6,24,30,30,12,1399.1388,2,5,0,0,1,95,0.06315,4,23,,2010-2011
Bryan Bickell,CHI,L,83,19,22,41,10,40,827.5542,2,1,0,0,2,136,0.1397,17,38,0.23076,2010-2011
Chris Campoli,CHI,D,7,0,1,1,3,2,1136.4285,0,1,0,0,0,4,0.0,0,0,,2010-2011
Chris Campoli,CHI,D,77,4,17,21,0,36,1148.2077,1,1,0,0,1,84,0.04761,3,19,,2010-2011
Dave Bolland,CHI,C,65,17,26,43,17,38,1067.1692,4,8,0,0,1,111,0.15315,13,31,0.45087,2010-2011
Duncan Keith,CHI,D,89,11,40,51,-4,28,1613.2584,4,21,1,0,2,200,0.055,6,25,,2010-2011
Evan Brophey,CHI,C,1,0,0,0,0,0,429.0,0,0,0,0,0,1,0.0,0,0,0.8,2010-2011
Fernando Pisani,CHI,R,63,7,9,16,-1,10,741.0634,1,0,0,0,1,75,0.09333,6,15,0.50746,2010-2011
Jack Skille,CHI,R,62,8,11,19,-9,29,715.4516,1,0,0,0,1,154,0.05194,7,18,0.3,2010-2011
Jake Dowell,CHI,C,81,6,15,21,5,63,703.6543,0,0,0,0,0,75,0.08,6,18,0.49028,2010-2011
Jassen Cullimore,CHI,D,36,0,8,8,4,8,757.7777,0,0,0,0,0,22,0.0,0,8,,2010-2011
Jeff Taffe,CHI,L,1,0,0,0,0,0,245.0,0,0,0,0,0,0,,0,0,0.4,2010-2011
Jeremy Morin,CHI,L,9,2,1,3,2,9,725.7777,0,1,0,0,0,13,0.15384,2,2,,2010-2011
John Scott,CHI,L,44,0,1,1,1,94,377.2272,0,0,0,0,0,17,0.0,0,1,0.0,2010-2011
Jonathan Toews,CHI,C,87,33,47,80,21,28,1254.3678,10,18,2,1,8,252,0.13095,21,49,0.56613,2010-2011
Jordan Hendry,CHI,D,37,1,0,1,-2,4,641.5135,0,0,0,0,0,35,0.02857,1,1,0.0,2010-2011
Marcus Kruger,CHI,C,12,0,1,1,-2,4,714.8333,0,0,0,0,0,9,0.0,0,1,0.36507,2010-2011
Marian Hossa,CHI,R,72,27,36,63,9,34,1175.9166,9,12,2,1,3,221,0.12217,16,38,0.85714,2010-2011
Michael Frolik,CHI,R,80,11,27,38,2,30,935.55,1,5,0,0,1,251,0.04382,10,32,0.40336,2010-2011
Nick Boynton,CHI,D,51,1,7,8,-1,40,878.8039,0,0,0,0,0,43,0.02325,1,8,,2010-2011
Nick Leddy,CHI,D,53,4,3,7,-4,4,861.0377,0,1,0,0,0,39,0.10256,4,6,,2010-2011
Niklas Hjalmarsson,CHI,D,87,3,9,12,17,41,1110.7701,0,0,0,0,0,69,0.04347,3,12,,2010-2011
Patrick Kane,CHI,R,80,28,51,79,6,30,1170.5,6,21,0,0,2,238,0.11764,22,52,0.14285,2010-2011
Patrick Sharp,CHI,L,81,37,39,76,0,40,1162.1975,15,14,2,1,6,299,0.12374,20,44,0.4929,2010-2011
Patrick Sharp,CHI,L,81,37,39,76,0,40,1162.1975,15,14,2,1,6,299,0.12374,20,44,0.4929,2010-2011
Rob Klinkhammer,CHI,L,1,0,0,0,1,0,696.0,0,0,0,0,0,1,0.0,0,0,,2010-2011
Ryan Johnson,CHI,C,40,1,6,7,-3,10,617.225,0,0,0,0,1,27,0.03703,1,7,0.62573,2010-2011
Ryan Potulny,CHI,C,10,0,0,0,-1,0,473.9,0,0,0,0,0,7,0.0,0,0,0.38461,2010-2011
Tomas Kopecky,CHI,R,82,15,27,42,-13,60,909.9634,3,10,0,0,2,179,0.08379,12,29,0.42456,2010-2011
Troy Brouwer,CHI,R,86,17,19,36,0,49,903.0465,7,6,0,0,5,132,0.12878,10,23,0.51515,2010-2011
Viktor Stalberg,CHI,L,84,13,12,25,2,48,649.869,0,1,0,1,3,145,0.08965,13,24,0.5,2010-2011
