Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Brett Lebda,TOR,D,66,2,3,5,-5.0,14,11:12,0,0,62,3.2,,,,,,0,0,0.0
Carl Gunnarsson,TOR,D,82,5,17,22,-7.0,34,22:22,0,0,128,3.9,,,,,,0,0,0.0
Christian Hanson,TOR,C,8,0,1,1,0.0,4,6:58,0,0,7,0.0,,,,,,0,0,0.0
Clarke MacArthur,TOR,LW,82,32,32,64,-20.0,24,19:38,12,11,325,9.8,,,,,,8,1,12.5
Colby Armstrong,TOR,RW,66,8,22,30,-2.0,88,25:18,3,9,190,4.2,,,,,,0,0,0.0
Colton Orr,TOR,RW,23,2,1,3,-7.0,12,12:30,1,0,28,7.1,,,,,,1,1,100.0
Darryl Boyce,TOR,C,48,3,12,15,-1.0,24,12:58,0,0,51,5.9,,,,,,0,0,0.0
Dion Phaneuf,TOR,D,82,15,17,32,-29.0,14,19:16,6,5,120,12.5,,,,,,4,3,75.0
Francois Beauchemin D *,TOR,,46,5,8,13,8.0,33,11:22,0,0,27,18.5,,,,,,0,0,0.0
Fredrik Sjostrom,TOR,LW,50,3,5,8,1.0,69,10:05,1,0,59,5.1,,,,,,0,0,0.0
Jay Rosehill,TOR,LW,41,1,3,4,-14.0,14,13:20,0,1,34,2.9,,,,,,0,0,0.0
Joe Colborne,TOR,C,40,2,0,2,-1.0,32,19:07,0,0,32,6.3,,,,,,0,0,0.0
Joey Crabb,TOR,RW,28,9,9,18,-7.0,19,17:51,2,5,75,12.0,,,,,,2,0,0.0
Joffrey Lupul RW *,TOR,,79,8,12,20,-4.0,33,11:39,0,4,60,13.3,,,,,,0,0,0.0
John Mitchell,TOR,,26,1,2,3,-6.0,71,5:12,0,0,12,8.3,,,,,,0,0,0.0
Keith Aulie,TOR,D,46,2,0,2,-1.0,128,5:04,0,0,14,14.3,,,,,,0,0,0.0
Korbinian Holzer,TOR,D,7,0,0,0,-2.0,4,11:04,0,0,8,0.0,,,,,,0,0,0.0
Kris Versteeg RW *,TOR,,58,3,35,38,-2.0,16,22:28,0,22,99,3.0,,,,,,1,0,0.0
Luca Caputi,TOR,LW,6,0,0,0,0.0,4,8:26,0,0,2,0.0,,,,,,0,0,0.0
Luke Schenn,TOR,D,50,8,15,23,-1.0,38,16:07,0,0,69,11.6,,,,,,2,2,100.0
Marcel Mueller,TOR,C,2,0,0,0,-1.0,2,13:01,0,0,1,0.0,,,,,,0,0,0.0
Matt Frattin,TOR,RW,3,0,0,0,0.0,2,10:07,0,0,5,0.0,,,,,,0,0,0.0
Matt Lashoff,TOR,D,1,0,1,1,1.0,0,18:41,0,0,1,0.0,,,,,,0,0,0.0
Mike Brown,TOR,RW,75,1,9,10,-8.0,86,13:37,0,0,48,2.1,,,,,,0,0,0.0
Mike Komisarek,TOR,D,29,3,9,12,-3.0,8,15:46,0,2,51,5.9,,,,,,4,2,50.0
Mike Zigomanis,TOR,C,11,0,1,1,1.0,6,13:49,0,1,8,0.0,,,,,,0,0,0.0
Mikhail Grabovski,TOR,C,82,21,41,62,-3.0,37,17:06,6,13,154,13.6,,,,,,1,0,0.0
Nazem Kadri,TOR,C,54,2,10,12,-4.0,16,23:45,0,1,76,2.6,,,,,,0,0,0.0
Nikolay Kulemin,TOR,LW,81,29,29,58,14.0,60,19:21,10,5,239,12.1,,,,,,6,2,33.3
Tim Brent,TOR,C,68,4,16,20,-2.0,14,18:14,1,3,69,5.8,,,,,,0,0,0.0
Tomas Kaberle D *,TOR,,82,30,27,57,7.0,26,17:19,5,8,173,17.3,,,,,,4,0,0.0
Total,TOR,,1,0,0,0,-1.0,0,15:34,0,0,5,0.0,,,,,,0,0,0.0
Tyler Bozak,TOR,C,53,14,21,35,-13.0,29,18:55,5,8,128,10.9,,,,,,3,1,33.3
