Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Andrew Cogliano,ANA,C,82,13,13,26,-4,15,882.3536,2,1,0,0,2,115,0.11304,11,23,0.41968,2011-2012
Andrew Gordon,ANA,R,37,2,3,5,-10,6,651.2972,0,0,0,0,0,38,0.05263,2,5,0.0,2011-2012
Andrew Gordon,ANA,R,37,2,3,5,-10,6,651.2972,0,0,0,0,0,38,0.05263,2,5,0.0,2011-2012
Ben Maxwell,ANA,C,15,1,5,6,4,2,404.0,0,0,0,0,0,10,0.1,1,6,0.44067,2011-2012
Bobby Ryan,ANA,R,82,31,26,57,1,53,1101.0731,3,8,2,0,3,204,0.15196,26,44,0.28985,2011-2012
Brandon McMillan,ANA,L,25,0,4,4,-10,20,672.96,0,0,0,0,0,26,0.0,0,4,0.34328,2011-2012
Cam Fowler,ANA,D,82,5,24,29,-28,18,1395.6341,2,9,0,0,0,123,0.04065,3,18,1.0,2011-2012
Corey Perry,ANA,R,80,37,23,60,-7,127,1282.7625,14,9,1,1,6,277,0.13357,22,35,0.39583,2011-2012
Devante Smith-Pelly,ANA,R,49,7,6,13,-7,16,722.6326,1,1,1,0,1,66,0.10606,5,10,0.28571,2011-2012
Francois Beauchemin,ANA,D,82,8,14,22,-14,48,1533.2073,3,2,0,0,1,139,0.05755,5,16,0.5,2011-2012
George Parros,ANA,R,46,1,3,4,1,85,382.7391,0,0,0,0,0,17,0.05882,1,4,,2011-2012
Jason Blake,ANA,L,45,7,5,12,-4,6,848.5555,2,1,0,0,3,109,0.06422,5,9,0.0,2011-2012
Jean-Francois Jacques,ANA,L,6,0,0,0,2,12,397.3333,0,0,0,0,0,7,0.0,0,0,,2011-2012
Kurtis Foster,ANA,D,51,4,10,14,-13,35,953.549,2,9,0,0,0,85,0.04705,2,3,,2011-2012
Kyle Palmieri,ANA,C,18,4,3,7,3,6,691.2222,0,0,0,0,0,34,0.11764,4,7,1.0,2011-2012
Lubomir Visnovsky,ANA,D,68,6,21,27,7,47,1247.2941,1,9,0,0,1,112,0.05357,5,17,1.0,2011-2012
Luca Sbisa,ANA,D,80,5,19,24,-5,66,1075.7625,0,3,0,0,0,88,0.05681,5,21,,2011-2012
Mat Clark,ANA,D,2,0,0,0,-2,0,661.5,0,0,0,0,0,2,0.0,0,0,,2011-2012
Maxime Macenauer,ANA,C,29,1,3,4,-4,18,648.8965,0,0,0,0,1,14,0.07142,1,4,0.49779,2011-2012
Nate Guenin,ANA,D,15,2,0,2,6,6,669.1333,0,0,0,0,1,5,0.4,2,2,,2011-2012
Nick Bonino,ANA,C,50,5,13,18,1,8,748.62,0,1,0,0,0,63,0.07936,5,17,0.42951,2011-2012
Niklas Hagman,ANA,L,71,9,14,23,-7,14,874.6338,2,0,0,0,2,125,0.072,7,21,0.4,2011-2012
Patrick Maroon,ANA,L,2,0,0,0,0,2,752.5,0,0,0,0,0,1,0.0,0,0,,2011-2012
Peter Holland,ANA,C,4,1,0,1,0,2,462.25,0,0,0,0,1,1,1.0,1,1,0.38888,2011-2012
Rod Pelley,ANA,C,52,2,1,3,-3,16,465.4807,0,0,0,0,0,44,0.04545,2,3,0.49212,2011-2012
Ryan Getzlaf,ANA,C,82,11,46,57,-11,75,1295.9634,4,19,0,1,4,185,0.05945,7,33,0.47193,2011-2012
Ryan O'Marra,ANA,C,9,0,1,1,-1,4,556.6666,0,0,0,0,0,7,0.0,0,1,0.55384,2011-2012
Saku Koivu,ANA,C,74,11,27,38,7,50,1087.5405,0,6,0,0,1,107,0.1028,11,32,0.52392,2011-2012
Sheldon Brookbank,ANA,D,80,3,11,14,11,72,936.325,0,0,0,0,1,49,0.06122,3,13,,2011-2012
Teemu Selanne,ANA,R,82,26,40,66,-1,50,1072.9268,12,16,0,0,4,210,0.1238,14,38,0.48333,2011-2012
Toni Lydman,ANA,D,74,0,13,13,0,46,1134.0675,0,0,0,0,0,46,0.0,0,12,,2011-2012
