Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Hall,TBL,R,37,0,4,4,0,23,631.9189,0,0,0,0,0,34,0.0,0,4,0.56175,2012-2013
Alex Killorn,TBL,L,38,7,12,19,-6,14,1009.1315,1,2,0,0,2,82,0.08536,6,16,0.39285,2012-2013
Andrej Sustr,TBL,D,2,0,0,0,1,0,643.0,0,0,0,0,0,2,0.0,0,0,,2012-2013
B.J. Crombeen,TBL,R,44,1,7,8,4,112,664.9545,0,0,0,0,0,50,0.02,1,8,0.2,2012-2013
Benoit Pouliot,TBL,L,34,8,12,20,8,15,794.1764,0,3,0,1,1,60,0.13333,8,17,0.32258,2012-2013
Brendan Mikkelson,TBL,D,4,0,1,1,1,6,585.5,0,0,0,0,0,0,,0,1,,2012-2013
Brett Connolly,TBL,R,5,1,0,1,-3,0,616.4,1,0,0,0,0,10,0.1,0,0,0.8,2012-2013
Brian Lee,TBL,D,22,0,0,0,-13,16,835.2727,0,0,0,0,0,13,0.0,0,0,,2012-2013
Cory Conacher,TBL,C,47,11,18,29,3,20,838.4255,1,3,0,0,3,67,0.16417,10,25,0.26666,2012-2013
Dana Tyrell,TBL,C,21,1,3,4,-3,4,621.1428,0,0,0,0,0,19,0.05263,1,4,0.33333,2012-2013
Eric Brewer,TBL,D,48,4,8,12,3,32,1230.7916,1,0,0,0,1,56,0.07142,3,11,,2012-2013
JT Wyman,TBL,R,1,0,0,0,-1,0,811.0,0,0,0,0,0,0,,0,0,0.63636,2012-2013
Keith Aulie,TBL,D,45,2,5,7,1,60,769.1333,0,0,0,0,0,37,0.05405,2,7,,2012-2013
Marc-Andre Bergeron,TBL,D,25,1,8,9,-4,9,825.92,0,5,0,0,0,43,0.02325,1,4,,2012-2013
Mark Barberio,TBL,D,2,0,0,0,-2,0,929.5,0,0,0,0,0,1,0.0,0,0,,2012-2013
Martin St. Louis,TBL,R,48,17,43,60,0,14,1319.0,3,17,0,0,2,112,0.15178,14,40,0.42857,2012-2013
Mathieu Roy,TBL,D,1,0,0,0,-1,0,847.0,0,0,0,0,0,0,,0,0,,2012-2013
Matt Carle,TBL,D,48,5,17,22,1,4,1424.875,2,3,0,0,0,66,0.07575,3,17,,2012-2013
Matt Taormina,TBL,D,2,0,0,0,-1,0,998.5,0,0,0,0,0,0,,0,0,,2012-2013
Mike Angelidis,TBL,L,1,0,0,0,0,0,442.0,0,0,0,0,0,0,,0,0,0.42857,2012-2013
Nate Thompson,TBL,C,45,7,8,15,-2,17,860.2444,0,0,0,0,0,58,0.12068,7,15,0.51239,2012-2013
Ondrej Palat,TBL,L,14,2,2,4,5,0,704.0,0,0,0,0,1,16,0.125,2,4,0.0,2012-2013
Pierre-Cedric Labrie,TBL,L,19,2,1,3,2,30,513.4736,0,0,0,0,0,16,0.125,2,3,0.5,2012-2013
Radko Gudas,TBL,D,22,2,3,5,3,38,1019.5454,0,0,0,0,1,31,0.06451,2,5,,2012-2013
Richard Panik,TBL,R,25,5,4,9,-2,4,679.72,1,1,0,0,1,34,0.14705,4,7,0.33333,2012-2013
Ryan Malone,TBL,L,24,6,2,8,-3,22,944.2916,2,0,0,0,1,37,0.16216,4,6,0.3913,2012-2013
Sami Salo,TBL,D,46,2,15,17,5,16,1259.1086,1,6,0,0,0,48,0.04166,1,10,,2012-2013
Steven Stamkos,TBL,C,48,29,28,57,-4,32,1321.375,10,8,0,0,2,157,0.18471,19,39,0.49572,2012-2013
Teddy Purcell,TBL,L,48,11,25,36,-1,12,1004.5625,3,10,0,0,2,94,0.11702,8,23,0.33333,2012-2013
Tom Pyatt,TBL,L,43,8,8,16,5,12,814.9069,0,0,0,0,1,60,0.13333,8,16,0.5,2012-2013
Tyler Johnson,TBL,C,14,3,3,6,3,4,784.4285,0,0,0,0,0,11,0.27272,3,6,0.59504,2012-2013
Victor Hedman,TBL,D,44,4,16,20,1,31,1359.5681,0,2,0,0,0,76,0.05263,4,18,,2012-2013
Vincent Lecavalier,TBL,C,39,10,22,32,-5,29,1072.9743,5,4,0,0,0,86,0.11627,5,23,0.54447,2012-2013
