Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam McQuaid,BOS,D,30,1,5,6,12,69,962.8666,0,0,0,0,0,25,0.04,1,6,,2013-2014
Alex Khokhlachev,BOS,C,1,0,0,0,0,2,914.0,0,0,0,0,0,2,0.0,0,0,0.47058,2013-2014
Andrej Meszaros,BOS,D,4,0,2,2,1,2,1054.25,0,0,0,0,0,5,0.0,0,2,,2013-2014
Andrej Meszaros,BOS,D,52,7,15,22,5,40,1067.1538,1,1,0,0,0,84,0.08333,6,20,,2013-2014
Brad Marchand,BOS,L,94,25,33,58,40,82,969.7765,1,1,5,1,5,177,0.14124,19,51,0.25925,2013-2014
Carl Soderberg,BOS,C,85,17,37,54,8,38,867.6,5,12,0,0,3,154,0.11038,12,37,0.44234,2013-2014
Chris Kelly,BOS,C,57,9,9,18,2,32,881.6315,0,0,1,0,0,69,0.13043,8,17,0.48877,2013-2014
Corey Potter,BOS,D,1,0,0,0,0,0,1017.0,0,0,0,0,0,1,0.0,0,0,,2013-2014
Corey Potter,BOS,D,19,0,5,5,-1,21,826.3157,0,2,0,0,0,17,0.0,0,3,,2013-2014
Daniel Paille,BOS,L,79,10,9,19,8,8,660.7088,0,0,1,0,1,76,0.13157,9,18,0.64705,2013-2014
David Krejci,BOS,C,92,19,54,73,36,32,1160.8913,3,17,0,1,6,194,0.09793,16,53,0.515,2013-2014
David Warsofsky,BOS,D,6,1,1,2,1,0,970.1666,0,0,0,0,0,10,0.1,1,2,,2013-2014
Dennis Seidenberg,BOS,D,34,1,9,10,11,10,1310.2647,0,0,0,0,0,53,0.01886,1,10,,2013-2014
Dougie Hamilton,BOS,D,76,9,23,32,23,54,1146.2236,3,6,0,0,2,137,0.06569,6,23,,2013-2014
Gregory Campbell,BOS,C,94,8,13,21,1,51,709.6489,0,1,1,0,2,94,0.0851,7,18,0.47962,2013-2014
Jarome Iginla,BOS,R,90,35,33,68,34,59,1094.9111,6,11,0,1,10,235,0.14893,29,51,0.225,2013-2014
Johnny Boychuk,BOS,D,87,6,19,25,34,47,1280.5862,0,0,0,0,1,167,0.03592,6,22,,2013-2014
Jordan Caron,BOS,R,42,2,2,4,-8,40,625.2857,0,0,0,0,0,61,0.03278,2,4,0.25,2013-2014
Justin Florek,BOS,L,10,2,1,3,1,4,710.1,0,0,0,0,0,15,0.13333,2,3,0.0,2013-2014
Kevan Miller,BOS,D,58,1,7,8,22,46,1070.0689,0,0,0,0,1,47,0.02127,1,8,,2013-2014
Loui Eriksson,BOS,L,73,12,30,42,15,10,1002.6986,3,10,0,0,2,139,0.08633,9,28,0.66666,2013-2014
Matt Bartkowski,BOS,D,72,0,19,19,24,40,1177.6111,0,0,0,0,0,103,0.0,0,19,,2013-2014
Matt Fraser,BOS,R,18,3,1,4,2,10,601.6111,0,0,0,1,1,17,0.17647,3,4,0.5,2013-2014
Matt Lindblad,BOS,C,2,0,0,0,0,0,705.5,0,0,0,0,0,0,,0,0,1.0,2013-2014
Milan Lucic,BOS,L,92,28,38,66,33,95,1050.9239,3,9,0,1,6,179,0.15642,25,54,0.49333,2013-2014
Nick Johnson,BOS,R,9,0,0,0,-4,0,582.2222,0,0,0,0,0,10,0.0,0,0,,2013-2014
Patrice Bergeron,BOS,C,92,33,38,71,39,47,1092.7934,7,8,1,0,7,283,0.1166,25,52,0.58427,2013-2014
Reilly Smith,BOS,R,94,24,32,56,33,14,890.5106,8,9,0,0,5,172,0.13953,16,39,0.0,2013-2014
Shawn Thornton,BOS,L,76,5,4,9,1,78,514.0921,0,0,0,0,1,109,0.04587,5,9,0.28571,2013-2014
Torey Krug,BOS,D,91,16,34,50,16,34,1067.2527,7,17,0,1,2,211,0.07582,9,26,0.5,2013-2014
Zach Trotman,BOS,D,2,0,0,0,0,0,900.0,0,0,0,0,0,4,0.0,0,0,,2013-2014
Zdeno Chara,BOS,D,89,19,25,44,29,80,1484.7078,12,6,0,0,3,190,0.1,7,25,,2013-2014
