Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Aaron Palushaj,CAR,R,2,0,0,0,-1,0,559.5,0,0,0,0,0,2,0.0,0,0,0.0,2013-2014
Alexander Semin,CAR,R,65,22,20,42,1,42,1194.5846,6,6,1,1,3,210,0.10476,15,29,0.1,2013-2014
Andrei Loktionov,CAR,C,68,7,15,22,-2,14,779.1764,2,4,0,0,2,78,0.08974,5,16,0.41734,2013-2014
Andrej Sekera,CAR,D,74,11,33,44,4,20,1420.7027,4,11,1,0,1,142,0.07746,6,28,,2013-2014
Brett Bellemore,CAR,D,64,2,6,8,-1,45,1048.3281,0,0,0,0,0,54,0.03703,2,8,,2013-2014
Brett Sutter,CAR,L,17,1,1,2,-4,9,453.647,0,0,0,0,1,16,0.0625,1,2,0.50684,2013-2014
Brett Sutter,CAR,L,17,1,1,2,-4,9,453.647,0,0,0,0,1,16,0.0625,1,2,0.50684,2013-2014
Drayson Bowman,CAR,L,70,4,8,12,-2,16,621.3714,0,0,0,0,0,80,0.05,4,12,0.6,2013-2014
Elias Lindholm,CAR,C,58,9,12,21,-14,4,871.5517,4,3,0,0,2,70,0.12857,5,14,0.46288,2013-2014
Eric Staal,CAR,C,79,21,40,61,-13,74,1217.2405,1,11,2,0,0,230,0.0913,18,45,0.52727,2013-2014
Jay Harrison,CAR,D,68,4,11,15,-1,44,997.5882,1,5,0,1,1,103,0.03883,3,9,,2013-2014
Jeff Skinner,CAR,L,71,33,21,54,-14,22,1031.6338,11,9,0,1,6,274,0.12043,22,34,0.45098,2013-2014
Jiri Tlusty,CAR,L,68,16,14,30,2,22,910.147,0,1,2,0,5,131,0.12213,14,27,0.2,2013-2014
John-Michael Liles,CAR,D,41,2,7,9,5,8,1179.2682,1,3,0,0,0,56,0.03571,1,5,1.0,2013-2014
Jordan Staal,CAR,C,82,15,25,40,2,34,1136.9878,2,8,1,0,2,165,0.0909,12,26,0.54366,2013-2014
Justin Faulk,CAR,D,76,5,27,32,-9,37,1404.6973,2,6,0,0,1,152,0.03289,3,23,,2013-2014
Kevin Westgarth,CAR,R,48,4,3,7,-4,68,389.6041,0,0,0,0,1,31,0.12903,4,7,0.2,2013-2014
Manny Malhotra,CAR,C,69,7,6,13,0,18,695.7101,0,0,0,1,1,53,0.13207,7,12,0.59453,2013-2014
Mike Komisarek,CAR,D,32,0,4,4,-4,14,701.9375,0,0,0,0,0,20,0.0,0,4,,2013-2014
Nathan Gerbe,CAR,C,81,16,15,31,-6,36,984.074,3,4,2,0,1,221,0.07239,11,22,0.33333,2013-2014
Patrick Dwyer,CAR,R,75,8,14,22,-2,14,879.04,0,0,2,0,2,134,0.0597,6,20,0.375,2013-2014
Radek Dvorak,CAR,R,60,4,5,9,3,41,638.4166,0,0,0,0,2,52,0.07692,4,9,0.5,2013-2014
Riley Nash,CAR,C,73,10,14,24,0,29,760.1643,1,2,0,0,3,86,0.11627,9,20,0.45945,2013-2014
Ron Hainsey,CAR,D,82,4,11,15,-9,45,1286.3414,0,0,0,0,1,72,0.05555,4,14,,2013-2014
Ryan Murphy,CAR,D,48,2,10,12,-9,10,1097.125,1,2,0,0,0,81,0.02469,1,9,,2013-2014
Tim Gleason,CAR,D,56,1,5,6,-21,65,997.8928,0,0,0,0,0,43,0.02325,1,6,,2013-2014
Tuomo Ruutu,CAR,L,76,8,16,24,-18,44,873.9473,3,0,0,0,2,105,0.07619,5,21,0.37837,2013-2014
Zach Boychuk,CAR,L,11,1,3,4,2,0,611.909,0,0,0,0,0,15,0.06666,1,4,0.0,2013-2014
