Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Aaron Rome,DAL,D,4,0,1,1,2.0,0,10:19,0,0,4,0.0,,,,,,0,0,0.0
Alex Chiasson,DAL,RW,81,6,36,42,9.0,28,24:18,3,12,141,4.3,,,,,,0,0,0.0
Alex Goligoski,DAL,D,81,34,45,79,21.0,64,19:09,5,14,279,12.2,,,,,,9,1,11.1
Antoine Roussel,DAL,LW,75,16,13,29,-17.0,20,15:09,3,4,139,11.5,,,,,,1,0,0.0
Brenden Dillon,DAL,D,77,7,13,20,1.0,52,12:51,4,0,68,10.3,,,,,,1,0,0.0
Cameron Gaunce,DAL,D,25,0,1,1,-6.0,11,13:05,0,0,15,0.0,,,,,,0,0,0.0
Chris Mueller,DAL,C,9,0,0,0,1.0,7,13:50,0,0,9,0.0,,,,,,0,0,0.0
Cody Eakin,DAL,C,79,13,22,35,-21.0,38,15:06,6,7,144,9.0,,,,,,5,1,20.0
Colton Sceviour,DAL,C,80,6,11,17,9.0,86,21:05,0,0,97,6.2,,,,,,0,0,0.0
Dustin Jeffrey C *,DAL,,24,4,1,5,7.0,12,19:54,1,0,35,11.4,,,,,,0,0,0.0
Erik Cole,DAL,LW,62,7,23,30,-3.0,15,15:23,0,3,122,5.7,,,,,,4,3,75.0
Jamie Benn,DAL,LW,80,37,47,84,16.0,18,19:20,11,14,294,12.6,,,,,,7,2,28.6
Jamie Oleksiak,DAL,D,9,0,0,0,-2.0,0,9:14,0,0,8,0.0,,,,,,0,0,0.0
Jordie Benn,DAL,D,76,2,20,22,-12.0,20,17:36,1,13,89,2.2,,,,,,0,0,0.0
Kevin Connauton,DAL,D,26,8,4,12,-3.0,4,14:52,2,0,69,11.6,,,,,,1,0,0.0
Lane MacDermid LW *,DAL,,24,2,1,3,-2.0,0,9:02,0,0,21,9.5,,,,,,0,0,0.0
Maxime Fortunus,DAL,D,6,0,2,2,2.0,5,5:48,0,0,1,0.0,,,,,,0,0,0.0
Patrik Nemeth,DAL,D,7,0,0,0,-3.0,2,17:47,0,0,5,0.0,,,,,,0,0,0.0
Ray Whitney,DAL,LW,79,14,20,34,20.0,8,14:58,2,1,128,10.9,,,,,,1,0,0.0
Rich Peverley,DAL,C,75,17,15,32,10.0,106,13:03,0,0,165,10.3,,,,,,1,0,0.0
Ryan Garbutt,DAL,LW,69,9,23,32,-6.0,14,13:57,3,12,124,7.3,,,,,,3,0,0.0
Sergei Gonchar,DAL,D,76,6,17,23,3.0,37,13:17,0,1,109,5.5,,,,,,2,1,50.0
Shawn Horcoff,DAL,C,78,3,17,20,16.0,30,19:09,1,1,91,3.3,,,,,,3,1,33.3
Stephane Robidas D *,DAL,,36,1,7,8,-6.0,16,15:19,0,2,56,1.8,,,,,,0,0,0.0
Total,DAL,,8,0,0,0,-3.0,6,13:46,0,0,3,0.0,,,,,,0,0,0.0
Travis Morin,DAL,C,1,0,1,1,1.0,0,16:17,0,0,0,0.0,,,,,,0,0,0.0
Trevor Daley,DAL,D,81,14,15,29,-1.0,209,13:19,0,0,113,12.4,,,,,,0,0,0.0
Valeri Nichushkin,DAL,RW,81,16,19,35,-9.0,36,17:19,3,3,161,9.9,,,,,,1,0,0.0
Vernon Fiddler,DAL,C,67,9,16,25,10.0,38,21:08,1,3,107,8.4,,,,,,0,0,0.0
