Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Andrew MacDonald,PHI,D,58,3,11,14,-2.0,18,18:04,0,0,67,4.5,,,,,,0,0,0.0
Blair Jones,PHI,C,2,0,0,0,-2.0,0,12:33,0,0,2,0.0,,,,,,0,0,0.0
Brandon Manning,PHI,D,31,2,4,6,-1.0,17,12:43,0,1,51,3.9,,,,,,1,0,0.0
Brayden Schenn,PHI,C,75,28,22,50,-5.0,66,16:48,14,10,188,14.9,,,,,,7,4,57.1
Braydon Coburn D *,PHI,,81,6,6,12,-3.0,18,12:49,0,0,113,5.3,,,,,,0,0,0.0
Carlo Colaiacovo,PHI,D,39,1,8,9,-1.0,16,20:14,0,0,45,2.2,,,,,,0,0,0.0
Chris VandeVelde,PHI,C,80,2,13,15,2.0,47,19:02,0,1,69,2.9,,,,,,0,0,0.0
Claude Giroux,PHI,RW,82,22,59,81,1.0,78,18:35,11,22,221,10.0,,,,,,12,5,41.7
Jason Akeson,PHI,C,11,0,0,0,1.0,2,8:49,0,0,6,0.0,,,,,,1,1,100.0
Luke Schenn,PHI,D,68,5,9,14,8.0,32,17:39,0,0,43,11.6,,,,,,0,0,0.0
Mark Alt,PHI,D,3,0,2,2,1.0,0,9:27,0,0,2,0.0,,,,,,0,0,0.0
Mark Streit,PHI,D,81,25,48,73,-3.0,36,20:33,14,23,279,9.0,,,,,,12,1,8.3
Matt Read,PHI,RW,64,10,22,32,-5.0,34,21:55,1,7,119,8.4,,,,,,0,0,0.0
Michael Del Zotto,PHI,D,82,15,22,37,4.0,28,18:23,1,5,148,10.1,,,,,,8,1,12.5
Michael Raffl,PHI,LW,80,8,22,30,-4.0,14,17:33,2,3,142,5.6,,,,,,5,0,0.0
Nick Cousins,PHI,C,1,0,0,0,-1.0,0,9:25,0,0,0,0.0,,,,,,0,0,0.0
Nick Schultz,PHI,D,57,8,12,20,-7.0,36,12:38,1,3,103,7.8,,,,,,4,0,0.0
Nicklas Grossmann,PHI,D,67,9,6,15,-9.0,19,13:49,2,0,96,9.4,,,,,,0,0,0.0
Oliver Lauridsen,PHI,D,13,0,0,0,-1.0,8,8:03,0,0,9,0.0,,,,,,0,0,0.0
Petr Straka,PHI,RW,11,0,3,3,3.0,7,17:09,0,0,10,0.0,,,,,,0,0,0.0
Pierre-Edouard Bellemare,PHI,LW,34,6,6,12,4.0,30,11:43,0,0,45,13.3,,,,,,0,0,0.0
R.J. Umberger,PHI,LW,72,9,6,15,-6.0,28,11:43,0,0,70,12.9,,,,,,0,0,0.0
Ryan White,PHI,C,58,2,10,12,-5.0,41,20:00,1,4,62,3.2,,,,,,0,0,0.0
Scott Laughton,PHI,C,58,1,5,6,-9.0,102,8:55,0,0,45,2.2,,,,,,0,0,0.0
Sean Couturier,PHI,C,82,18,29,47,-5.0,34,17:04,7,12,156,11.5,,,,,,3,0,0.0
Shayne Gostisbehere,PHI,D,1,0,0,0,-1.0,10,10:26,0,0,2,0.0,,,,,,0,0,0.0
Total,PHI,,4,0,0,0,-4.0,2,6:55,0,0,0,0.0,,,,,,0,0,0.0
Vincent Lecavalier,PHI,C,67,21,7,28,6.0,34,14:11,2,0,134,15.7,,,,,,0,0,0.0
Wayne Simmonds,PHI,RW,81,9,43,52,-8.0,36,22:22,4,26,144,6.3,,,,,,0,0,0.0
Zac Rinaldo,PHI,LW,33,2,6,8,0.0,10,16:29,0,2,42,4.8,,,,,,0,0,0.0
