Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alex Tuch,MIN,R,6,0,0,0,-3,0,642.1666,0,0,0,0,0,8,0.0,0,0,,2016-2017
Charlie Coyle,MIN,C,87,20,38,58,12,38,1003.7816,4,5,0,0,6,173,0.1156,16,49,0.46692,2016-2017
Chris Stewart,MIN,R,84,13,8,21,3,94,614.2142,0,2,0,0,0,84,0.15476,13,19,0.18181,2016-2017
Christian Folin,MIN,D,53,2,6,8,8,28,888.0566,0,0,0,0,0,40,0.05,2,8,,2016-2017
Christoph Bertschy,MIN,C,5,0,1,1,0,4,488.0,0,0,0,0,0,5,0.0,0,1,,2016-2017
Eric Staal,MIN,C,87,28,38,66,16,34,1117.4482,4,13,1,0,8,223,0.12556,23,47,0.49317,2016-2017
Erik Haula,MIN,L,76,15,12,27,3,28,833.8157,1,0,0,0,4,143,0.10489,14,26,0.54075,2016-2017
Gustav Olofsson,MIN,D,13,0,3,3,-1,2,808.923,0,1,0,0,0,7,0.0,0,2,,2016-2017
Jared Spurgeon,MIN,D,81,10,29,39,32,20,1446.8024,1,5,0,1,2,157,0.06369,9,32,,2016-2017
Jason Pominville,MIN,R,83,13,35,48,3,4,853.0722,0,7,0,0,2,187,0.06951,13,41,0.47727,2016-2017
Jason Zucker,MIN,L,84,23,25,48,33,32,924.1785,1,0,0,0,3,192,0.11979,22,47,0.2,2016-2017
Joel Eriksson Ek,MIN,C,18,3,4,7,1,4,606.3888,0,0,0,0,1,20,0.15,3,7,0.42222,2016-2017
Jonas Brodin,MIN,D,73,3,23,26,2,20,1171.8082,2,5,0,0,2,90,0.03333,1,19,,2016-2017
Jordan Schroeder,MIN,C,37,6,7,13,5,0,586.7567,0,0,0,0,0,37,0.16216,6,13,0.475,2016-2017
Kurtis Gabriel,MIN,R,13,0,1,1,0,29,349.1538,0,0,0,0,0,3,0.0,0,1,,2016-2017
Marco Scandella,MIN,D,76,4,9,13,-3,27,1118.4078,0,0,0,0,0,98,0.04081,4,13,,2016-2017
Martin Hanzal,MIN,C,5,1,0,1,-2,0,1124.6,0,0,0,0,0,10,0.1,1,1,0.57303,2016-2017
Martin Hanzal,MIN,C,71,20,19,39,-17,53,1063.183,5,4,0,1,2,169,0.11834,15,30,0.56397,2016-2017
Mathew Dumba,MIN,D,81,11,23,34,14,61,1232.7777,6,6,0,1,1,138,0.07971,5,21,,2016-2017
Mikael Granlund,MIN,C,86,26,45,71,23,14,1135.4302,7,14,3,1,4,187,0.13903,16,46,0.48484,2016-2017
Mike Reilly,MIN,D,17,1,0,1,1,2,742.8823,0,0,0,0,0,19,0.05263,1,1,,2016-2017
Mikko Koivu,MIN,C,85,19,41,60,26,34,1150.5882,3,18,0,1,4,145,0.13103,16,37,0.55799,2016-2017
Nate Prosser,MIN,D,42,2,6,8,0,14,751.1904,0,1,0,0,0,24,0.08333,2,7,,2016-2017
Nino Niederreiter,MIN,R,87,25,33,58,15,55,907.3908,8,7,0,0,3,193,0.12953,17,43,0.0,2016-2017
Patrick Cannone,MIN,C,3,0,0,0,0,0,473.0,0,0,0,0,0,2,0.0,0,0,0.5238,2016-2017
Ryan Suter,MIN,D,87,10,33,43,31,46,1622.977,5,9,1,0,1,179,0.05586,4,27,,2016-2017
Ryan White,MIN,C,65,9,7,16,-16,84,639.4769,0,0,0,0,1,60,0.15,9,16,0.42857,2016-2017
Tyler Graovac,MIN,C,52,7,2,9,7,10,590.4423,0,0,0,0,2,48,0.14583,7,9,0.47521,2016-2017
Zac Dalpe,MIN,C,9,1,2,3,0,9,513.3333,0,0,0,0,0,8,0.125,1,3,0.45762,2016-2017
Zach Parise,MIN,L,74,21,24,45,-7,38,1053.9864,7,6,0,0,4,213,0.09859,14,32,0.6,2016-2017
Zack Mitchell,MIN,R,11,0,0,0,-1,0,505.5454,0,0,0,0,0,10,0.0,0,0,0.57894,2016-2017
