Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Clendening,ARI,D,5,0,2,2,-1,2,956.0,0,0,0,0,0,4,0.0,0,2,,2017-2018
Anthony Duclair,ARI,L,56,11,12,23,-5,16,797.0,3,0,0,1,2,97,0.1134,8,20,0.5,2017-2018
Brad Richardson,ARI,R,76,3,12,15,-24,45,886.0131,0,0,0,0,0,105,0.02857,3,15,0.52061,2017-2018
Brendan Perlini,ARI,L,74,17,13,30,-2,28,870.7027,5,6,0,0,1,129,0.13178,12,19,0.45454,2017-2018
Christian Dvorak,ARI,C,78,15,22,37,-19,22,986.0128,2,5,0,0,2,151,0.09933,13,30,0.5136,2017-2018
Christian Fischer,ARI,R,79,15,18,33,-17,14,834.2911,5,3,0,2,3,154,0.0974,10,25,0.17241,2017-2018
Clayton Keller,ARI,R,82,23,42,65,-7,24,1085.1951,6,14,0,2,3,212,0.10849,17,44,0.47435,2017-2018
Dakota Mermis,ARI,D,9,0,0,0,-2,0,659.1111,0,0,0,0,0,7,0.0,0,0,,2017-2018
Derek Stepan,ARI,C,82,14,42,56,-7,26,1156.0365,3,15,2,0,2,209,0.06698,9,36,0.47741,2017-2018
Dylan Strome,ARI,C,21,4,5,9,4,8,776.8095,1,0,0,0,0,30,0.13333,3,8,0.4299,2017-2018
Freddie Hamilton,ARI,C,16,0,1,1,0,2,538.8125,0,0,0,0,0,12,0.0,0,0,0.38888,2017-2018
Jakob Chychrun,ARI,D,50,4,10,14,2,16,1215.0,2,2,0,0,1,102,0.03921,2,10,,2017-2018
Jason Demers,ARI,D,69,6,14,20,-4,37,1268.1594,0,3,0,0,2,95,0.06315,6,17,,2017-2018
Joel Hanley,ARI,D,5,0,0,0,0,0,667.8,0,0,0,0,0,2,0.0,0,0,,2017-2018
Jordan Martinook,ARI,L,81,6,9,15,-24,45,840.6172,0,0,0,0,1,112,0.05357,6,14,0.36448,2017-2018
Josh Archibald,ARI,R,42,5,6,11,-2,25,716.7142,0,0,0,0,0,42,0.11904,5,11,0.38461,2017-2018
Kevin Connauton,ARI,D,73,11,10,21,3,20,910.5753,0,0,0,0,3,102,0.10784,11,21,,2017-2018
Kyle Capobianco,ARI,D,1,0,0,0,-1,0,813.0,0,0,0,0,0,0,,0,0,,2017-2018
Laurent Dauphin,ARI,C,2,0,0,0,-1,2,433.5,0,0,0,0,0,1,0.0,0,0,0.55555,2017-2018
Lawson Crouse,ARI,L,11,1,0,1,-6,7,656.3636,0,0,0,0,0,13,0.07692,1,1,0.27272,2017-2018
Luke Schenn,ARI,D,64,1,6,7,-12,35,983.0625,0,0,0,0,1,59,0.01694,1,7,,2017-2018
Mario Kempe,ARI,R,18,2,2,4,-1,4,665.2777,0,0,0,0,0,20,0.1,2,4,0.38571,2017-2018
Max Domi,ARI,C,82,9,36,45,-7,73,1002.3658,1,8,0,0,0,150,0.06,8,36,0.44902,2017-2018
Nick Cousins,ARI,C,71,12,7,19,-7,31,771.7605,1,0,0,1,1,119,0.10084,11,18,0.375,2017-2018
Nick Merkley,ARI,R,1,0,0,0,0,2,810.0,0,0,0,0,0,0,,0,0,,2017-2018
Niklas Hjalmarsson,ARI,D,48,1,8,9,-3,18,1241.875,0,1,0,0,0,32,0.03125,1,8,,2017-2018
Oliver Ekman-Larsson,ARI,D,82,14,28,42,-28,44,1420.9146,6,9,0,0,3,202,0.0693,8,27,0.0,2017-2018
Richard Panik,ARI,R,72,14,21,35,7,38,911.8333,4,2,0,0,0,136,0.10294,10,29,0.33333,2017-2018
Tobias Rieder,ARI,L,78,12,13,25,-12,6,879.141,2,1,0,0,0,114,0.10526,10,22,0.47826,2017-2018
Trevor Murphy,ARI,D,8,1,2,3,5,0,854.125,0,0,0,0,0,5,0.2,1,3,,2017-2018
Zac Rinaldo,ARI,C,53,5,2,7,-7,44,677.0377,0,0,0,0,0,56,0.08928,5,7,0.26666,2017-2018
