Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Andrew Mangiapane,CGY,L,10,0,0,0,-3,2,535.8,0,0,0,0,0,7,0.0,0,0,1.0,2017-2018
Brett Kulak,CGY,D,71,2,6,8,-3,27,779.1408,0,0,0,0,0,73,0.02739,2,8,,2017-2018
Chris Stewart,CGY,R,54,10,6,16,-5,27,644.537,1,0,0,0,1,68,0.14705,9,15,0.3,2017-2018
Curtis Lazar,CGY,C,65,2,10,12,-8,23,591.4307,0,0,0,0,1,65,0.03076,2,12,0.39669,2017-2018
Dougie Hamilton,CGY,D,82,17,27,44,1,64,1291.8536,6,6,0,1,4,270,0.06296,11,32,0.33333,2017-2018
Freddie Hamilton,CGY,C,16,0,1,1,0,2,538.8125,0,0,0,0,0,12,0.0,0,0,0.38888,2017-2018
Garnet Hathaway,CGY,R,59,4,9,13,3,88,691.9661,0,0,1,0,0,68,0.05882,3,12,0.1,2017-2018
Jaromir Jagr,CGY,R,22,1,6,7,6,10,782.7272,0,1,0,0,0,32,0.03125,1,6,,2017-2018
Johnny Gaudreau,CGY,L,80,24,60,84,2,26,1165.425,3,21,0,0,4,227,0.10572,21,60,0.2,2017-2018
Kris Versteeg,CGY,R,24,3,5,8,-8,6,790.9583,1,4,0,0,1,49,0.06122,2,3,0.58974,2017-2018
Marek Hrivik,CGY,L,3,0,0,0,1,0,510.3333,0,0,0,0,0,2,0.0,0,0,0.0,2017-2018
Mark Giordano,CGY,D,82,13,25,38,0,63,1487.256,1,9,1,2,4,214,0.06074,11,27,,2017-2018
Mark Jankowski,CGY,L,72,17,8,25,-7,33,801.3611,2,1,2,0,3,118,0.14406,13,20,0.48765,2017-2018
Matt Bartkowski,CGY,D,18,0,3,3,-3,4,800.7222,0,0,0,0,0,21,0.0,0,3,,2017-2018
Matt Stajan,CGY,C,68,4,8,12,4,28,656.0882,0,0,0,0,1,65,0.06153,4,12,0.51452,2017-2018
Matthew Tkachuk,CGY,L,68,24,25,49,-1,61,1035.0441,10,7,0,0,2,188,0.12765,14,32,0.41176,2017-2018
Michael Stone,CGY,D,82,3,7,10,-11,28,1004.8292,0,1,0,0,0,98,0.03061,3,9,,2017-2018
Micheal Ferland,CGY,L,77,21,20,41,5,24,901.1558,6,0,0,0,0,144,0.14583,15,35,0.38596,2017-2018
Mikael Backlund,CGY,C,82,14,31,45,-21,78,1141.378,3,8,1,0,2,214,0.06542,10,31,0.5,2017-2018
Morgan Klimchuk,CGY,L,1,0,0,0,0,0,445.0,0,0,0,0,0,0,,0,0,,2017-2018
Nicholas Shore,CGY,C,64,5,14,19,-3,16,850.1093,0,1,0,1,1,74,0.06756,5,18,0.47696,2017-2018
Rasmus Andersson,CGY,D,10,0,0,0,-1,4,926.3,0,0,0,0,0,8,0.0,0,0,,2017-2018
Ryan Lomberg,CGY,L,7,0,1,1,0,15,375.0,0,0,0,0,0,5,0.0,0,1,0.0,2017-2018
Sam Bennett,CGY,C,82,11,15,26,-18,59,864.0243,1,2,0,0,1,157,0.07006,10,23,0.54337,2017-2018
Sean Monahan,CGY,C,74,31,33,64,3,24,1120.9189,9,10,0,3,11,202,0.15346,22,45,0.5039,2017-2018
Spencer Foo,CGY,R,4,2,0,2,1,0,951.25,0,0,0,0,0,16,0.125,2,2,1.0,2017-2018
Tanner Glass,CGY,L,16,0,0,0,-4,19,562.8125,0,0,0,0,0,14,0.0,0,0,0.33333,2017-2018
TJ Brodie,CGY,D,73,4,28,32,-16,18,1420.8082,1,10,0,0,0,118,0.03389,3,21,,2017-2018
Travis Hamonic,CGY,D,74,1,10,11,-9,79,1241.8918,0,0,0,0,0,107,0.00934,1,11,0.0,2017-2018
Troy Brouwer,CGY,R,76,6,16,22,-7,53,835.8815,0,5,0,0,0,79,0.07594,6,16,0.46543,2017-2018
