Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Barclay Goodrow,SJS,C,49,7,7,14,1,28,662.9183,0,0,1,0,1,59,0.11864,6,13,0.58657,2017-2018
Brenden Dillon,SJS,D,91,5,21,26,-3,92,1041.2197,0,0,0,0,0,94,0.05319,5,26,,2017-2018
Brent Burns,SJS,D,92,15,59,74,-20,52,1518.8913,6,24,0,1,2,364,0.0412,9,43,,2017-2018
Chris Tierney,SJS,C,92,17,25,42,-2,10,961.6195,3,6,2,0,2,134,0.12686,12,29,0.50924,2017-2018
Danny O'Regan,SJS,C,21,0,4,4,-2,2,598.0952,0,1,0,0,0,17,0.0,0,3,0.48333,2017-2018
Dylan DeMelo,SJS,D,73,0,21,21,4,38,863.8493,0,3,0,0,0,84,0.0,0,18,,2017-2018
Dylan Gambrell,SJS,C,3,0,0,0,-1,0,633.3333,0,0,0,0,0,1,0.0,0,0,0.5,2017-2018
Eric Fehr,SJS,C,10,1,1,2,3,6,667.2,0,0,0,0,0,12,0.08333,1,2,0.54022,2017-2018
Eric Fehr,SJS,C,18,3,1,4,6,2,706.8888,0,0,0,0,0,27,0.11111,3,4,0.47482,2017-2018
Evander Kane,SJS,L,9,4,1,5,-5,23,1091.4444,2,0,0,0,1,35,0.11428,2,3,0.41025,2017-2018
Evander Kane,SJS,L,78,29,25,54,-9,82,1174.5769,3,6,4,0,2,307,0.09446,22,41,0.44444,2017-2018
Jannik Hansen,SJS,R,46,2,12,14,2,15,722.4565,0,0,0,0,2,54,0.03703,2,13,0.66666,2017-2018
Joakim Ryan,SJS,D,65,3,9,12,11,8,995.3076,0,0,0,0,1,82,0.03658,3,11,,2017-2018
Joe Pavelski,SJS,C,92,24,50,74,-3,49,1169.4021,9,20,0,0,1,254,0.09448,15,45,0.54674,2017-2018
Joe Thornton,SJS,C,47,13,23,36,-9,38,1100.7021,7,11,0,0,1,75,0.17333,6,18,0.52045,2017-2018
Joel Ward,SJS,R,52,5,7,12,-2,20,712.4423,0,0,0,0,2,40,0.125,5,12,0.4632,2017-2018
Joonas Donskoi,SJS,R,75,16,20,36,9,26,897.9066,1,5,0,0,3,140,0.11428,15,30,0.41666,2017-2018
Justin Braun,SJS,D,91,5,29,34,8,32,1288.4065,0,0,0,0,0,124,0.04032,5,34,,2017-2018
Kevin Labanc,SJS,R,87,12,33,45,-7,34,861.0459,5,16,0,1,3,171,0.07017,7,24,0.3125,2017-2018
Logan Couture,SJS,C,88,38,35,73,-2,22,1124.125,12,15,2,2,5,236,0.16101,24,43,0.46892,2017-2018
Marc-Edouard Vlasic,SJS,D,91,11,23,34,9,40,1371.3626,1,3,0,1,2,176,0.0625,10,29,0.0,2017-2018
Marcus Sorensen,SJS,L,42,9,3,12,0,7,612.4047,0,0,0,0,2,34,0.2647,9,12,0.2,2017-2018
Melker Karlsson,SJS,C,81,8,14,22,-3,28,787.9135,0,0,1,0,1,90,0.08888,7,21,0.57142,2017-2018
Mikkel Boedker,SJS,L,84,16,27,43,1,18,806.5238,4,5,0,0,4,137,0.11678,12,34,0.26315,2017-2018
Paul Martin,SJS,D,21,0,2,2,1,4,863.7142,0,0,0,0,0,10,0.0,0,2,,2017-2018
Ryan Carpenter,SJS,C,52,9,6,15,1,11,755.9615,0,0,1,0,2,85,0.10588,8,14,0.50251,2017-2018
Tim Heed,SJS,D,29,3,8,11,0,8,961.1724,2,3,0,0,2,51,0.05882,1,6,,2017-2018
Timo Meier,SJS,R,91,23,18,41,1,61,893.8461,5,2,0,0,4,239,0.09623,18,34,0.47928,2017-2018
Tomas Hertl,SJS,C,89,28,27,55,0,49,1099.9325,7,8,1,1,7,209,0.13397,20,37,0.51718,2017-2018
