Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Andreas Athanasiou,DET,C,76,30,24,54,-9,38,1018.4736,3,8,0,1,4,216,0.13888,27,43,0.42857,2018-2019
Anthony Mantha,DET,R,67,25,23,48,-8,30,1069.6268,7,6,0,1,1,198,0.12626,18,35,0.44,2018-2019
Brian Lashoff,DET,D,4,0,1,1,-1,2,819.5,0,0,0,0,0,2,0.0,0,1,,2018-2019
Christoffer Ehn,DET,C,60,3,6,9,-5,6,636.85,0,0,1,0,1,49,0.06122,2,8,0.47457,2018-2019
Danny DeKeyser,DET,D,52,5,15,20,2,39,1318.0384,0,0,0,1,3,59,0.08474,5,20,,2018-2019
Darren Helm,DET,C,61,7,10,17,-11,20,874.459,0,0,1,0,0,107,0.06542,6,13,0.44444,2018-2019
Dennis Cholowski,DET,D,52,7,9,16,-20,16,1095.1923,4,5,0,0,1,71,0.09859,3,7,1.0,2018-2019
Dominic Turgeon,DET,C,4,0,0,0,-3,0,755.25,0,0,0,0,0,2,0.0,0,0,0.38095,2018-2019
Dylan Larkin,DET,C,76,32,41,73,-6,75,1310.5263,7,8,2,4,4,287,0.11149,23,55,0.54505,2018-2019
Dylan McIlrath,DET,D,7,0,0,0,2,4,911.2857,0,0,0,0,0,6,0.0,0,0,,2018-2019
Filip Hronek,DET,D,46,5,18,23,-10,30,1197.6521,1,4,0,0,0,73,0.06849,4,17,,2018-2019
Filip Zadina,DET,R,9,1,2,3,-5,0,923.1111,1,1,0,0,0,18,0.05555,0,1,0.5,2018-2019
Frans Nielsen,DET,C,72,10,25,35,-7,14,1000.7638,0,8,0,0,4,120,0.08333,10,26,0.48754,2018-2019
Gustav Nyquist,DET,R,81,22,38,60,1,12,1051.1851,2,10,0,1,3,204,0.10784,20,48,0.5,2018-2019
Jacob de la Rose,DET,L,60,3,6,9,-13,16,686.2833,0,0,0,0,0,55,0.05454,3,9,0.42368,2018-2019
Jake Chelios,DET,D,5,0,0,0,0,2,1032.4,0,0,0,0,0,5,0.0,0,0,,2018-2019
Joe Hicketts,DET,D,11,0,0,0,-9,0,1115.3636,0,0,0,0,0,16,0.0,0,0,,2018-2019
Jonathan Ericsson,DET,D,52,3,2,5,-10,35,1033.173,0,0,0,0,1,48,0.0625,3,5,,2018-2019
Justin Abdelkader,DET,L,71,6,13,19,-14,38,924.0281,1,1,1,0,0,95,0.06315,4,16,0.50485,2018-2019
Libor Sulak,DET,D,6,0,0,0,-4,6,1162.8333,0,0,0,0,0,7,0.0,0,0,,2018-2019
Luke Glendening,DET,C,78,10,13,23,2,15,947.3205,0,0,1,0,1,102,0.09803,9,20,0.55668,2018-2019
Madison Bowey,DET,D,50,2,8,10,-1,46,915.5,0,0,0,0,1,48,0.04166,2,10,,2018-2019
Martin Frk,DET,R,30,1,5,6,-9,4,551.1333,1,0,0,0,0,28,0.03571,0,5,,2018-2019
Matt Puempel,DET,L,8,1,0,1,-2,2,624.125,1,0,0,0,0,10,0.1,0,0,0.0,2018-2019
Michael Rasmussen,DET,C,62,8,10,18,-8,29,724.5645,4,0,0,0,0,74,0.1081,4,14,0.35937,2018-2019
Mike Green,DET,D,43,5,21,26,-1,28,1300.6511,0,3,0,0,0,92,0.05434,5,23,,2018-2019
Nick Jensen,DET,D,80,2,18,20,4,21,1191.125,0,0,0,0,0,94,0.02127,2,19,,2018-2019
Niklas Kronwall,DET,D,79,3,24,27,-5,40,1197.1772,1,7,0,0,0,71,0.04225,2,19,,2018-2019
Ryan Kuffner,DET,L,10,0,0,0,-4,0,656.1,0,0,0,0,0,8,0.0,0,0,0.0,2018-2019
Taro Hirose,DET,L,10,1,6,7,0,2,918.3,0,1,0,0,1,15,0.06666,1,6,1.0,2018-2019
Thomas Vanek,DET,L,64,16,20,36,-12,26,846.6875,4,7,0,0,1,108,0.14814,12,25,0.28,2018-2019
Trevor Daley,DET,D,44,2,6,8,-3,12,1113.5681,0,0,1,0,1,47,0.04255,1,7,,2018-2019
Tyler Bertuzzi,DET,L,73,21,26,47,11,36,990.9726,3,3,0,1,4,131,0.1603,18,41,0.33333,2018-2019
Wade Megan,DET,C,11,0,1,1,-4,2,472.6363,0,0,0,0,0,16,0.0,0,1,0.54901,2018-2019
