Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Andreas Johnsson,TOR,L,80,21,26,47,10,32,832.95,4,4,0,0,4,145,0.14482,17,39,0.33333,2018-2019
Auston Matthews,TOR,C,75,42,37,79,-12,14,1120.2133,14,9,0,2,5,283,0.1484,28,56,0.52062,2018-2019
Calle Rosen,TOR,D,4,1,0,1,-3,0,1002.25,0,0,0,0,0,5,0.2,1,1,,2018-2019
Connor Brown,TOR,R,89,8,22,30,13,18,823.7865,0,1,0,0,0,91,0.08791,8,26,0.39622,2018-2019
Frederik Gauthier,TOR,C,77,3,11,14,4,14,496.7012,0,0,0,0,0,47,0.06382,3,14,0.524,2018-2019
Igor Ozhiganov,TOR,D,53,3,4,7,0,14,840.9056,0,0,0,0,0,43,0.06976,3,7,,2018-2019
Jake Gardiner,TOR,D,69,3,29,32,17,26,1242.1159,0,5,0,0,0,85,0.03529,3,27,0.0,2018-2019
Jake Muzzin,TOR,D,7,0,2,2,-6,2,1219.0,0,0,0,0,0,7,0.0,0,2,,2018-2019
Jake Muzzin,TOR,D,80,9,28,37,21,47,1280.4875,1,4,0,0,1,141,0.06382,8,31,,2018-2019
John Tavares,TOR,C,89,49,44,93,14,34,1148.1011,10,10,0,1,8,307,0.1596,39,73,0.53873,2018-2019
Josh Leivo,TOR,L,76,14,10,24,5,32,841.8026,3,4,0,0,2,151,0.09271,11,17,0.36585,2018-2019
Justin Holl,TOR,D,11,0,1,1,-5,2,748.909,0,0,0,0,0,6,0.0,0,1,,2018-2019
Kasperi Kapanen,TOR,R,85,21,25,46,11,29,999.4588,1,2,2,1,4,192,0.10937,18,41,0.5,2018-2019
Martin Marincin,TOR,D,24,1,4,5,-4,12,912.0,0,0,0,0,0,34,0.02941,1,5,0.0,2018-2019
Mitch Marner,TOR,R,89,28,70,98,18,24,1192.9101,3,20,2,0,6,252,0.11111,23,71,0.66666,2018-2019
Morgan Rielly,TOR,D,89,21,56,77,24,14,1396.5505,3,19,0,2,5,249,0.08433,18,55,0.0,2018-2019
Nazem Kadri,TOR,C,75,17,29,46,-1,62,968.8,4,9,0,0,5,187,0.0909,13,33,0.55047,2018-2019
Nic Petan,TOR,C,18,1,2,3,-5,2,458.1666,0,0,0,0,1,15,0.06666,1,3,0.45833,2018-2019
Nikita Zaitsev,TOR,D,88,3,11,14,-1,20,1221.1704,0,0,0,0,0,79,0.03797,3,14,,2018-2019
Par Lindholm,TOR,C,65,1,12,13,5,18,680.8,0,0,0,0,0,65,0.01538,1,13,0.50122,2018-2019
Patrick Marleau,TOR,C,89,16,23,39,-5,30,972.7415,4,6,0,0,3,169,0.09467,12,29,0.52916,2018-2019
Ron Hainsey,TOR,D,88,5,19,24,35,23,1216.0,0,0,1,0,0,89,0.05617,4,23,1.0,2018-2019
Travis Dermott,TOR,D,71,5,15,20,-5,24,1027.4225,0,0,0,0,0,104,0.04807,5,20,,2018-2019
Trevor Moore,TOR,L,32,3,6,9,2,2,528.2812,0,0,0,0,0,32,0.09375,3,9,,2018-2019
Tyler Ennis,TOR,R,56,12,8,20,-5,4,589.3035,2,3,0,0,1,86,0.13953,10,15,1.0,2018-2019
William Nylander,TOR,R,61,8,22,30,-3,18,931.9672,1,5,0,0,0,144,0.05555,7,24,0.54567,2018-2019
Zach Hyman,TOR,L,78,22,20,42,13,67,1041.0512,0,0,1,0,4,158,0.13924,21,41,0.45895,2018-2019
