Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Lowry,WPG,C,77,9,15,24,-2.0,4,9:44,5,2,74,12.2,,,,,,1,0,0.0
Andrew Copp,WPG,C,80,14,15,29,9.0,41,14:06,0,0,127,11.0,,,,,,0,0,0.0
Ben Chiarot,WPG,D,78,12,11,23,6.0,33,14:38,0,0,105,11.4,,,,,,0,0,0.0
Brandon Tanev,WPG,LW,82,15,15,30,-1.0,44,12:13,4,3,95,15.8,,,,,,1,0,0.0
Brendan Lemieux LW *,WPG,,20,5,8,13,-3.0,2,15:17,0,0,37,13.5,,,,,,0,0,0.0
Bryan Little,WPG,C,82,8,42,50,8.0,58,22:52,3,15,162,4.9,,,,,,0,0,0.0
Cameron Schilling,WPG,D,4,0,1,1,0.0,0,9:47,0,0,5,0.0,,,,,,0,0,0.0
Dmitry Kulikov,WPG,D,41,1,6,7,0.0,20,13:57,0,0,40,2.5,,,,,,0,0,0.0
Dustin Byfuglien,WPG,D,62,21,16,37,2.0,15,15:45,2,5,158,13.3,,,,,,0,0,0.0
Jack Roslovic,WPG,C,69,11,14,25,20.0,6,12:09,0,0,82,13.4,,,,,,0,0,0.0
Jacob Trouba,WPG,D,82,30,20,50,-24.0,42,17:13,15,8,245,12.2,,,,,,3,2,66.7
Joe Morrow,WPG,D,36,3,7,10,9.0,4,8:12,0,0,29,10.3,,,,,,0,0,0.0
Josh Morrissey,WPG,D,80,9,22,31,11.0,63,20:20,0,7,156,5.8,,,,,,0,0,0.0
Kevin Hayes RW *,WPG,,78,5,15,20,6.0,62,18:36,0,0,111,4.5,,,,,,0,0,0.0
Kristian Vesalainen,WPG,LW,13,0,2,2,-2.0,2,7:13,0,0,10,0.0,,,,,,0,0,0.0
Kyle Connor,WPG,LW,82,38,46,84,8.0,38,21:51,12,11,199,19.1,,,,,,2,1,50.0
Mark Scheifele,WPG,C,82,20,71,91,0.0,60,20:42,2,31,231,8.7,,,,,,1,0,0.0
Mason Appleton,WPG,C,44,9,2,11,10.0,64,7:24,0,0,37,24.3,,,,,,0,0,0.0
Mathieu Perreault,WPG,LW,59,6,25,31,9.0,14,22:24,3,7,95,6.3,,,,,,0,0,0.0
Matt Hendricks C *,WPG,,4,0,1,1,0.0,0,12:05,0,0,2,0.0,,,,,,0,0,0.0
Nathan Beaulieu D *,WPG,,57,0,6,6,4.0,47,15:39,0,0,40,0.0,,,,,,0,0,0.0
Nelson Nogier,WPG,D,4,0,1,1,0.0,0,8:03,0,0,3,0.0,,,,,,0,0,0.0
Nic Petan C *,WPG,,30,1,3,4,0.0,2,13:55,0,0,19,5.3,,,,,,0,0,0.0
Nikolaj Ehlers,WPG,LW,82,15,26,41,-12.0,26,15:49,4,3,126,11.9,,,,,,1,0,0.0
Par Lindholm C *,WPG,,5,0,1,1,0.0,0,6:50,0,0,1,0.0,,,,,,0,0,0.0
Patrik Laine,WPG,RW,82,34,32,66,-7.0,18,19:15,11,8,227,15.0,,,,,,3,2,66.7
Sami Niku,WPG,D,18,0,5,5,5.0,7,16:50,0,0,25,0.0,,,,,,0,0,0.0
Total,WPG,,1,0,0,0,0.0,0,10:06,0,0,1,0.0,,,,,,0,0,0.0
Tyler Myers,WPG,D,42,4,27,31,4.0,69,24:21,1,15,115,3.5,,,,,,0,0,0.0
