Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alexandre Carrier,NSH,D,3,0,0,0,2,2,646.6666,0,0,0,0,0,4,0.0,0,0,,2019-2020
Anthony Richard,NSH,C,1,0,0,0,-1,0,250.0,0,0,0,0,0,2,0.0,0,0,,2019-2020
Austin Watson,NSH,L,57,6,8,14,-9,67,692.8596,0,0,0,0,1,56,0.10714,6,12,0.5,2019-2020
Calle Jarnkrok,NSH,C,68,16,19,35,4,14,946.2941,2,7,2,0,2,142,0.11267,12,24,0.47222,2019-2020
Colin Blackwell,NSH,C,27,3,7,10,7,10,657.2592,0,0,0,0,0,31,0.09677,3,10,0.5606,2019-2020
Colton Sissons,NSH,C,61,9,7,16,-2,20,854.2295,0,0,1,0,2,53,0.16981,8,15,0.51655,2019-2020
Craig Smith,NSH,C,73,18,13,31,14,36,803.4657,4,3,0,0,2,197,0.09137,14,24,0.46666,2019-2020
Dan Hamhuis,NSH,D,60,0,8,8,6,35,870.8166,0,0,0,0,0,44,0.0,0,8,,2019-2020
Daniel Carr,NSH,L,11,1,0,1,-5,4,620.1818,0,0,0,0,0,14,0.07142,1,1,0.0,2019-2020
Dante Fabbro,NSH,D,68,5,6,11,-8,40,1146.9852,1,0,0,0,0,94,0.05319,4,10,,2019-2020
Filip Forsberg,NSH,L,67,24,29,53,-6,31,1048.9402,9,7,0,0,2,221,0.10859,15,37,0.33333,2019-2020
Jarred Tinordi,NSH,D,32,1,4,5,-3,36,951.9687,0,0,0,0,0,23,0.04347,1,4,,2019-2020
Korbinian Holzer,NSH,D,49,1,3,4,-2,37,962.2448,0,0,0,0,0,39,0.02564,1,3,,2019-2020
Kyle Turris,NSH,C,66,9,22,31,-13,22,924.0,2,8,0,0,4,94,0.09574,7,21,0.47201,2019-2020
Mathieu Olivier,NSH,R,8,0,1,1,1,4,452.75,0,0,0,0,0,6,0.0,0,1,,2019-2020
Matt Duchene,NSH,C,70,14,30,44,-8,26,1013.9428,6,7,0,0,1,147,0.09523,8,31,0.56431,2019-2020
Matt Irwin,NSH,D,36,0,3,3,-15,15,868.3333,0,0,0,0,0,58,0.0,0,3,,2019-2020
Mattias Ekholm,NSH,D,72,8,26,34,-3,32,1404.9305,0,5,1,0,2,166,0.04819,7,27,,2019-2020
Miikka Salomaki,NSH,R,5,1,0,1,2,4,728.8,0,0,0,0,1,2,0.5,1,1,,2019-2020
Mikael Granlund,NSH,C,67,17,14,31,-7,30,1071.388,4,2,1,2,4,137,0.12408,12,24,0.48717,2019-2020
Nick Bonino,NSH,C,71,19,17,36,15,18,990.6619,1,0,0,0,3,111,0.17117,18,35,0.52899,2019-2020
Roman Josi,NSH,D,73,16,53,69,20,45,1550.5205,4,21,0,0,1,281,0.05693,12,44,,2019-2020
Ryan Ellis,NSH,D,53,9,32,41,16,21,1424.4905,2,7,0,2,3,127,0.07086,7,32,,2019-2020
Ryan Johansen,NSH,C,72,15,26,41,-4,47,1027.8333,3,8,1,0,2,108,0.13888,11,29,0.53673,2019-2020
Steven Santini,NSH,D,2,0,0,0,1,2,573.0,0,0,0,0,0,1,0.0,0,0,,2019-2020
Viktor Arvidsson,NSH,L,61,18,13,31,-4,28,973.0491,5,4,0,0,1,143,0.12587,13,22,0.6,2019-2020
Yakov Trenin,NSH,C,21,2,4,6,1,9,584.0952,0,0,0,0,0,25,0.08,2,6,0.75,2019-2020
Yannick Weber,NSH,D,45,1,2,3,-3,14,812.0222,0,0,0,0,1,48,0.02083,1,3,,2019-2020
