Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Andreas Englund,OTT,D,24,0,3,3,-8,12,654.375,0,0,0,0,0,10,0.0,0,3,,2019-2020
Anthony Duclair,OTT,L,66,23,17,40,-5,18,975.6515,5,3,2,2,2,184,0.125,16,30,0.5,2019-2020
Artem Anisimov,OTT,C,49,15,5,20,-15,8,830.9183,5,1,0,1,1,87,0.17241,10,14,0.5,2019-2020
Bobby Ryan,OTT,R,24,5,3,8,3,22,811.0416,0,0,0,0,0,43,0.11627,5,8,0.6,2019-2020
Brady Tkachuk,OTT,L,71,21,23,44,-14,106,1136.0563,2,6,0,1,3,259,0.08108,19,36,0.46153,2019-2020
Chris Tierney,OTT,C,71,11,26,37,-6,20,1031.3943,1,1,4,1,2,102,0.10784,6,30,0.51178,2019-2020
Christian Jaros,OTT,D,13,0,3,3,-2,6,630.923,0,0,0,0,0,5,0.0,0,2,,2019-2020
Christian Wolanin,OTT,D,3,0,0,0,1,0,1061.0,0,0,0,0,0,4,0.0,0,0,,2019-2020
Cody Goloubef,OTT,D,26,1,1,2,-3,8,911.2692,0,0,0,0,0,18,0.05555,1,2,,2019-2020
Colin White,OTT,C,61,7,16,23,-12,39,942.4098,1,3,0,0,0,83,0.08433,6,19,0.47413,2019-2020
Connor Brown,OTT,R,71,16,27,43,-6,24,1206.8873,3,1,0,0,1,173,0.09248,13,37,0.42647,2019-2020
Drake Batherson,OTT,R,23,3,7,10,-12,13,933.7826,1,5,0,0,0,32,0.09375,2,4,0.57142,2019-2020
Dylan DeMelo,OTT,D,59,0,10,10,4,37,1208.5762,0,0,0,0,0,74,0.0,0,8,,2019-2020
Erik Brannstrom,OTT,D,31,0,4,4,-9,16,890.5483,0,1,0,0,0,38,0.0,0,3,,2019-2020
Filip Chlapik,OTT,C,31,3,3,6,-7,10,526.1935,0,0,0,0,1,27,0.11111,3,6,0.38709,2019-2020
J.C. Beaudin,OTT,C,22,0,1,1,-4,7,517.6818,0,0,0,0,0,18,0.0,0,1,0.52542,2019-2020
Jayce Hawryluk,OTT,R,26,3,7,10,1,16,665.6153,0,0,0,0,0,26,0.11538,3,10,0.33333,2019-2020
Jean-Gabriel Pageau,OTT,C,67,26,16,42,4,49,1149.4179,5,5,3,1,5,151,0.17218,18,26,0.53524,2019-2020
Jonathan Davidsson,OTT,R,6,0,1,1,0,0,331.3333,0,0,0,0,0,3,0.0,0,1,,2019-2020
Jordan Szwarz,OTT,C,3,0,0,0,0,2,295.3333,0,0,0,0,0,2,0.0,0,0,0.44444,2019-2020
Josh Norris,OTT,C,3,0,0,0,2,0,1075.0,0,0,0,0,0,9,0.0,0,0,0.61224,2019-2020
Logan Brown,OTT,C,23,1,7,8,0,4,705.4347,1,2,0,0,1,23,0.04347,0,5,0.41044,2019-2020
Mark Borowiecki,OTT,D,53,7,11,18,1,58,1076.3584,0,0,1,0,0,63,0.11111,6,17,,2019-2020
Matthew Peca,OTT,C,14,0,2,2,-4,0,626.5714,0,0,0,0,0,7,0.0,0,2,0.5443,2019-2020
Max Veronneau,OTT,R,4,0,0,0,-2,0,505.0,0,0,0,0,0,3,0.0,0,0,,2019-2020
Maxime Lajoie,OTT,D,6,0,0,0,0,0,469.0,0,0,0,0,0,3,0.0,0,0,,2019-2020
Mike Reilly,OTT,D,44,1,15,16,-6,24,1081.2045,1,8,0,0,1,85,0.01176,0,6,,2019-2020
Mikkel Boedker,OTT,L,20,2,2,4,-1,0,582.85,0,0,1,0,0,29,0.06896,1,3,0.25,2019-2020
Nick Paul,OTT,L,56,9,11,20,0,24,866.5178,0,1,0,0,2,103,0.08737,9,19,0.51206,2019-2020
Nikita Zaitsev,OTT,D,58,1,11,12,-8,22,1329.1724,0,0,0,0,0,64,0.01562,1,12,,2019-2020
Ron Hainsey,OTT,D,64,1,11,12,10,12,1240.9062,0,0,0,0,1,43,0.02325,1,9,,2019-2020
Rudolfs Balcers,OTT,L,15,1,2,3,-2,0,728.3333,0,0,0,0,1,23,0.04347,1,3,0.0,2019-2020
Scott Sabourin,OTT,R,35,2,4,6,-6,33,420.8571,0,0,0,0,0,29,0.06896,2,6,0.0,2019-2020
Thomas Chabot,OTT,D,71,6,33,39,-18,42,1560.2253,0,11,0,0,0,186,0.03225,6,28,,2019-2020
Tyler Ennis,OTT,R,70,16,21,37,-6,20,882.5142,5,5,0,0,1,159,0.10062,11,27,0.46666,2019-2020
Vitaly Abramov,OTT,L,2,1,0,1,0,2,347.0,0,0,0,0,0,3,0.33333,1,1,,2019-2020
Vladislav Namestnikov,OTT,C,65,17,14,31,-5,45,903.4923,2,2,4,0,2,98,0.17346,11,21,0.46808,2019-2020
