Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alex Pietrangelo,STL,D,79,17,41,58,11,26,1457.9367,7,19,0,0,3,258,0.06589,10,31,,2019-2020
Alexander Steen,STL,L,59,7,10,17,6,18,834.1864,0,1,0,0,0,71,0.09859,7,16,0.53333,2019-2020
Austin Poganski,STL,R,1,0,0,0,0,0,354.0,0,0,0,0,0,0,,0,0,,2019-2020
Brayden Schenn,STL,C,80,27,36,63,1,50,1116.55,10,13,0,1,5,161,0.1677,17,40,0.48553,2019-2020
Carl Gunnarsson,STL,D,42,2,6,8,10,22,955.119,0,0,0,0,0,36,0.05555,2,7,,2019-2020
Colton Parayko,STL,D,73,12,18,30,4,18,1377.5616,3,2,0,1,1,200,0.06,9,24,,2019-2020
David Perron,STL,L,80,29,40,69,4,60,1111.3875,11,20,0,4,9,197,0.1472,18,38,0.375,2019-2020
Derrick Pouliot,STL,D,2,0,0,0,-1,2,500.0,0,0,0,0,0,1,0.0,0,0,,2019-2020
Ivan Barbashev,STL,L,72,11,15,26,4,25,803.8611,0,0,2,0,2,78,0.14102,9,23,0.44705,2019-2020
Jacob de la Rose,STL,L,5,0,0,0,-1,0,575.0,0,0,0,0,0,5,0.0,0,0,0.4,2019-2020
Jacob de la Rose,STL,L,50,2,7,9,2,10,643.48,0,0,0,0,0,46,0.04347,2,9,0.43065,2019-2020
Jaden Schwartz,STL,L,80,26,35,61,0,22,1100.6625,9,11,0,1,4,192,0.13541,17,41,0.45454,2019-2020
Jake Walman,STL,D,1,0,0,0,1,0,664.0,0,0,0,0,0,1,0.0,0,0,,2019-2020
Jay Bouwmeester,STL,D,56,1,8,9,6,20,1294.3214,0,0,0,0,0,53,0.01886,1,8,,2019-2020
Jordan Kyrou,STL,R,33,4,5,9,0,8,629.6969,0,1,0,0,0,44,0.0909,4,8,0.4,2019-2020
Justin Faulk,STL,D,78,6,11,17,-3,34,1236.3205,1,2,0,0,1,156,0.03846,5,13,,2019-2020
Klim Kostin,STL,C,4,1,0,1,1,0,512.25,0,0,0,0,0,5,0.2,1,1,,2019-2020
Mackenzie MacEachern,STL,L,56,7,3,10,0,39,525.5535,0,0,0,0,2,69,0.10144,7,10,0.2,2019-2020
Marco Scandella,STL,D,9,0,0,0,-3,0,1212.8888,0,0,0,0,0,9,0.0,0,0,,2019-2020
Marco Scandella,STL,D,62,4,9,13,14,20,1055.0967,0,0,0,0,0,77,0.05194,4,13,,2019-2020
Nathan Walker,STL,L,5,1,1,2,-2,4,667.8,0,0,0,0,0,6,0.16666,1,2,1.0,2019-2020
Niko Mikkola,STL,D,5,0,1,1,3,0,861.8,0,0,0,0,0,10,0.0,0,1,,2019-2020
Oskar Sundqvist,STL,C,66,12,12,24,1,30,857.803,0,0,1,0,1,107,0.11214,11,22,0.43617,2019-2020
Robby Fabbri,STL,C,61,15,17,32,-33,20,968.918,6,3,0,0,3,111,0.13513,9,23,0.40298,2019-2020
Robert Bortuzzo,STL,D,45,2,4,6,9,21,775.8888,0,0,0,0,1,37,0.05405,2,6,,2019-2020
Robert Thomas,STL,C,74,11,34,45,9,20,882.1756,1,7,0,0,2,96,0.11458,10,37,0.44594,2019-2020
Ryan O'Reilly,STL,C,80,16,56,72,14,10,1252.7125,4,18,1,1,4,141,0.11347,11,49,0.57296,2019-2020
Samuel Blais,STL,L,48,7,10,17,-2,32,743.9166,0,0,0,0,1,65,0.10769,7,17,0.0,2019-2020
Tyler Bozak,STL,C,75,13,18,31,-3,12,936.3066,2,3,1,0,2,122,0.10655,10,25,0.53479,2019-2020
Vince Dunn,STL,D,80,9,17,26,13,35,976.8375,4,6,0,0,1,152,0.05921,5,16,,2019-2020
Zachary Sanford,STL,L,67,17,17,34,12,45,836.1641,2,0,0,0,3,103,0.16504,15,32,0.30769,2019-2020
