Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Pelech,NYI,D,75,5,14,19,14,31,1297.0266,0,0,1,0,0,114,0.04385,4,17,,2020-2021
Anders Lee,NYI,L,27,12,7,19,11,12,1051.5555,3,1,0,0,3,80,0.15,9,15,0.49218,2020-2021
Andy Greene,NYI,D,74,1,5,6,10,14,1055.3783,0,0,0,0,0,67,0.01492,1,6,,2020-2021
Anthony Beauvillier,NYI,R,66,20,21,41,14,16,1006.1515,5,2,0,3,6,162,0.12345,15,34,0.28571,2020-2021
Austin Czarnik,NYI,C,4,0,0,0,-1,0,749.5,0,0,0,0,0,2,0.0,0,0,0.58333,2020-2021
Braydon Coburn,NYI,D,19,0,2,2,-3,14,962.6842,0,0,0,0,0,18,0.0,0,1,,2020-2021
Brock Nelson,NYI,C,75,25,20,45,-6,18,1069.1466,8,3,0,0,6,156,0.16025,17,34,0.48881,2020-2021
Cal Clutterbuck,NYI,R,69,8,10,18,0,20,814.1739,0,0,1,0,1,73,0.10958,7,17,0.33333,2020-2021
Casey Cizikas,NYI,C,75,9,10,19,-2,29,829.8933,0,0,0,1,4,104,0.08653,9,19,0.55338,2020-2021
Dmytro Timashov,NYI,L,1,0,0,0,-2,0,433.0,0,0,0,0,0,1,0.0,0,0,,2020-2021
Jean-Gabriel Pageau,NYI,C,73,17,24,41,19,16,1013.2465,6,4,2,0,3,120,0.14166,9,29,0.56112,2020-2021
Jordan Eberle,NYI,R,74,20,24,44,8,20,995.7297,3,6,0,0,2,174,0.11494,17,35,0.33333,2020-2021
Josh Bailey,NYI,R,73,14,34,48,10,8,1047.863,1,10,0,1,2,111,0.12612,13,37,0.39024,2020-2021
Kieffer Bellows,NYI,L,14,3,0,3,0,4,661.2142,0,0,0,0,1,19,0.15789,3,3,0.5,2020-2021
Kyle Palmieri,NYI,C,19,7,2,9,5,10,935.2631,1,1,0,1,1,35,0.2,6,7,0.4,2020-2021
Kyle Palmieri,NYI,C,51,10,11,21,-5,20,994.4117,2,4,1,0,2,115,0.08695,7,14,0.4,2020-2021
Leo Komarov,NYI,R,52,1,10,11,6,29,782.2115,0,0,0,0,1,40,0.025,1,10,0.42372,2020-2021
Mathew Barzal,NYI,C,74,23,36,59,15,67,1102.6216,2,11,0,0,2,178,0.12921,21,46,0.4229,2020-2021
Matt Martin,NYI,L,73,7,6,13,-1,79,677.452,1,1,0,0,1,82,0.08536,6,11,0.21428,2020-2021
Nick Leddy,NYI,D,75,2,35,37,-1,10,1318.36,1,11,0,1,1,89,0.02247,1,25,,2020-2021
Noah Dobson,NYI,D,65,3,18,21,2,8,940.2,0,9,0,0,0,92,0.0326,3,12,,2020-2021
Oliver Wahlstrom,NYI,R,49,13,11,24,4,29,756.3877,5,6,0,0,1,105,0.1238,8,13,0.41666,2020-2021
Ross Johnston,NYI,L,12,0,1,1,-3,35,524.25,0,0,0,0,0,5,0.0,0,1,0.25,2020-2021
Ryan Pulock,NYI,D,75,6,17,23,12,12,1359.68,0,1,0,1,4,150,0.04,6,22,,2020-2021
Scott Mayfield,NYI,D,75,4,17,21,14,63,1202.8666,0,0,0,0,0,113,0.03539,4,21,,2020-2021
Sebastian Aho,NYI,D,3,1,1,2,-1,2,801.0,0,0,0,0,0,4,0.25,1,2,,2020-2021
Thomas Hickey,NYI,D,5,0,2,2,5,0,975.6,0,0,0,0,0,2,0.0,0,2,,2020-2021
Travis Zajac,NYI,C,14,1,1,2,2,6,940.9285,0,0,0,0,0,17,0.05882,1,2,0.51851,2020-2021
Travis Zajac,NYI,C,46,8,12,20,-1,6,984.6521,0,1,0,0,2,50,0.16,8,19,0.51409,2020-2021
