Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Anthony Angello,PIT,C,19,2,2,4,4,8,479.0,1,0,0,0,0,19,0.10526,1,3,,2020-2021
Brandon Tanev,PIT,L,38,8,9,17,10,22,854.8947,0,0,1,0,1,56,0.14285,7,15,0.25,2020-2021
Brian Dumoulin,PIT,D,47,4,12,16,17,14,1368.7659,0,0,0,0,0,54,0.07407,4,14,,2020-2021
Bryan Rust,PIT,R,62,24,21,45,6,22,1184.3225,6,6,0,0,6,172,0.13953,18,33,0.5,2020-2021
Chad Ruhwedel,PIT,D,17,0,2,2,3,14,881.5882,0,0,0,0,0,16,0.0,0,2,,2020-2021
Cody Ceci,PIT,D,59,4,15,19,15,10,1134.9152,0,0,0,0,1,71,0.05633,4,19,,2020-2021
Colton Sceviour,PIT,C,46,5,5,10,0,2,574.7608,0,0,0,0,0,53,0.09433,5,10,0.27777,2020-2021
Drew O'Connor,PIT,L,10,0,1,1,-2,2,537.2,0,0,0,0,0,8,0.0,0,1,0.5,2020-2021
Evan Rodrigues,PIT,C,37,7,8,15,-2,6,837.5135,2,0,0,0,1,69,0.10144,5,13,0.42187,2020-2021
Evgeni Malkin,PIT,C,37,9,24,33,-6,32,1069.6756,5,7,0,0,0,80,0.1125,4,21,0.42455,2020-2021
Freddy Gaudreau,PIT,C,25,3,10,13,13,4,789.48,0,0,0,0,0,34,0.08823,3,11,0.52717,2020-2021
Jake Guentzel,PIT,C,62,24,35,59,1,34,1211.2903,7,12,0,1,7,166,0.14457,17,39,0.25,2020-2021
Jared McCann,PIT,L,49,14,19,33,18,10,846.1428,7,3,0,0,3,107,0.13084,7,23,0.43846,2020-2021
Jason Zucker,PIT,L,44,11,10,21,-9,23,939.0,1,3,0,0,1,79,0.13924,10,17,0.3,2020-2021
Jeff Carter,PIT,C,6,4,1,5,0,4,1111.3333,1,0,0,0,1,17,0.23529,3,4,0.57692,2020-2021
Jeff Carter,PIT,C,54,17,13,30,3,22,993.9074,2,3,0,0,1,154,0.11038,15,25,0.48726,2020-2021
John Marino,PIT,D,58,3,10,13,4,14,1225.4655,1,3,0,0,1,62,0.04838,2,8,,2020-2021
Josh Currie,PIT,R,1,0,0,0,0,0,444.0,0,0,0,0,0,0,,0,0,0.4,2020-2021
Juuso Riikola,PIT,D,2,0,0,0,0,0,685.5,0,0,0,0,0,1,0.0,0,0,,2020-2021
Kasperi Kapanen,PIT,R,46,12,21,33,12,7,943.9347,1,3,0,1,3,80,0.15,11,29,0.0,2020-2021
Kevin Czuczman,PIT,D,2,0,0,0,-3,0,699.0,0,0,0,0,0,2,0.0,0,0,,2020-2021
Kris Letang,PIT,D,61,8,43,51,17,38,1502.8196,1,16,0,1,2,147,0.05442,7,33,0.0,2020-2021
Marcus Pettersson,PIT,D,53,2,8,10,7,22,967.5849,0,0,0,0,0,52,0.03846,2,10,,2020-2021
Mark Friedman,PIT,D,9,2,1,3,1,9,662.7777,0,0,0,0,0,9,0.22222,2,3,0.0,2020-2021
Mark Jankowski,PIT,L,45,4,7,11,4,6,642.6666,0,0,0,0,0,35,0.11428,4,11,0.46749,2020-2021
Mike Matheson,PIT,D,50,5,11,16,7,28,1139.96,0,1,0,0,1,100,0.05,5,15,,2020-2021
Pierre-Olivier Joseph,PIT,D,16,1,4,5,1,6,1007.3125,0,0,0,0,0,27,0.03703,1,5,,2020-2021
Radim Zohorna,PIT,L,8,2,2,4,4,4,541.75,0,1,0,0,1,8,0.25,2,3,0.625,2020-2021
Sam Lafferty,PIT,C,34,0,6,6,-6,25,586.5588,0,0,0,0,0,33,0.0,0,6,0.5238,2020-2021
Sidney Crosby,PIT,C,61,25,39,64,6,28,1222.1147,5,17,1,2,5,180,0.13888,19,41,0.52517,2020-2021
Teddy Blueger,PIT,C,49,7,15,22,8,18,884.6326,0,0,3,0,1,57,0.1228,4,19,0.48187,2020-2021
Yannick Weber,PIT,D,2,0,0,0,-3,0,679.0,0,0,0,0,0,1,0.0,0,0,,2020-2021
Zach Aston-Reese,PIT,L,51,10,7,17,10,17,874.1372,0,0,2,0,0,86,0.11627,8,15,0.38888,2020-2021
