Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Boqvist,CBJ,D,52,11,11,22,-11,12,1022.75,3,3,0,0,1,64,0.17187,8,16,,2021-2022
Alexandre Texier,CBJ,L,36,11,9,20,0,12,876.4444,0,0,1,0,0,59,0.18644,10,18,0.35087,2021-2022
Andrew Peeke,CBJ,D,82,2,13,15,-14,60,1288.5975,0,0,0,0,0,72,0.02777,2,15,,2021-2022
Boone Jenner,CBJ,C,59,23,21,44,-11,22,1227.8813,8,2,0,0,3,160,0.14375,15,34,0.53589,2021-2022
Brendan Gaunce,CBJ,C,30,5,2,7,2,12,485.7666,0,0,0,0,0,44,0.11363,5,7,0.5238,2021-2022
Carson Meyer,CBJ,R,13,1,2,3,0,6,493.6153,0,0,0,0,0,13,0.07692,1,3,,2021-2022
Cole Sillinger,CBJ,C,79,16,15,31,-22,37,822.0379,0,2,0,0,3,148,0.1081,16,29,0.46469,2021-2022
Dean Kukan,CBJ,D,41,3,8,11,-2,16,977.5121,0,0,0,0,0,41,0.07317,3,11,,2021-2022
Egor Chinakhov,CBJ,R,62,7,7,14,-27,16,750.1774,1,0,0,0,1,98,0.07142,6,13,0.0,2021-2022
Emil Bemstrom,CBJ,C,41,6,5,11,-1,4,631.2439,0,0,0,0,1,62,0.09677,6,11,0.5,2021-2022
Eric Robinson,CBJ,L,67,10,17,27,-1,18,833.5223,0,0,2,0,1,104,0.09615,8,25,0.5,2021-2022
Gabriel Carlsson,CBJ,D,38,2,7,9,6,10,736.0263,0,0,0,0,0,18,0.11111,2,9,,2021-2022
Gavin Bayreuther,CBJ,D,43,0,8,8,0,22,783.372,0,0,0,0,0,44,0.0,0,8,,2021-2022
Gregory Hofmann,CBJ,C,24,2,5,7,6,8,750.3333,0,0,0,0,2,33,0.0606,2,7,0.0,2021-2022
Gustav Nyquist,CBJ,R,82,18,35,53,-12,26,1070.439,4,6,4,0,0,122,0.14754,10,39,0.46666,2021-2022
Jack Roslovic,CBJ,C,81,22,23,45,2,12,856.8765,4,3,0,1,4,131,0.16793,18,38,0.43508,2021-2022
Jake Bean,CBJ,D,67,7,18,25,-5,26,1234.0895,0,4,0,2,2,90,0.07777,7,20,,2021-2022
Jake Christiansen,CBJ,D,8,1,0,1,1,0,586.0,0,0,0,0,0,4,0.25,1,1,,2021-2022
Jakub Voracek,CBJ,R,79,6,56,62,-13,44,1047.5569,2,23,0,1,2,147,0.04081,4,37,0.15151,2021-2022
Justin Danforth,CBJ,R,45,10,4,14,-5,10,754.2666,0,1,0,0,1,72,0.13888,10,13,0.53768,2021-2022
Kent Johnson,CBJ,C,9,0,3,3,2,2,746.5555,0,2,0,0,0,5,0.0,0,1,,2021-2022
Liam Foudy,CBJ,C,1,0,0,0,-1,0,711.0,0,0,0,0,0,1,0.0,0,0,,2021-2022
Max Domi,CBJ,C,72,11,28,39,10,55,782.125,0,4,0,0,1,104,0.10576,11,35,0.45348,2021-2022
Nick Blankenburg,CBJ,D,7,1,2,3,-3,4,1054.2857,1,0,0,0,1,13,0.07692,0,2,,2021-2022
Oliver Bjorkstrand,CBJ,R,80,28,29,57,-35,16,1076.9875,9,10,0,0,1,215,0.13023,19,38,0.43478,2021-2022
Patrik Laine,CBJ,L,56,26,30,56,-7,24,1129.7678,5,9,0,3,7,167,0.15568,21,42,0.36842,2021-2022
Scott Harrington,CBJ,D,7,0,1,1,-4,6,868.2857,0,0,0,0,0,5,0.0,0,1,,2021-2022
Sean Kuraly,CBJ,C,77,14,16,30,2,61,951.5974,0,1,0,0,0,121,0.1157,14,28,0.49448,2021-2022
Trey Fix-Wolansky,CBJ,R,6,1,1,2,-1,0,377.1666,0,0,0,0,0,5,0.2,1,2,,2021-2022
Vladislav Gavrikov,CBJ,D,80,5,28,33,-3,68,1337.225,0,0,0,0,1,108,0.04629,5,32,,2021-2022
Zach Werenski,CBJ,D,68,11,37,48,-15,22,1539.5294,4,10,0,0,2,216,0.05092,7,33,,2021-2022
