Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Brad Malone,EDM,C,10,0,0,0,-4,6,461.2,0,0,0,0,0,7,0.0,0,0,0.57777,2022-2023
Cody Ceci,EDM,D,92,1,15,16,6,26,1198.9891,0,0,0,0,0,102,0.0098,1,16,,2022-2023
Connor McDavid,EDM,C,94,72,101,173,21,36,1353.351,26,57,5,2,11,403,0.17866,41,82,0.51462,2022-2023
Darnell Nurse,EDM,D,93,12,35,47,24,85,1406.4301,0,2,2,1,4,224,0.05357,10,42,,2022-2023
Derek Ryan,EDM,C,91,14,9,23,14,28,674.8131,0,0,2,0,0,111,0.12612,12,20,0.49557,2022-2023
Devin Shore,EDM,C,47,1,8,9,6,4,537.8936,0,0,0,0,0,33,0.0303,1,9,0.50857,2022-2023
Dylan Holloway,EDM,L,51,3,6,9,0,27,575.1176,0,0,0,0,1,44,0.06818,3,9,0.35483,2022-2023
Evan Bouchard,EDM,D,94,12,45,57,2,32,1145.3404,6,22,0,1,4,185,0.06486,6,28,,2022-2023
Evander Kane,EDM,L,53,19,14,33,-7,99,1136.1698,1,2,1,0,3,184,0.10326,17,28,0.36585,2022-2023
James Hamblin,EDM,L,10,0,0,0,-3,2,531.7,0,0,0,0,0,12,0.0,0,0,0.64285,2022-2023
Jason Demers,EDM,D,1,0,0,0,-1,0,644.0,0,0,0,0,0,1,0.0,0,0,,2022-2023
Jesse Puljujarvi,EDM,R,75,5,11,16,-13,32,733.9066,0,0,0,0,1,125,0.04,5,16,0.0,2022-2023
Kailer Yamamoto,EDM,R,70,11,18,29,5,42,975.4285,0,0,1,0,4,109,0.10091,10,27,0.4375,2022-2023
Klim Kostin,EDM,C,69,14,12,26,14,75,579.3043,0,0,0,0,3,66,0.21212,14,26,0.41666,2022-2023
Leon Draisaitl,EDM,C,92,65,81,146,6,34,1315.0217,38,32,1,1,11,292,0.2226,26,74,0.54917,2022-2023
Markus Niemelainen,EDM,D,23,0,0,0,3,4,602.4782,0,0,0,0,0,16,0.0,0,0,,2022-2023
Markus Niemelainen,EDM,D,23,0,0,0,3,4,602.4782,0,0,0,0,0,16,0.0,0,0,,2022-2023
Mattias Ekholm,EDM,D,12,1,6,7,0,8,1313.0833,0,1,0,0,0,20,0.05,1,6,,2022-2023
Mattias Ekholm,EDM,D,78,9,23,32,28,28,1288.2179,0,4,0,0,0,135,0.06666,9,27,,2022-2023
Mattias Janmark,EDM,C,71,10,16,26,10,32,853.4788,0,0,3,0,1,82,0.12195,7,22,0.45312,2022-2023
Nick Bjugstad,EDM,C,12,3,0,3,-2,16,814.0833,0,0,0,0,1,16,0.1875,3,3,0.52046,2022-2023
Nick Bjugstad,EDM,C,78,17,12,29,13,34,972.0256,1,0,1,0,1,145,0.11724,15,27,0.47833,2022-2023
Philip Broberg,EDM,D,55,1,7,8,9,6,700.0545,0,0,0,0,0,35,0.02857,1,8,,2022-2023
Ryan McLeod,EDM,C,69,11,17,28,3,20,855.5072,0,0,2,0,0,87,0.12643,9,25,0.4923,2022-2023
Ryan Murray,EDM,D,13,0,3,3,-4,4,787.4615,0,0,0,0,0,8,0.0,0,3,,2022-2023
Ryan Nugent-Hopkins,EDM,C,94,38,77,115,6,39,1190.5744,15,47,1,0,3,224,0.16964,22,49,0.45103,2022-2023
Tyler Benson,EDM,L,2,0,0,0,0,0,377.0,0,0,0,0,0,0,,0,0,,2022-2023
Tyson Barrie,EDM,D,85,13,42,55,-7,36,1186.7058,4,27,0,0,1,163,0.07975,9,23,,2022-2023
Vincent Desharnais,EDM,D,48,0,7,7,12,39,813.3958,0,0,0,0,0,23,0.0,0,6,,2022-2023
Warren Foegele,EDM,L,79,15,16,31,5,44,754.481,0,0,1,0,4,153,0.09803,14,30,0.53846,2022-2023
Zach Hyman,EDM,L,91,39,55,94,14,51,1199.7142,17,16,0,1,4,322,0.12111,22,61,0.5,2022-2023
