Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexander Holtz,NJ,RW,60,0,5,5,3.0,63,15:33,0,0,58,0.0,,,,,,0,0,0.0
Andreas Johnsson LW *,NJ,,4,0,0,0,-1.0,7,9:16,0,0,1,0.0,,,,,,0,0,0.0
Brendan Smith,NJ,D,42,2,6,8,4.0,35,14:01,0,0,27,7.4,,,,,,0,0,0.0
Curtis Lazar C *,NJ,,2,0,0,0,-1.0,0,8:39,0,0,1,0.0,,,,,,0,0,0.0
Damon Severson,NJ,D,80,14,27,41,13.0,47,16:37,2,5,164,8.5,,,,,,0,0,0.0
Dawson Mercer,NJ,C,82,32,41,73,14.0,6,17:22,8,14,212,15.1,,,,,,3,0,0.0
Dougie Hamilton,NJ,D,81,31,49,80,33.0,10,19:17,7,12,256,12.1,,,,,,1,0,0.0
Erik Haula,NJ,LW,82,20,28,48,41.0,30,15:07,1,3,153,13.1,,,,,,2,0,0.0
Fabian Zetterlund LW *,NJ,,70,10,11,21,8.0,2,11:36,0,0,67,14.9,,,,,,1,0,0.0
Jesper Boqvist,NJ,C,80,4,17,21,27.0,44,20:09,1,0,84,4.8,,,,,,0,0,0.0
Jesper Bratt,NJ,LW,82,22,52,74,23.0,50,21:46,8,20,275,8.0,,,,,,0,0,0.0
John Marino,NJ,D,45,6,14,20,4.0,6,12:57,1,2,81,7.4,,,,,,0,0,0.0
Jonas Siegenthaler,NJ,D,49,8,15,23,5.0,6,15:32,1,2,79,10.1,,,,,,0,0,0.0
Kevin Bahl,NJ,D,21,9,5,14,0.0,18,17:47,4,1,72,12.5,,,,,,2,1,50.0
Luke Hughes,NJ,D,19,3,1,4,-6.0,8,10:16,2,0,21,14.3,,,,,,0,0,0.0
Michael McLeod,NJ,C,76,13,14,27,1.0,76,12:06,2,1,167,7.8,,,,,,0,0,0.0
Miles Wood,NJ,LW,75,13,17,30,-3.0,16,14:25,0,0,131,9.9,,,,,,1,1,100.0
Nathan Bastian,NJ,RW,64,4,14,18,21.0,20,21:04,0,0,67,6.0,,,,,,0,0,0.0
Nico Hischier,NJ,C,78,43,56,99,10.0,6,19:57,9,22,336,12.8,,,,,,2,0,0.0
Nikita Okhotiuk,NJ,D,6,1,0,1,2.0,0,7:13,0,0,4,25.0,,,,,,0,0,0.0
Nolan Foote,NJ,LW,2,1,1,2,0.0,0,16:14,0,0,2,50.0,,,,,,0,0,0.0
Ondrej Palat,NJ,LW,78,8,18,26,34.0,28,19:56,0,0,141,5.7,,,,,,0,0,0.0
Ryan Graves,NJ,D,80,4,22,26,6.0,43,12:15,0,0,90,4.4,,,,,,0,0,0.0
Timo Meier RW *,NJ,,43,6,9,15,7.0,31,12:26,0,0,62,9.7,,,,,,0,0,0.0
Tomas Tatar,NJ,LW,82,27,29,56,22.0,14,16:33,2,8,161,16.8,,,,,,0,0,0.0
Total,NJ,,2,0,0,0,0.0,0,4:44,0,0,1,0.0,,,,,,0,0,0.0
Tyce Thompson,NJ,RW,10,1,0,1,1.0,2,11:44,0,0,6,16.7,,,,,,0,0,0.0
Yegor Sharangovich,NJ,C,81,7,26,33,9.0,38,19:57,1,3,102,6.9,,,,,,0,0,0.0
