Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Larsson,SEA,D,96,10,27,37,29,55,1431.8229,0,0,1,1,2,169,0.05917,9,36,,2022-2023
Alexander Wennberg,SEA,C,96,15,30,45,-12,22,1126.7291,4,6,0,0,4,114,0.13157,11,35,0.452,2022-2023
Andre Burakovsky,SEA,L,49,13,26,39,-9,14,993.2244,4,10,0,2,3,105,0.1238,9,25,0.0,2022-2023
Brandon Tanev,SEA,L,96,17,22,39,21,48,846.0625,0,0,2,0,3,128,0.13281,15,36,0.13333,2022-2023
Cale Fleury,SEA,D,12,0,1,1,0,2,798.5,0,0,0,0,0,10,0.0,0,1,,2022-2023
Carson Soucy,SEA,D,92,4,14,18,24,80,961.8478,0,0,0,0,1,104,0.03846,4,17,,2022-2023
Daniel Sprong,SEA,R,76,22,26,48,10,14,662.4868,7,9,0,0,3,167,0.13173,15,32,0.42857,2022-2023
Eeli Tolvanen,SEA,R,14,3,5,8,-4,6,980.0714,0,2,0,0,0,28,0.10714,3,6,0.25,2022-2023
Eeli Tolvanen,SEA,R,61,18,13,31,8,14,870.9836,4,3,0,0,4,116,0.15517,14,24,0.25,2022-2023
Jaden Schwartz,SEA,L,85,26,24,50,-19,24,1053.6,7,3,0,0,2,208,0.125,19,40,0.48898,2022-2023
Jamie Oleksiak,SEA,D,89,10,18,28,7,80,1172.4943,0,0,0,0,2,87,0.11494,10,28,,2022-2023
Jared McCann,SEA,L,87,41,32,73,17,20,970.3563,7,10,3,0,3,232,0.17672,31,53,0.34523,2022-2023
Jaycob Megna,SEA,D,54,1,11,12,3,21,1131.9629,0,0,0,0,0,56,0.01785,1,11,,2022-2023
Jesper Froden,SEA,R,15,0,4,4,3,6,576.4,0,0,0,0,0,10,0.0,0,4,,2022-2023
John Hayden,SEA,C,7,2,0,2,2,7,474.7142,0,0,0,0,0,9,0.22222,2,2,0.0,2022-2023
Jordan Eberle,SEA,R,96,26,48,74,11,40,1013.5937,5,12,0,2,5,208,0.125,21,57,0.47747,2022-2023
Justin Schultz,SEA,D,87,10,34,44,9,42,1049.1839,2,14,0,1,4,113,0.08849,8,28,,2022-2023
Karson Kuhlman,SEA,C,47,3,4,7,-4,8,710.617,0,0,0,0,2,48,0.0625,3,7,0.0,2022-2023
Matty Beniers,SEA,C,94,27,37,64,20,6,1031.8297,4,6,0,1,4,170,0.15882,23,53,0.41748,2022-2023
Morgan Geekie,SEA,C,82,11,21,32,14,36,635.5,1,0,0,0,3,95,0.11578,10,31,0.48684,2022-2023
Oliver Bjorkstrand,SEA,R,95,24,29,53,-6,16,954.5578,5,5,0,1,2,234,0.10256,19,43,0.31578,2022-2023
Ryan Donato,SEA,C,85,14,15,29,14,58,653.7411,0,2,0,0,0,146,0.09589,14,27,0.39512,2022-2023
Shane Wright,SEA,C,8,1,1,2,4,2,509.0,0,0,0,0,0,4,0.25,1,2,0.32258,2022-2023
Tye Kartye,SEA,L,10,3,2,5,6,2,740.7,0,0,0,0,1,13,0.23076,3,5,,2022-2023
Vince Dunn,SEA,D,95,15,56,71,30,77,1415.7052,0,15,0,1,2,176,0.08522,15,56,,2022-2023
Will Borgen,SEA,D,96,4,19,23,5,55,993.0937,0,0,0,0,1,86,0.04651,4,23,,2022-2023
Yanni Gourde,SEA,C,95,18,43,61,24,90,1050.1578,3,1,2,2,4,166,0.10843,13,54,0.49148,2022-2023
