Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexey Toropchenko,STL,RW,31,9,11,20,3.0,22,14:35,0,1,39,23.1,,,,,,0,0,0.0
Brandon Saad,STL,LW,82,11,39,50,-4.0,34,23:22,2,8,196,5.6,,,,,,0,0,0.0
Brayden Schenn,STL,C,73,18,47,65,-8.0,22,19:20,5,17,106,17.0,,,,,,3,1,33.3
Calle Rosen,STL,D,54,10,8,18,-6.0,10,14:34,0,0,74,13.5,,,,,,0,0,0.0
Colton Parayko,STL,D,59,10,19,29,-10.0,36,16:24,0,3,91,11.0,,,,,,0,0,0.0
Dmitri Samorukov,STL,D,2,0,0,0,1.0,0,10:45,0,0,2,0.0,,,,,,0,0,0.0
Hugh McGing,STL,RW,2,0,0,0,-1.0,2,14:52,0,0,1,0.0,,,,,,0,0,0.0
Ivan Barbashev LW *,STL,,38,10,19,29,-18.0,8,17:31,2,7,103,9.7,,,,,,3,1,33.3
Jake Neighbours,STL,LW,56,2,8,10,10.0,25,10:17,0,0,43,4.7,,,,,,0,0,0.0
Jakub Vrana LW *,STL,,61,7,9,16,-1.0,14,10:04,0,0,54,13.0,,,,,,0,0,0.0
Josh Leivo,STL,LW,49,8,10,18,19.0,8,15:36,0,0,62,12.9,,,,,,0,0,0.0
Justin Faulk,STL,D,82,21,44,65,-27.0,50,18:25,6,9,144,14.6,,,,,,4,0,0.0
Kasperi Kapanen RW *,STL,,20,10,4,14,2.0,10,15:10,4,0,56,17.9,,,,,,2,0,0.0
Logan Brown,STL,C,28,3,4,7,0.0,8,9:48,0,0,28,10.7,,,,,,0,0,0.0
Marco Scandella,STL,D,50,0,3,3,2.0,35,16:38,0,0,31,0.0,,,,,,0,0,0.0
Matthew Highmore,STL,C,4,0,1,1,1.0,0,6:38,0,0,0,0.0,,,,,,0,0,0.0
Matthew Kessel,STL,D,1,0,0,0,0.0,0,9:37,0,0,0,0.0,,,,,,0,0,0.0
Nathan Walker,STL,LW,23,8,6,14,0.0,10,16:45,0,0,47,17.0,,,,,,0,0,0.0
Nick Leddy,STL,D,79,4,23,27,-19.0,30,23:00,0,2,133,3.0,,,,,,0,0,0.0
Nikita Alexandrov,STL,C,43,6,4,10,-19.0,24,12:25,1,1,53,11.3,,,,,,0,0,0.0
Niko Mikkola D *,STL,,26,1,3,4,-9.0,31,14:38,0,0,21,4.8,,,,,,0,0,0.0
Noel Acciari C *,STL,,40,12,7,19,-24.0,10,18:23,1,1,80,15.0,,,,,,2,1,50.0
Pavel Buchnevich,STL,LW,79,37,36,73,-38.0,22,18:00,11,12,272,13.6,,,,,,5,1,20.0
Robert Bortuzzo,STL,D,30,2,4,6,-4.0,8,10:24,0,0,18,11.1,,,,,,0,0,0.0
Robert Thomas,STL,C,63,26,41,67,14.0,36,19:27,8,13,123,21.1,,,,,,2,1,50.0
Ryan O'Reilly C *,STL,,69,10,9,19,6.0,12,12:04,0,0,86,11.6,,,,,,0,0,0.0
Sammy Blais LW *,STL,,78,2,21,23,4.0,20,21:07,0,0,79,2.5,,,,,,0,0,0.0
Steven Santini,STL,D,20,1,1,2,2.0,6,17:50,0,0,17,5.9,,,,,,0,0,0.0
Torey Krug,STL,D,71,19,18,37,-8.0,12,16:39,2,2,127,15.0,,,,,,0,0,0.0
Total,STL,,2,0,0,0,-1.0,0,15:09,0,0,3,0.0,,,,,,0,0,0.0
Tyler Pitlick,STL,C,51,4,12,16,0.0,25,11:53,0,0,91,4.4,,,,,,0,0,0.0
Tyler Tucker,STL,D,43,2,3,5,9.0,29,12:34,0,0,30,6.7,,,,,,0,0,0.0
Vladimir Tarasenko RW *,STL,,63,7,25,32,-26.0,49,18:35,4,10,126,5.6,,,,,,0,0,0.0
William Bitten,STL,C,4,0,1,1,0.0,2,12:30,0,0,5,0.0,,,,,,0,0,0.0
