Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Erne,EDM,LW,7,0,2,2,4.0,8,16:00,0,0,6,0.0,,,,,,0,0,0.0
Adam Henrique C *,EDM,,28,5,5,10,-2.0,10,10:12,0,1,48,10.4,,,,,,0,0,0.0
Brett Kulak,EDM,D,79,5,20,25,12.0,14,20:01,0,0,97,5.2,,,,,,0,0,0.0
Cody Ceci,EDM,D,81,12,18,30,10.0,10,14:14,0,1,106,11.3,,,,,,0,0,0.0
Connor Brown,EDM,RW,71,4,8,12,0.0,46,11:53,0,0,67,6.0,,,,,,0,0,0.0
Corey Perry RW *,EDM,,82,3,13,16,0.0,30,15:23,0,1,94,3.2,,,,,,0,0,0.0
Darnell Nurse,EDM,D,82,20,21,41,3.0,47,13:58,1,0,201,10.0,,,,,,0,0,0.0
Derek Ryan,EDM,C,38,8,5,13,-1.0,34,12:50,2,0,56,14.3,,,,,,0,0,0.0
Dylan Holloway,EDM,LW,22,6,3,9,6.0,4,14:49,0,0,29,20.7,,,,,,0,0,0.0
Evan Bouchard,EDM,D,81,41,65,106,26.0,76,20:41,21,18,217,18.9,,,,,,2,1,50.0
Evander Kane,EDM,LW,79,11,34,45,44.0,47,21:02,2,1,177,6.2,,,,,,0,0,0.0
James Hamblin,EDM,LW,16,2,3,5,0.0,12,10:40,0,0,15,13.3,,,,,,0,0,0.0
Leon Draisaitl,EDM,C,76,32,100,132,35.0,30,21:21,7,37,263,12.2,,,,,,3,2,66.7
Mattias Ekholm,EDM,D,80,18,49,67,10.0,36,19:37,4,22,183,9.8,,,,,,3,2,66.7
Mattias Janmark,EDM,C,70,5,7,12,-3.0,8,10:11,0,0,52,9.6,,,,,,1,1,100.0
Philip Broberg,EDM,D,24,1,1,2,0.0,9,7:49,0,0,13,7.7,,,,,,0,0,0.0
Philip Kemp,EDM,D,7,0,0,0,-2.0,2,7:17,0,0,4,0.0,,,,,,0,0,0.0
Raphael Lavoie,EDM,C,12,0,2,2,-3.0,0,11:37,0,1,6,0.0,,,,,,0,0,0.0
Ryan McLeod,EDM,C,81,10,22,32,3.0,79,21:53,1,4,181,5.5,,,,,,0,0,0.0
Ryan Nugent-Hopkins,EDM,C,80,54,23,77,36.0,48,19:30,15,5,290,18.6,,,,,,0,0,0.0
Sam Carrick C *,EDM,,38,6,3,9,-1.0,29,11:22,1,0,56,10.7,,,,,,0,0,0.0
Sam Gagner,EDM,C,78,1,10,11,3.0,54,15:43,0,0,41,2.4,,,,,,0,0,0.0
Total,EDM,,1,0,0,0,0.0,0,2:03,0,0,0,0.0,,,,,,0,0,0.0
Troy Stecher D *,EDM,,31,2,1,3,3.0,0,7:55,0,0,18,11.1,,,,,,0,0,0.0
Vincent Desharnais,EDM,D,71,4,8,12,-8.0,10,12:47,0,0,108,3.7,,,,,,0,0,0.0
Warren Foegele,EDM,LW,77,24,20,44,-4.0,85,16:46,2,5,220,10.9,,,,,,0,0,0.0
Zach Hyman,EDM,LW,81,18,64,82,34.0,32,22:59,8,27,220,8.2,,,,,,0,0,0.0
