Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alec Martinez,VGK,D,79,8,10,18,-8.0,49,10:51,0,0,73,11.0,,,,,,0,0,0.0
Alex Pietrangelo,VGK,D,70,13,28,41,8.0,29,15:27,1,6,112,11.6,,,,,,2,0,0.0
Anthony Mantha RW *,VGK,,73,2,10,12,-5.0,43,18:33,0,0,105,1.9,,,,,,0,0,0.0
Ben Hutton,VGK,D,18,3,7,10,6.0,8,14:26,0,1,23,13.0,,,,,,0,0,0.0
Brayden McNabb,VGK,D,73,14,13,27,4.0,16,13:23,3,2,117,12.0,,,,,,0,0,0.0
Brayden Pachal D *,VGK,,20,1,2,3,2.0,0,11:16,0,0,25,4.0,,,,,,0,0,0.0
Brendan Brisson,VGK,C,26,1,8,9,12.0,8,16:30,0,1,32,3.1,,,,,,0,0,0.0
Brett Howden,VGK,C,47,13,11,24,8.0,12,13:16,0,1,97,13.4,,,,,,0,0,0.0
Byron Froese,VGK,C,17,1,0,1,-2.0,12,14:36,0,0,18,5.6,,,,,,0,0,0.0
Chandler Stephenson,VGK,C,56,16,37,53,1.0,22,19:24,4,10,117,13.7,,,,,,0,0,0.0
Daniil Miromanov D *,VGK,,2,0,0,0,-2.0,2,14:00,0,0,0,0.0,,,,,,0,0,0.0
Grigori Denisenko,VGK,LW,2,0,1,1,1.0,0,17:17,0,1,3,0.0,,,,,,0,0,0.0
Ivan Barbashev,VGK,LW,75,16,35,51,-9.0,25,18:29,4,9,97,16.5,,,,,,0,0,0.0
Jack Eichel,VGK,C,82,42,27,69,-2.0,40,17:53,8,9,266,15.8,,,,,,5,3,60.0
Jonas Rondbjerg,VGK,RW,9,2,1,3,-2.0,4,9:58,1,0,16,12.5,,,,,,0,0,0.0
Kaedan Korczak,VGK,D,41,2,8,10,12.0,17,16:15,0,1,67,3.0,,,,,,0,0,0.0
Keegan Kolesar,VGK,RW,72,8,11,19,-11.0,39,13:13,0,0,76,10.5,,,,,,0,0,0.0
Lukas Cormier,VGK,D,16,0,1,1,-2.0,4,10:40,0,0,17,0.0,,,,,,0,0,0.0
Mark Stone,VGK,RW,70,30,30,60,15.0,22,17:36,7,8,175,17.1,,,,,,0,0,0.0
Mason Morelli,VGK,LW,6,2,2,4,-2.0,0,17:12,1,1,11,18.2,,,,,,0,0,0.0
Michael Amadio,VGK,RW,64,4,29,33,-5.0,24,23:33,0,9,141,2.8,,,,,,0,0,0.0
Nicolas Hague,VGK,D,19,2,10,12,6.0,2,23:06,2,3,41,4.9,,,,,,0,0,0.0
Nicolas Roy,VGK,C,47,5,37,42,4.0,6,22:05,2,13,105,4.8,,,,,,3,2,66.7
Noah Hanifin D *,VGK,,61,2,12,14,-3.0,32,17:35,0,0,51,3.9,,,,,,0,0,0.0
Paul Cotter,VGK,LW,82,4,22,26,18.0,37,19:21,0,1,86,4.7,,,,,,0,0,0.0
Pavel Dorofeyev,VGK,RW,76,7,18,25,-11.0,41,12:43,2,2,100,7.0,,,,,,1,0,0.0
Shea Theodore,VGK,D,82,19,26,45,15.0,42,16:06,3,2,122,15.6,,,,,,0,0,0.0
Sheldon Rempal,VGK,RW,9,3,1,4,-3.0,0,10:45,1,0,9,33.3,,,,,,0,0,0.0
Tobias Bjornfot D *,VGK,,6,0,0,0,-3.0,2,10:50,0,0,5,0.0,,,,,,0,0,0.0
Tomas Hertl C *,VGK,,39,6,2,8,3.0,16,11:10,0,0,65,9.2,,,,,,0,0,0.0
Total,VGK,,4,0,0,0,-2.0,0,18:03,0,0,6,0.0,,,,,,0,0,0.0
William Carrier,VGK,LW,15,2,6,8,-5.0,2,12:20,1,1,20,10.0,,,,,,0,0,0.0
William Karlsson,VGK,C,63,31,37,68,4.0,27,20:31,11,11,278,11.2,,,,,,5,2,40.0
Zach Whitecloud,VGK,D,55,4,13,17,-2.0,6,19:02,0,3,72,5.6,,,,,,0,0,0.0
