Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alex Barré-Boulet,MTL,C,2,0,0,0,-2,2,609.5,0,0,0,0,0,0,,0,0,,2024-2025
Alex Newhook,MTL,C,87,16,12,28,-24,28,909.2758,2,3,0,0,3,126,0.12698,14,23,0.42564,2024-2025
Alexandre Carrier,MTL,D,5,1,1,2,0,0,1244.4,0,0,0,0,0,8,0.125,1,2,,2024-2025
Alexandre Carrier,MTL,D,79,3,22,25,-10,40,1235.2151,0,0,0,0,0,82,0.03658,3,24,,2024-2025
Arber Xhekaj,MTL,D,73,1,5,6,-12,122,868.4383,0,0,0,0,0,71,0.01408,1,6,,2024-2025
Brendan Gallagher,MTL,R,87,21,19,40,-13,39,840.7356,5,3,0,0,1,161,0.13043,16,32,0.0,2024-2025
Christian Dvorak,MTL,C,87,14,21,35,-6,20,918.5057,1,1,0,0,1,111,0.12612,13,33,0.55399,2024-2025
Cole Caufield,MTL,R,87,40,34,74,3,14,1089.7356,12,7,0,1,8,264,0.15151,28,55,0.41176,2024-2025
David Savard,MTL,D,80,1,15,16,-10,36,976.825,0,0,0,0,0,50,0.02,1,16,,2024-2025
Emil Heineman,MTL,L,67,11,8,19,-5,20,673.1343,3,2,0,0,0,68,0.16176,8,14,0.2,2024-2025
Ivan Demidov,MTL,R,7,1,3,4,-4,0,855.4285,0,2,0,0,0,7,0.14285,1,2,0.0,2024-2025
Jake Evans,MTL,C,87,13,24,37,1,12,933.0344,0,0,3,0,5,84,0.15476,10,31,0.52946,2024-2025
Jayden Struble,MTL,D,58,2,11,13,0,52,891.7758,0,0,0,0,0,48,0.04166,2,13,,2024-2025
Joel Armia,MTL,R,86,11,20,31,0,18,851.4767,0,3,3,0,1,108,0.10185,8,25,0.21428,2024-2025
Josh Anderson,MTL,R,86,15,13,28,-4,110,857.6627,0,0,1,0,1,120,0.125,14,27,0.56603,2024-2025
Joshua Roy,MTL,R,12,2,0,2,-6,2,661.0833,0,0,0,0,0,14,0.14285,2,2,1.0,2024-2025
Juraj Slafkovský,MTL,L,84,20,33,53,0,49,1049.9285,6,5,0,0,1,148,0.13513,14,42,0.26315,2024-2025
Justin Barron,MTL,D,62,6,7,13,-18,23,1045.887,0,1,0,0,0,73,0.08219,6,12,,2024-2025
Kaiden Guhle,MTL,D,60,6,12,18,3,51,1273.6833,0,0,0,0,1,77,0.07792,6,17,,2024-2025
Kirby Dach,MTL,C,57,10,12,22,-29,40,940.4385,1,6,0,0,2,84,0.11904,9,15,0.40336,2024-2025
Lane Hutson,MTL,D,87,6,65,71,-7,34,1371.2528,1,28,0,0,0,96,0.0625,5,42,,2024-2025
Logan Mailloux,MTL,D,7,2,2,4,-5,6,972.2857,0,0,0,0,0,10,0.2,2,4,,2024-2025
Lucas Condotta,MTL,L,7,1,0,1,-2,0,492.1428,0,0,0,0,0,5,0.2,1,1,0.5862,2024-2025
Mike Matheson,MTL,D,85,6,26,32,-7,53,1503.9764,1,10,0,1,1,160,0.0375,5,20,,2024-2025
Nick Suzuki,MTL,C,87,32,59,91,14,10,1211.2528,5,23,2,5,9,186,0.17204,25,61,0.51965,2024-2025
Oliver Kapanen,MTL,C,21,0,3,3,-5,2,619.5238,0,1,0,0,0,17,0.0,0,2,0.43243,2024-2025
Owen Beck,MTL,C,12,0,1,1,-2,0,599.0,0,0,0,0,0,10,0.0,0,1,0.53846,2024-2025
Patrik Laine,MTL,L,54,20,14,34,-16,16,852.6481,15,5,0,1,5,122,0.16393,5,14,0.42307,2024-2025
Rafael Harvey-Pinard,MTL,L,1,0,0,0,0,0,534.0,0,0,0,0,0,0,,0,0,,2024-2025
