Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alexander Kerfoot,UTA,C,81,11,17,28,-5,14,915.2098,0,1,2,0,1,101,0.10891,9,25,0.52429,2024-2025
Barrett Hayton,UTA,C,82,20,26,46,-6,45,966.0853,7,8,0,0,7,155,0.12903,13,31,0.54117,2024-2025
Clayton Keller,UTA,R,81,30,60,90,-12,28,1147.0864,10,27,0,1,5,218,0.13761,20,53,0.33333,2024-2025
Dakota Mermis,UTA,D,4,0,1,1,-2,2,912.25,0,0,0,0,0,6,0.0,0,1,,2024-2025
Dylan Guenther,UTA,R,70,27,33,60,-4,26,1019.8285,12,17,0,3,9,204,0.13235,15,31,0.34482,2024-2025
Ian Cole,UTA,D,82,1,16,17,-2,77,1216.9268,0,0,0,0,0,66,0.01515,1,16,,2024-2025
Jack McBain,UTA,C,82,13,14,27,8,78,814.378,1,2,0,0,1,90,0.14444,12,24,0.49891,2024-2025
John Marino,UTA,D,35,1,13,14,1,2,1270.0285,0,0,0,0,0,30,0.03333,1,14,,2024-2025
Josh Doan,UTA,R,51,7,12,19,-2,8,811.1176,3,1,0,0,1,88,0.07954,4,15,0.41176,2024-2025
Juuso Välimäki,UTA,D,43,2,3,5,-5,14,993.186,0,0,0,0,0,40,0.05,2,5,,2024-2025
Kailer Yamamoto,UTA,R,12,2,1,3,-1,2,726.75,1,1,0,0,0,13,0.15384,1,1,1.0,2024-2025
Kevin Stenlund,UTA,C,82,14,14,28,-6,40,861.0609,0,0,1,0,1,102,0.13725,13,27,0.59108,2024-2025
Lawson Crouse,UTA,L,81,12,6,18,-4,39,823.7777,1,0,0,0,2,126,0.09523,11,17,0.46341,2024-2025
Liam O'Brien,UTA,C,28,0,2,2,1,50,557.8214,0,0,0,0,0,34,0.0,0,2,0.0,2024-2025
Logan Cooley,UTA,C,75,25,40,65,1,46,1071.68,7,13,0,0,2,158,0.15822,18,45,0.44736,2024-2025
Matias Maccelli,UTA,L,55,8,10,18,-13,8,823.709,0,3,0,0,0,86,0.09302,8,15,0.5,2024-2025
Maveric Lamoureux,UTA,D,15,1,2,3,3,42,967.4666,0,0,0,0,0,17,0.05882,1,3,,2024-2025
Michael Carcone,UTA,L,53,7,12,19,-7,36,685.9811,0,2,0,0,0,75,0.09333,7,17,0.5,2024-2025
Michael Kesselring,UTA,D,82,7,22,29,4,89,1061.1951,1,2,0,1,1,150,0.04666,6,26,,2024-2025
Mikhail Sergachev,UTA,D,77,15,38,53,-8,32,1507.0129,3,20,1,2,3,132,0.11363,11,29,,2024-2025
Nick Bjugstad,UTA,C,66,8,11,19,-2,16,738.9848,1,0,0,0,0,115,0.06956,7,18,0.47368,2024-2025
Nick DeSimone,UTA,D,20,1,5,6,4,0,934.95,0,0,0,0,0,24,0.04166,1,6,,2024-2025
Nick Schmaltz,UTA,C,82,20,43,63,-15,14,1115.2926,9,16,0,0,3,186,0.10752,11,38,0.49202,2024-2025
Olli Maatta,UTA,D,77,2,16,18,7,16,1173.2857,0,0,0,0,0,73,0.02739,2,18,,2024-2025
Robert Bortuzzo,UTA,D,17,0,2,2,-2,22,657.1764,0,0,0,0,0,8,0.0,0,2,,2024-2025
Sean Durzi,UTA,D,30,4,7,11,4,19,1238.8666,1,1,0,0,0,39,0.10256,3,9,,2024-2025
Vladislav Kolyachonok,UTA,D,35,2,5,7,-12,10,781.0285,0,0,0,0,1,20,0.1,2,7,,2024-2025
