Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Edstrom,NYR,C,35,3,2,5,1,2,567.6571,0,0,0,0,1,31,0.09677,3,5,0.33333,2025-2026
Adam Fox,NYR,D,51,8,42,50,7,18,1412.9019,4,18,0,0,1,83,0.09638,4,27,,2025-2026
Adam Sykora,NYR,L,7,3,1,4,1,5,708.0,0,0,0,0,0,9,0.33333,3,4,0.5,2025-2026
Alexis Lafrenière,NYR,L,78,22,31,53,-5,20,1051.2307,8,5,0,0,5,159,0.13836,14,40,0.25,2025-2026
Anton Blidh,NYR,L,4,0,1,1,1,0,462.25,0,0,0,0,0,4,0.0,0,1,,2025-2026
Artemi Panarin,NYR,L,72,27,53,80,-8,20,1255.9722,4,19,0,0,3,214,0.12616,23,57,1.0,2025-2026
Braden Schneider,NYR,D,78,2,16,18,0,26,1229.6666,0,0,0,0,0,97,0.02061,2,18,,2025-2026
Braden Schneider,NYR,D,78,2,16,18,0,26,1229.6666,0,0,0,0,0,97,0.02061,2,18,,2025-2026
Brendan Brisson,NYR,C,3,0,1,1,-1,0,635.3333,0,0,0,0,0,2,0.0,0,1,,2025-2026
Brennan Othmann,NYR,L,19,2,1,3,-8,11,600.1052,0,1,0,0,0,15,0.13333,2,2,0.0,2025-2026
Brett Berard,NYR,L,13,0,0,0,-1,6,632.5384,0,0,0,0,0,10,0.0,0,0,,2025-2026
Carson Soucy,NYR,D,72,5,7,12,-4,36,998.9166,0,0,0,0,0,60,0.08333,5,12,,2025-2026
Connor Mackey,NYR,D,3,0,0,0,-3,4,767.0,0,0,0,0,0,2,0.0,0,0,,2025-2026
Conor Sheary,NYR,L,58,7,10,17,3,14,853.0689,0,2,1,0,1,77,0.0909,6,14,0.53333,2025-2026
Drew Fortescue,NYR,D,6,0,1,1,6,4,912.5,0,0,0,0,0,3,0.0,0,1,,2025-2026
Gabe Perreault,NYR,R,45,10,15,25,1,10,960.7111,3,3,0,0,2,66,0.15151,7,19,0.5,2025-2026
J.T. Miller,NYR,C,64,17,33,50,-27,28,1214.6093,6,11,0,3,5,136,0.125,11,32,0.61483,2025-2026
Jaroslav Chmelar,NYR,R,24,4,2,6,-1,7,524.5,0,0,0,0,1,20,0.2,4,6,0.0,2025-2026
Jonny Brodzinski,NYR,C,52,6,10,16,0,12,668.4615,0,2,0,0,0,58,0.10344,6,14,0.5375,2025-2026
Justin Dowling,NYR,C,2,0,0,0,-1,0,431.5,0,0,0,0,0,1,0.0,0,0,0.33333,2025-2026
Juuso Parssinen,NYR,C,20,2,1,3,4,10,530.65,0,0,0,0,0,16,0.125,2,3,0.46666,2025-2026
Matt Rempe,NYR,C,26,1,0,1,-4,11,516.4615,0,0,0,0,0,15,0.06666,1,1,0.375,2025-2026
Matthew Robertson,NYR,D,68,5,12,17,-2,36,1050.147,0,0,0,1,2,77,0.06493,5,17,,2025-2026
Mika Zibanejad,NYR,C,77,33,42,75,-17,14,1254.1298,15,18,2,0,3,207,0.15942,16,40,0.52203,2025-2026
Noah Laba,NYR,C,70,9,14,23,4,31,809.4571,3,2,0,0,1,69,0.13043,6,18,0.50638,2025-2026
Sam Carrick,NYR,C,73,9,7,16,2,65,628.2191,0,0,0,0,1,75,0.12,9,15,0.54814,2025-2026
Scott Morrow,NYR,D,29,0,6,6,-5,4,940.1379,0,2,0,0,0,24,0.0,0,4,,2025-2026
Taylor Raddysh,NYR,R,67,9,10,19,5,12,713.1791,0,1,1,0,0,52,0.17307,8,17,0.2,2025-2026
Tye Kartye,NYR,L,60,6,13,19,-6,32,710.0166,0,0,0,0,0,51,0.11764,6,19,0.25,2025-2026
Urho Vaakanainen,NYR,D,33,0,6,6,0,14,828.0909,0,0,0,0,0,22,0.0,0,6,,2025-2026
Vincent Iorio,NYR,D,27,0,3,3,-4,12,944.2222,0,0,0,0,0,15,0.0,0,3,,2025-2026
Vincent Trocheck,NYR,C,63,16,36,52,-14,56,1237.5079,2,13,2,0,1,108,0.14814,12,35,0.56923,2025-2026
Vladislav Gavrikov,NYR,D,78,14,20,34,-8,48,1424.423,3,3,0,1,1,111,0.12612,11,27,,2025-2026
Will Borgen,NYR,D,71,5,10,15,3,39,1088.9295,0,0,0,0,2,68,0.07352,5,15,,2025-2026
Will Cuylle,NYR,L,78,20,17,37,-11,59,1016.8846,4,4,0,1,1,153,0.13071,16,29,0.48837,2025-2026
