Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Anthony Cirelli,TB,C,62,19,42,61,23.0,48,22:45,9,14,175,10.9,,,,,,0,0,0.0
Boris Katchouk,TB,LW,1,0,0,0,1.0,0,16:45,0,0,1,0.0,,,,,,0,0,0.0
Brandon Hagel,TB,LW,69,31,41,72,11.0,51,20:06,8,19,182,17.0,,,,,,3,0,0.0
Brayden Point,TB,C,61,19,29,48,30.0,42,17:12,3,1,111,17.1,,,,,,0,0,0.0
Charle-Edouard D'Astous,TB,D,62,10,11,21,4.0,23,13:28,0,0,78,12.8,,,,,,0,0,0.0
Conor Geekie,TB,C,29,0,2,2,1.0,92,5:58,0,0,17,0.0,,,,,,0,0,0.0
Corey Perry RW *,TB,,22,2,1,3,2.0,21,8:24,0,0,11,18.2,,,,,,0,0,0.0
Curtis Douglas,TB,C,38,1,2,3,5.0,23,14:37,0,0,29,3.4,,,,,,0,0,0.0
Darren Raddysh,TB,D,64,32,35,67,33.0,54,19:37,4,6,185,17.3,,,,,,0,0,0.0
Declan Carlile,TB,D,9,2,1,3,0.0,7,12:10,0,1,7,28.6,,,,,,0,0,0.0
Dominic James,TB,C,33,1,16,17,-1.0,10,18:52,0,6,50,2.0,,,,,,0,0,0.0
Emil Lilleberg,TB,D,48,1,8,9,4.0,54,17:56,0,0,38,2.6,,,,,,0,0,0.0
Erik Cernak,TB,D,34,1,9,10,7.0,40,15:59,0,0,44,2.3,,,,,,0,0,0.0
Gage Goncalves,TB,C,67,7,20,27,43.0,60,21:43,0,1,98,7.1,,,,,,0,0,0.0
J.J. Moser,TB,D,69,11,18,29,-13.0,10,13:59,9,5,119,9.2,,,,,,0,0,0.0
Jack Finley,TB,C,18,1,3,4,0.0,80,7:49,0,0,9,11.1,,,,,,0,0,0.0
Jake Guentzel,TB,C,65,40,79,119,45.0,44,20:20,7,27,201,19.9,,,,,,3,2,66.7
Jakob Pelletier,TB,LW,7,0,0,0,0.0,4,9:29,0,0,8,0.0,,,,,,0,0,0.0
Maxim Groshev,TB,D,10,0,1,1,1.0,2,11:20,0,0,3,0.0,,,,,,0,0,0.0
Maxwell Crozier,TB,D,39,6,6,12,-11.0,18,13:56,1,1,51,11.8,,,,,,0,0,0.0
Mitchell Chaffee,TB,RW,2,0,1,1,1.0,0,11:30,0,0,1,0.0,,,,,,0,0,0.0
Nick Paul,TB,LW,36,6,8,14,12.0,4,19:21,0,0,32,18.8,,,,,,0,0,0.0
Oliver Bjorkstrand,TB,RW,51,16,29,45,10.0,12,18:08,5,5,103,15.5,,,,,,1,1,100.0
Pontus Holmberg,TB,RW,69,9,17,26,1.0,60,16:24,0,0,96,9.4,,,,,,0,0,0.0
Ryan McDonagh,TB,D,62,8,7,15,-1.0,29,14:48,0,0,81,9.9,,,,,,0,0,0.0
Scott Sabourin,TB,RW,37,2,4,6,9.0,45,16:51,0,0,30,6.7,,,,,,0,0,0.0
Simon Lundmark,TB,D,2,0,0,0,0.0,0,9:02,0,0,0,0.0,,,,,,0,0,0.0
Steven Santini,TB,D,11,0,2,2,-2.0,6,9:51,0,0,8,0.0,,,,,,0,0,0.0
Total,TB,,3,0,0,0,0.0,0,12:11,0,0,0,0.0,,,,,,0,0,0.0
Victor Hedman,TB,D,57,4,17,21,-7.0,80,18:51,0,2,63,6.3,,,,,,1,0,0.0
Yanni Gourde,TB,C,61,11,16,27,21.0,37,12:27,0,2,62,17.7,,,,,,2,2,100.0
Zemgus Girgensons,TB,C,43,7,8,15,4.0,8,12:14,0,0,56,12.5,,,,,,1,1,100.0
