Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexander Kerfoot,UTAH,C,74,4,14,18,-8.0,24,14:33,0,0,62,6.5,,,,,,0,0,0.0
Andrew Agozzino,UTAH,LW,25,0,1,1,-9.0,18,15:21,0,0,23,0.0,,,,,,0,0,0.0
Barrett Hayton,UTAH,C,75,9,16,25,11.0,84,13:50,0,0,106,8.5,,,,,,0,0,0.0
Brandon Tanev,UTAH,LW,13,1,3,4,3.0,9,20:53,0,1,21,4.8,,,,,,0,0,0.0
Daniil But,UTAH,LW,38,2,6,8,6.0,10,14:26,0,0,33,6.1,,,,,,0,0,0.0
Dmitri Simashev,UTAH,D,5,0,1,1,4.0,2,14:39,0,0,4,0.0,,,,,,0,0,0.0
Dylan Guenther,UTAH,RW,76,28,40,68,19.0,26,19:41,8,9,185,15.1,,,,,,0,0,0.0
Ian Cole,UTAH,D,67,10,15,25,3.0,54,15:07,4,2,119,8.4,,,,,,0,0,0.0
Jack McBain,UTAH,C,55,5,20,25,-13.0,50,19:38,0,4,74,6.8,,,,,,0,0,0.0
JJ Peterka,UTAH,RW,72,10,45,55,2.0,40,24:18,5,18,146,6.8,,,,,,0,0,0.0
John Marino,UTAH,D,48,22,16,38,6.0,26,17:15,6,2,92,23.9,,,,,,0,0,0.0
Kailer Yamamoto,UTAH,RW,76,3,19,22,17.0,50,18:15,0,0,57,5.3,,,,,,0,0,0.0
Kevin Rooney,UTAH,C,50,0,3,3,-15.0,50,9:22,0,0,34,0.0,,,,,,0,0,0.0
Kevin Stenlund,UTAH,C,76,5,16,21,31.0,22,19:51,0,0,82,6.1,,,,,,0,0,0.0
Lawson Crouse,UTAH,LW,76,23,21,44,8.0,28,15:59,3,2,145,15.9,,,,,,0,0,0.0
Liam O'Brien,UTAH,C,29,3,4,7,1.0,8,12:28,1,2,43,7.0,,,,,,0,0,0.0
Logan Cooley,UTAH,C,75,21,19,40,22.0,44,16:27,1,0,129,16.3,,,,,,0,0,0.0
MacKenzie Weegar D *,UTAH,,33,3,1,4,-5.0,43,9:03,0,0,27,11.1,,,,,,0,0,0.0
Maveric Lamoureux,UTAH,D,22,0,1,1,-5.0,2,12:10,0,0,10,0.0,,,,,,0,0,0.0
Michael Carcone,UTAH,LW,76,4,30,34,39.0,16,20:16,0,0,52,7.7,,,,,,0,0,0.0
Mikhail Sergachev,UTAH,D,74,38,29,67,7.0,28,17:20,8,13,229,16.6,,,,,,0,0,0.0
Nate Schmidt,UTAH,D,53,11,10,21,13.0,14,11:39,0,0,46,23.9,,,,,,0,0,0.0
Nick DeSimone,UTAH,D,28,5,5,10,-2.0,23,12:06,0,0,24,20.8,,,,,,0,0,0.0
Nick Schmaltz,UTAH,C,76,25,53,78,22.0,30,19:00,2,21,215,11.6,,,,,,0,0,0.0
Olli Maatta,UTAH,D,1,1,0,1,1.0,0,9:44,0,0,1,100.0,,,,,,0,0,0.0
Sean Durzi,UTAH,D,73,15,13,28,3.0,20,12:34,3,1,139,10.8,,,,,,0,0,0.0
Total,UTAH,,2,0,0,0,0.0,0,6:08,0,0,0,0.0,,,,,,0,0,0.0
