Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alexander Holtz,VGK,R,28,3,6,9,-1,10,688.8571,0,0,0,0,0,30,0.1,3,9,0.21428,2025-2026
Ben Hutton,VGK,D,53,6,9,15,3,19,880.9433,0,0,0,0,1,69,0.08695,6,15,,2025-2026
Braeden Bowman,VGK,R,54,8,18,26,-16,12,847.8703,2,2,0,0,2,75,0.10666,6,22,0.25,2025-2026
Brandon Saad,VGK,L,46,3,5,8,-8,14,805.5,0,0,0,0,0,73,0.04109,3,8,0.29032,2025-2026
Brayden McNabb,VGK,D,58,4,6,10,-3,22,1235.0344,0,0,0,0,1,75,0.05333,4,10,,2025-2026
Brett Howden,VGK,C,53,11,10,21,-9,39,883.7358,0,3,0,0,1,63,0.1746,11,18,0.5,2025-2026
Cole Reinhardt,VGK,L,55,4,5,9,-6,19,622.4909,0,0,0,0,1,41,0.09756,4,9,0.63636,2025-2026
Cole Smith,VGK,R,58,7,4,11,-6,40,807.7586,0,0,0,0,1,66,0.10606,7,10,0.3,2025-2026
Colton Sissons,VGK,C,61,6,5,11,-10,24,740.4754,0,2,0,0,2,70,0.08571,6,9,0.56806,2025-2026
Dylan Coghlan,VGK,D,3,0,0,0,1,2,903.3333,0,0,0,0,0,2,0.0,0,0,,2025-2026
Ivan Barbashev,VGK,L,77,22,36,58,15,12,973.0519,2,4,0,0,2,125,0.176,20,52,0.23076,2025-2026
Jack Eichel,VGK,C,69,25,57,82,15,16,1279.5942,0,25,1,2,5,242,0.1033,24,55,0.47497,2025-2026
Jaycob Megna,VGK,D,4,0,0,0,-5,2,637.25,0,0,0,0,0,1,0.0,0,0,,2025-2026
Jeremy Lauzon,VGK,D,63,1,12,13,-2,89,1035.2857,0,0,0,0,0,66,0.01515,1,13,,2025-2026
Jonas Rondbjerg,VGK,R,4,0,1,1,-2,0,724.75,0,0,0,0,0,6,0.0,0,1,,2025-2026
Kaedan Korczak,VGK,D,75,3,11,14,6,26,966.2933,0,0,0,0,0,57,0.05263,3,14,,2025-2026
Kai Uchacz,VGK,C,3,0,0,0,-1,5,731.0,0,0,0,0,0,2,0.0,0,0,0.46428,2025-2026
Keegan Kolesar,VGK,R,77,6,11,17,-17,55,691.6363,0,0,0,0,0,64,0.09375,6,16,0.38461,2025-2026
Mark Stone,VGK,R,55,24,43,67,20,9,1159.0,7,17,0,2,4,117,0.20512,17,42,0.28571,2025-2026
Mitch Marner,VGK,R,76,23,54,77,17,22,1201.9736,5,18,0,0,1,152,0.15131,18,53,0.40401,2025-2026
Nic Dowd,VGK,C,70,5,14,19,-4,69,882.1714,0,0,1,0,0,61,0.08196,4,18,0.4863,2025-2026
Noah Hanifin,VGK,D,66,3,22,25,-4,14,1356.5151,0,7,0,0,0,126,0.0238,3,18,,2025-2026
Pavel Dorofeyev,VGK,R,77,35,26,61,-3,24,1057.3896,19,10,0,0,4,217,0.16129,16,32,0.0,2025-2026
Raphael Lavoie,VGK,C,1,0,0,0,0,0,514.0,0,0,0,0,0,0,,0,0,0.0,2025-2026
Rasmus Andersson,VGK,D,76,16,27,43,1,69,1389.4868,6,7,1,0,0,164,0.09756,9,29,,2025-2026
Reilly Smith,VGK,R,67,13,9,22,-11,4,820.985,1,0,1,1,3,87,0.14942,11,20,0.32075,2025-2026
Shea Theodore,VGK,D,65,9,28,37,14,20,1381.5538,2,3,0,0,3,120,0.075,7,32,,2025-2026
Tanner Laczynski,VGK,C,10,0,5,5,0,4,646.2,0,1,0,0,0,12,0.0,0,4,0.48717,2025-2026
Tomas Hertl,VGK,C,77,24,31,55,-17,39,1029.4415,13,10,0,2,4,192,0.125,11,32,0.57947,2025-2026
William Karlsson,VGK,C,14,4,3,7,-1,4,908.7857,1,0,1,0,1,30,0.13333,2,5,0.57594,2025-2026
