Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aaron Bold,Edmonton Rush,G,18,0,10,10,2,0,0,0,20,6,2,0,0,0/0,-
Aaron Wilson,Buffalo Bandits,F,8,8,5,13,9,0,0,0,30,15,2,0,0,0/0,-
Adam Jones,Colorado Mammoth,F,13,39,26,65,6,0,0,0,65,31,18,0,0,0/0,-
Adrian Sorichetti,Edmonton Rush,D,4,3,2,5,2,0,0,0,4,4,1,0,0,0/0,-
AJ Masson,Toronto Rock,,2,0,0,0,0,0,0,0,8,0,1,0,0,2/5,40%
Alex Crepinsek,Minnesota Swarm,D,18,2,4,6,6,0,0,0,70,10,18,0,0,1/1,100%
Alex Gajic,Vancouver Stealth,F,5,3,13,16,4,0,0,0,15,12,1,0,0,0/0,-
Alex Turner,Edmonton Rush,F,3,2,1,3,0,0,0,0,7,8,0,0,0,0/0,-
Andrew McBride,Calgary Roughnecks,D,15,0,2,2,18,0,0,0,52,7,16,0,0,0/0,-
Andrew Suitor,Minnesota Swarm,F,18,9,10,19,73,0,0,0,106,28,31,0,0,8/39,21%
Andrew Watt,Buffalo Bandits,T,9,3,2,5,23,0,0,0,26,3,9,0,0,0/0,-
Angus Goodleaf,Rochester Knighthawks,G,16,0,1,1,0,0,0,0,2,0,0,0,0,0/0,-
Anthony Cosmo,Buffalo Bandits,G,18,0,10,10,2,0,0,0,16,5,2,0,0,0/0,-
Athan Iannucci,Colorado Mammoth,F,10,14,19,33,6,0,0,0,21,30,2,0,0,0/0,-
Bill Greer,Toronto Rock,D,13,1,5,6,6,0,0,0,51,5,17,0,0,0/0,-
Bill McGlone,Philadelphia Wings,F,2,1,3,4,0,0,0,0,2,3,0,0,0,0/0,-
Billy Dee Smith,Buffalo Bandits,D,13,0,2,2,29,0,0,0,24,1,9,0,0,0/0,-
Billy Hostrawser,Vancouver Stealth,D,19,1,5,6,62,0,0,0,56,7,11,0,0,0/0,-
Bob Snider,Colorado Mammoth,D,18,3,6,9,10,0,0,0,161,27,14,0,0,279/494,56%
