Rank,TeamCode,Team,W,L,PCT,GF,GA,DIFF
1,COL,Colorado Mammoth,11,5,0.688,185,159,26
2,VAN,Vancouver Warriors,11,5,0.688,175,153,22
3,SAS,Saskatchewan Rush,11,5,0.688,185,154,31
4,GA,Georgia Swarm,10,5,0.667,156,129,27
5,BUF,Buffalo Bandits,10,6,0.625,179,165,14
6,TOR,Toronto Rock,10,6,0.625,176,170,6
7,OTT,Ottawa Black Bears,8,8,0.5,173,181,-8
8,LV,Las Vegas Desert Dogs,7,8,0.467,184,188,-4
9,HFX,Halifax Thunderbirds,7,9,0.438,168,168,0
10,ROC,Rochester Knighthawks,6,9,0.4,181,197,-16
11,SD,San Diego Seals,6,9,0.4,146,154,-8
12,OSH,Oshawa FireWolves,5,11,0.313,160,190,-30
13,CGY,Calgary Roughnecks,4,12,0.25,164,190,-26
14,PHI,Philadelphia Wings,4,12,0.25,144,178,-34
