Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,247,387,634,242,0,0,0,1236,239,168,115,0
Calgary Roughnecks,18,194,300,494,190,0,0,0,1266,364,209,68,0
Colorado Mammoth,18,179,268,447,161,0,0,0,1082,338,176,93,0
Georgia Swarm,18,197,311,508,180,0,0,0,1228,284,168,88,0
Halifax Thunderbirds,18,197,329,526,217,0,0,0,1528,334,152,70,0
New York Riptide,18,224,356,580,205,0,0,0,1411,402,172,98,0
Oshawa Fire Wolves,19,191,294,485,211,0,0,0,1290,356,168,63,0
Panther City Lacrosse Club,19,198,291,489,184,0,0,0,1405,398,177,99,0
Philadelphia Wings,20,170,278,448,157,0,0,0,1281,293,172,96,0
Rochester Knighthawks,18,189,291,480,325,0,0,0,1333,329,145,90,0
San Diego Seals,19,217,343,560,262,0,0,0,1326,302,171,71,0
Saskatchewan Rush,18,196,305,501,208,0,0,0,1293,326,227,75,0
Toronto Rock,18,207,308,515,242,0,0,0,1406,271,223,82,0
Vancouver Warriors,18,199,314,513,181,0,0,0,1191,300,166,100,0
