Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Brian Reese,Baltimore Thunder,,8,0,2,2,21,0,0,0,14,0,0,0,0,0/0,-
Chris Sanderson,Baltimore Thunder,G,12,0,15,15,4,0,0,0,65,0,0,0,0,0/0,-
Dan Martin,Baltimore Thunder,,6,4,5,9,15,0,0,0,22,0,0,0,0,0/0,-
David Evans,Baltimore Thunder,,5,7,5,12,2,0,0,0,28,0,0,0,0,0/0,-
Doug Knight,Baltimore Thunder,,1,1,0,1,0,0,0,0,0,0,0,0,0,0/0,-
Eric Gervais,Baltimore Thunder,,8,1,2,3,18,0,0,0,24,0,0,0,0,0/0,-
Erik Miller,Baltimore Thunder,G,12,0,4,4,0,0,0,0,5,0,0,0,0,0/0,-
Gary Gait,Baltimore Thunder,,11,50,32,82,2,0,0,0,60,0,0,0,0,0/0,-
Hugh Donovan,Baltimore Thunder,,11,0,3,3,15,0,0,0,34,0,0,0,0,0/0,-
Jesse Hubbard,Baltimore Thunder,,8,14,14,28,2,0,0,0,37,0,0,0,0,0/0,-
Joe Hiltz,Baltimore Thunder,,12,34,46,80,6,0,0,0,57,0,0,0,0,0/0,-
John Fay,Baltimore Thunder,,7,2,10,12,6,0,0,0,30,0,0,0,0,0/0,-
John Tillman,Baltimore Thunder,,12,3,7,10,10,0,0,0,66,0,0,0,0,0/1,-
Kip Fulks,Baltimore Thunder,,7,7,5,12,16,0,0,0,27,0,0,0,0,0/0,-
Matt Clune,Baltimore Thunder,,5,6,7,13,4,0,0,0,11,0,0,0,0,0/0,-
Matt Shearer,Baltimore Thunder,,10,27,14,41,6,0,0,0,42,0,0,0,0,2/3,67%
Paul Cantabene,Baltimore Thunder,,12,17,23,40,34,0,0,0,119,0,0,0,0,118/211,56%
Quint Kessenich,Baltimore Thunder,,11,1,6,7,6,0,0,0,91,0,0,0,0,0/0,-
Rob Shek,Baltimore Thunder,,10,11,12,23,13,0,0,0,57,0,0,0,0,0/0,-
Rodney Tapp,Baltimore Thunder,,12,9,17,26,33,0,0,0,83,0,0,0,0,119/221,54%
Ryan Sanderson,Baltimore Thunder,,3,1,2,3,0,0,0,0,3,0,0,0,0,0/0,-
Tim Hormes,Baltimore Thunder,,12,14,8,22,2,0,0,0,38,0,0,0,0,0/0,-
Tom Ryan,Baltimore Thunder,,10,2,11,13,24,0,0,0,26,0,0,0,0,0/0,-
Werner Krueger,Baltimore Thunder,,1,0,0,0,0,0,0,0,6,0,0,0,0,1/1,100%
