Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aime Caines,Columbus Landsharks,F,9,4,6,10,12,0,0,0,40,0,0,0,0,0/0,-
Bruce Codd,Columbus Landsharks,D,13,5,7,12,4,0,0,0,60,0,0,0,0,0/0,-
Bryan Bendig,Columbus Landsharks,F,8,2,5,7,0,0,0,0,33,0,0,0,0,0/0,-
Chad Squire,Columbus Landsharks,,3,2,0,2,6,0,0,0,15,0,0,0,0,2/2,100%
Cory Kahoun,Columbus Landsharks,,14,3,2,5,13,0,0,0,40,0,0,0,0,2/5,40%
Curtis Palidwor,Columbus Landsharks,G,13,0,4,4,0,0,0,0,90,0,0,0,0,0/0,-
Darren Mutch,Columbus Landsharks,,8,0,1,1,14,0,0,0,12,0,0,0,0,0/0,-
Dean Cecconi,Columbus Landsharks,,1,0,0,0,2,0,0,0,3,0,0,0,0,0/0,-
Ian Rubel,Columbus Landsharks,D,10,0,0,0,12,0,0,0,19,0,0,0,0,0/0,-
Jamie Raffan,Columbus Landsharks,,14,4,7,11,44,0,0,0,86,0,0,0,0,0/2,-
Jason Henhawk,Columbus Landsharks,F,2,2,0,2,0,0,0,0,7,0,0,0,0,0/0,-
Kyle Arbuckle,Columbus Landsharks,F,13,6,4,10,11,0,0,0,55,0,0,0,0,0/0,-
Mark Goers,Columbus Landsharks,,8,0,0,0,24,0,0,0,37,0,0,0,0,73/123,59%
Marshall Abrams,Columbus Landsharks,D,14,1,4,5,18,0,0,0,115,0,0,0,0,7/19,37%
Mat Giles,Columbus Landsharks,F,14,13,6,19,32,0,0,0,76,0,0,0,0,27/60,45%
Matt McSweeny,Columbus Landsharks,,3,2,2,4,2,0,0,0,13,0,0,0,0,0/0,-
Mike Benedict,Columbus Landsharks,F,14,25,32,57,0,0,0,0,79,0,0,0,0,0/0,-
Nick Trudeau,Columbus Landsharks,F,14,0,0,0,46,0,0,0,66,0,0,0,0,0/0,-
Pat Campbell,Columbus Landsharks,G,12,0,5,5,2,0,0,0,73,0,0,0,0,0/0,-
Rory Graham,Columbus Landsharks,D,13,2,3,5,37,0,0,0,69,0,0,0,0,69/145,48%
Shane Wannamaker,Columbus Landsharks,,6,0,2,2,12,0,0,0,16,0,0,0,0,0/0,-
Todd Richard,Columbus Landsharks,,12,11,14,25,0,0,0,0,42,0,0,0,0,0/1,-
Tracey Kelusky,Columbus Landsharks,F,14,24,27,51,20,0,0,0,98,0,0,0,0,0/1,-
Wayne Burke,Columbus Landsharks,,8,4,2,6,2,0,0,0,22,0,0,0,0,8/17,47%
