Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Chris Panos,Philadelphia Wings,F,2,1,1,2,9,0,0,0,3,0,0,0,0,0/0,-
Chris Sanderson,Philadelphia Wings,G,6,0,3,3,2,0,0,0,15,0,0,0,0,0/0,-
Dallas Eliuk,Philadelphia Wings,G,14,0,4,4,2,0,0,0,119,0,0,0,0,0/0,-
Dan Radebaugh,Philadelphia Wings,F,12,0,4,4,23,0,0,0,30,0,0,0,0,0/0,-
Dave Stilley,Philadelphia Wings,D,12,0,6,6,28,0,0,0,56,0,0,0,0,6/18,33%
Greg Traynor,Philadelphia Wings,F,1,1,0,1,0,0,0,0,0,0,0,0,0,0/0,-
Jake Bergey,Philadelphia Wings,F,14,43,43,86,2,0,0,0,90,0,0,0,0,0/0,-
Jamie Hanford,Philadelphia Wings,D,14,1,8,9,44,0,0,0,62,0,0,0,0,112/217,52%
Jason Clark,Philadelphia Wings,F,14,18,28,46,4,0,0,0,69,0,0,0,0,0/0,-
Jay Jalbert,Philadelphia Wings,D,12,2,15,17,45,0,0,0,66,0,0,0,0,0/0,-
Jeff Ratcliffe,Philadelphia Wings,F,14,21,25,46,10,0,0,0,68,0,0,0,0,0/0,-
John Gagliardi,Philadelphia Wings,D,10,0,7,7,27,0,0,0,55,0,0,0,0,0/0,-
Kevin Finneran,Philadelphia Wings,F,14,23,39,62,11,0,0,0,54,0,0,0,0,0/0,-
Mark Millon,Philadelphia Wings,F,14,23,37,60,20,0,0,0,48,0,0,0,0,0/1,-
Mike Busza,Philadelphia Wings,F,11,5,5,10,10,0,0,0,56,0,0,0,0,0/0,-
Peter Jacobs,Philadelphia Wings,D,12,3,4,7,4,0,0,0,80,0,0,0,0,123/200,62%
Tom Marechek,Philadelphia Wings,F,13,48,31,79,14,0,0,0,62,0,0,0,0,0/0,-
Tom Phair,Philadelphia Wings,F,13,4,10,14,34,0,0,0,35,0,0,0,0,0/0,-
Tom Ryan,Philadelphia Wings,F,14,10,22,32,18,0,0,0,70,0,0,0,0,0/0,-
Tom Slate,Philadelphia Wings,F,14,2,12,14,6,0,0,0,61,0,0,0,0,0/0,-
