Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Billy LeFeuvre,New Jersey Storm,,15,20,10,30,16,0,0,0,79,0,0,0,0,1/2,50%
Blake Miller,New Jersey Storm,,2,1,2,3,9,0,0,0,8,0,0,0,0,0/0,-
Brad Reed,New Jersey Storm,,10,0,3,3,14,0,0,0,40,0,0,0,0,0/0,-
Bryan Bendig,New Jersey Storm,,12,16,13,29,4,0,0,0,67,0,0,0,0,0/0,-
Cam Bomberry,New Jersey Storm,,15,17,28,45,4,0,0,0,55,0,0,0,0,0/0,-
Chris Parkin,New Jersey Storm,,3,2,3,5,6,0,0,0,15,0,0,0,0,0/0,-
Clayton Barnes,New Jersey Storm,,9,4,7,11,19,0,0,0,19,0,0,0,0,0/0,-
Cory Leigh,New Jersey Storm,,16,7,5,12,6,0,0,0,87,0,0,0,0,0/0,-
Dallas Squire,New Jersey Storm,,8,7,8,15,2,0,0,0,18,0,0,0,0,0/0,-
Derek General,New Jersey Storm,G,10,0,1,1,4,0,0,0,50,0,0,0,0,0/0,-
Derek Graham,New Jersey Storm,,4,1,0,1,6,0,0,0,16,0,0,0,0,0/0,-
Gordon Purdie,New Jersey Storm,,7,1,5,6,2,0,0,0,55,0,0,0,0,4/7,57%
Grant Johnston,New Jersey Storm,,7,13,7,20,4,0,0,0,33,0,0,0,0,0/0,-
Hanley Holcomb,New Jersey Storm,,6,6,2,8,19,0,0,0,32,0,0,0,0,0/0,-
Jamie Hanford,New Jersey Storm,,16,7,9,16,36,0,0,0,51,0,0,0,0,233/425,55%
Joe Finstad,New Jersey Storm,,5,3,0,3,6,0,0,0,21,0,0,0,0,23/38,61%
Joe Teatro,New Jersey Storm,,5,6,4,10,4,0,0,0,14,0,0,0,0,0/0,-
Jordan Guindon,New Jersey Storm,,8,2,3,5,10,0,0,0,15,0,0,0,0,0/0,-
Kerry Susheski,New Jersey Storm,,11,11,2,13,52,0,0,0,46,0,0,0,0,0/0,-
Kevin Dance,New Jersey Storm,,7,0,1,1,17,0,0,0,44,0,0,0,0,0/0,-
Matt Panetta,New Jersey Storm,,16,21,18,39,16,0,0,0,75,0,0,0,0,0/0,-
Matt Roik,New Jersey Storm,G,13,0,4,4,4,0,0,0,72,0,0,0,0,0/0,-
Paul Talmo,New Jersey Storm,,15,2,3,5,22,0,0,0,61,0,0,0,0,0/0,-
Scott Stewart,New Jersey Storm,,16,18,16,34,0,0,0,0,89,0,0,0,0,0/0,-
Shawn Nadelen,New Jersey Storm,,13,5,11,16,6,0,0,0,70,0,0,0,0,0/0,-
Steve Sombrotto,New Jersey Storm,,14,4,9,13,12,0,0,0,90,0,0,0,0,0/1,-
Travis Kilgour,New Jersey Storm,,14,16,12,28,2,0,0,0,37,0,0,0,0,0/0,-
Troy Bonterre,New Jersey Storm,,2,0,0,0,2,0,0,0,6,0,0,0,0,0/0,-
