Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Leyshon,Ottawa Rebel,G,16,0,0,0,0,0,0,0,30,0,0,0,0,0/0,-
Brad Self,Ottawa Rebel,,10,12,14,26,0,0,0,0,41,0,0,0,0,0/0,-
Brandon Sanderson,Ottawa Rebel,,5,2,1,3,0,0,0,0,8,0,0,0,0,0/0,-
Bruce Codd,Ottawa Rebel,,16,4,11,15,6,0,0,0,101,0,0,0,0,0/0,-
Chris Konopliff,Ottawa Rebel,,5,2,8,10,4,0,0,0,18,0,0,0,0,0/0,-
Dan Marohl,Ottawa Rebel,,15,14,28,42,0,0,0,0,41,0,0,0,0,0/0,-
Eric Pacey,Ottawa Rebel,,13,3,5,8,11,0,0,0,45,0,0,0,0,0/0,-
Jamie Roy,Ottawa Rebel,,15,9,9,18,28,0,0,0,101,0,0,0,0,0/0,-
Jason Clark,Ottawa Rebel,,16,31,26,57,6,0,0,0,73,0,0,0,0,0/0,-
John Veltman,Ottawa Rebel,,10,2,1,3,8,0,0,0,30,0,0,0,0,0/0,-
Kevin Dostie,Ottawa Rebel,,15,21,13,34,2,0,0,0,81,0,0,0,0,2/4,50%
Kevin Howard,Ottawa Rebel,,16,30,25,55,4,0,0,0,65,0,0,0,0,0/0,-
Kevin Lunnie,Ottawa Rebel,,11,0,6,6,0,0,0,0,29,0,0,0,0,0/0,-
Kyle Laverty,Ottawa Rebel,,15,1,3,4,48,0,0,0,75,0,0,0,0,0/0,-
Lindsay Plunkett,Ottawa Rebel,,9,9,10,19,4,0,0,0,31,0,0,0,0,0/0,-
Marc Landriault,Ottawa Rebel,,12,2,6,8,0,0,0,0,19,0,0,0,0,0/0,-
Mat Giles,Ottawa Rebel,,16,34,26,60,25,0,0,0,72,0,0,0,0,10/17,59%
Matt Disher,Ottawa Rebel,G,16,0,8,8,5,0,0,0,95,0,0,0,0,0/0,-
Mike Henderson,Ottawa Rebel,,3,0,0,0,31,0,0,0,2,0,0,0,0,0/0,-
Ryan Painter,Ottawa Rebel,,6,3,2,5,8,0,0,0,16,0,0,0,0,4/6,67%
Scott Self,Ottawa Rebel,,16,4,9,13,15,0,0,0,90,0,0,0,0,142/329,43%
Shawn Zettel,Ottawa Rebel,,14,1,0,1,45,0,0,0,7,0,0,0,0,0/0,-
Stephen Evans,Ottawa Rebel,,12,8,13,21,18,0,0,0,62,0,0,0,0,0/0,-
Steve Fannell,Ottawa Rebel,,4,0,1,1,2,0,0,0,9,0,0,0,0,27/49,55%
