Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Blake Miller,Anaheim Storm,,3,0,5,5,0,0,0,0,16,0,0,0,0,0/0,-
Brad Reppert,Anaheim Storm,,2,0,0,0,0,0,0,0,4,0,0,0,0,0/0,-
Brian Kelly,Anaheim Storm,,5,0,1,1,4,0,0,0,22,0,0,0,0,1/1,100%
Brian O'Keefe,Anaheim Storm,,7,6,4,10,2,0,0,0,16,0,0,0,0,0/0,-
Cam Bergman,Anaheim Storm,,7,1,2,3,0,0,0,0,37,0,0,0,0,0/0,-
Casey Powell,Anaheim Storm,,15,27,41,68,14,0,0,0,82,0,0,0,0,0/0,-
Chad Wittman,Anaheim Storm,,9,6,12,18,6,0,0,0,25,0,0,0,0,0/0,-
Chris Panos,Anaheim Storm,,16,24,27,51,27,0,0,0,28,0,0,0,0,0/0,-
Chris Seller,Anaheim Storm,,16,18,8,26,14,0,0,0,66,0,0,0,0,0/0,-
Cory Leigh,Anaheim Storm,,5,1,1,2,4,0,0,0,21,0,0,0,0,0/0,-
Damien Davis,Anaheim Storm,,11,0,3,3,22,0,0,0,34,0,0,0,0,0/1,-
Darren Mutch,Anaheim Storm,,11,0,1,1,24,0,0,0,34,0,0,0,0,0/0,-
Gordon Purdie,Anaheim Storm,,10,1,3,4,4,0,0,0,45,0,0,0,0,93/200,46%
Jamie McKeracher,Anaheim Storm,,11,0,0,0,18,0,0,0,10,0,0,0,0,0/0,-
Joe Ghedina,Anaheim Storm,,10,2,3,5,9,0,0,0,41,0,0,0,0,123/223,55%
John Rosa,Anaheim Storm,,15,1,11,12,28,0,0,0,87,0,0,0,0,1/1,100%
Marc Morley,Anaheim Storm,,13,11,11,22,5,0,0,0,33,0,0,0,0,0/0,-
Matt Disher,Anaheim Storm,G,16,0,3,3,2,0,0,0,30,0,0,0,0,0/0,-
Matt Roik,Anaheim Storm,G,14,0,2,2,2,0,0,0,29,0,0,0,0,0/0,-
Michael Weitz,Anaheim Storm,,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Mike Laurano,Anaheim Storm,,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Mike Law,Anaheim Storm,,16,22,31,53,4,0,0,0,78,0,0,0,0,1/1,100%
Paul Talmo,Anaheim Storm,,12,0,2,2,10,0,0,0,38,0,0,0,0,0/0,-
Richard Morgan,Anaheim Storm,,14,12,13,25,8,0,0,0,40,0,0,0,0,0/0,-
Roy Colsey,Anaheim Storm,,10,12,10,22,8,0,0,0,40,0,0,0,0,0/0,-
Scott Hochstadt,Anaheim Storm,,2,0,0,0,4,0,0,0,6,0,0,0,0,0/0,-
Scott Stewart,Anaheim Storm,,16,23,26,49,6,0,0,0,75,0,0,0,0,15/31,48%
Stephen Evans,Anaheim Storm,,4,1,10,11,7,0,0,0,16,0,0,0,0,0/0,-
Teddy Jenner,Anaheim Storm,,10,4,5,9,4,0,0,0,36,0,0,0,0,0/0,-
Todd MacFarlane,Anaheim Storm,,3,0,1,1,0,0,0,0,5,0,0,0,0,0/0,-
Tom Phair,Anaheim Storm,,9,1,1,2,30,0,0,0,24,0,0,0,0,0/0,-
