Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Guindon,Arizona Sting,D,12,3,7,10,17,0,0,0,58,0,0,0,0,0/0,-
Andrew Lazore,Arizona Sting,F,3,2,3,5,0,0,0,0,7,0,0,0,0,0/0,-
Andy Secore,Arizona Sting,F,3,0,3,3,0,0,0,0,6,0,0,0,0,0/0,-
Bruce Codd,Arizona Sting,D,16,0,9,9,11,0,0,0,117,0,0,0,0,0/0,-
Bruce Murray,Arizona Sting,D,16,3,7,10,22,0,0,0,77,0,0,0,0,0/0,-
Chris McKay,Arizona Sting,F,13,1,7,8,4,0,0,0,86,0,0,0,0,0/0,-
Chris Seller,Arizona Sting,D,15,8,10,18,4,0,0,0,62,0,0,0,0,0/0,-
Craig Conn,Arizona Sting,F,15,44,23,67,42,0,0,0,91,0,0,0,0,0/0,-
Curt Malawsky,Arizona Sting,F,14,12,18,30,4,0,0,0,40,0,0,0,0,0/0,-
Dan Dawson,Arizona Sting,F,16,34,48,82,8,0,0,0,76,0,0,0,0,0/0,-
Darren Halls,Arizona Sting,D,12,1,3,4,16,0,0,0,42,0,0,0,0,39/102,38%
Greg Hinman,Arizona Sting,D,13,1,10,11,18,0,0,0,59,0,0,0,0,0/0,-
Jason Crosbie,Arizona Sting,F,16,18,37,55,13,0,0,0,56,0,0,0,0,13/51,25%
Jonas Derks,Arizona Sting,F,10,18,24,42,8,0,0,0,42,0,0,0,0,0/0,-
Lindsay Plunkett,Arizona Sting,F,13,17,25,42,8,0,0,0,41,0,0,0,0,0/0,-
Mark Cochrane,Arizona Sting,D,6,0,2,2,2,0,0,0,21,0,0,0,0,0/1,-
Matt Brown,Arizona Sting,F,16,16,19,35,6,0,0,0,47,0,0,0,0,0/0,-
Mike McLellan,Arizona Sting,F,1,0,0,0,2,0,0,0,0,0,0,0,0,0/0,-
Mike Miron,Arizona Sting,G,16,0,5,5,0,0,0,0,16,0,0,0,0,0/0,-
Pat Maddalena,Arizona Sting,F,15,24,34,58,6,0,0,0,58,0,0,0,0,0/0,-
Peter Lough,Arizona Sting,D,16,5,12,17,6,0,0,0,104,0,0,0,0,111/255,44%
Peter Veltman,Arizona Sting,F,30,13,32,45,90,0,0,0,154,0,0,0,0,68/119,57%
Rob Blasdell,Arizona Sting,G,15,0,5,5,0,0,0,0,18,0,0,0,0,0/0,-
Scott Self,Arizona Sting,D,16,1,17,18,8,0,0,0,86,0,0,0,0,0/0,-
