Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aaron Bold,Portland Lumber Jax,G,7,0,1,1,0,0,0,0,1,0,0,0,0,0/0,-
Adam Bysouth,Portland Lumber Jax,D,13,0,4,4,12,0,0,0,30,0,0,0,0,0/0,-
Brandon McKinnon,Portland Lumber Jax,D,1,0,0,0,7,0,0,0,2,0,0,0,0,0/0,-
Brodie Merrill,Portland Lumber Jax,D,16,17,32,49,33,0,0,0,214,0,0,0,0,8/24,33%
Bruce Alexander,Portland Lumber Jax,D,15,12,33,45,10,0,0,0,42,0,0,0,0,1/4,25%
Dallas Eliuk,Portland Lumber Jax,G,13,1,7,8,8,0,0,0,9,0,0,0,0,0/0,-
Damien Davis,Portland Lumber Jax,D,11,0,0,0,17,0,0,0,20,0,0,0,0,0/0,-
David Morgan,Portland Lumber Jax,D,6,1,1,2,6,0,0,0,6,0,0,0,0,0/0,-
Del Halladay,Portland Lumber Jax,F,16,18,20,38,11,0,0,0,66,0,0,0,0,0/0,-
Luke Forget,Portland Lumber Jax,D,14,3,6,9,17,0,0,0,81,0,0,0,0,0/0,-
Matt Dwane,Portland Lumber Jax,D,13,9,7,16,18,0,0,0,57,0,0,0,0,0/0,-
Matt King,Portland Lumber Jax,G,12,0,3,3,0,0,0,0,6,0,0,0,0,0/0,-
Mike Hominuck,Portland Lumber Jax,F,15,28,25,53,8,0,0,0,68,0,0,0,0,0/0,-
Pat Jones,Portland Lumber Jax,D,11,0,4,4,14,0,0,0,44,0,0,0,0,128/294,44%
Peter Morgan,Portland Lumber Jax,F,16,25,29,54,0,0,0,0,58,0,0,0,0,0/0,-
Ray Guze,Portland Lumber Jax,D,13,1,3,4,44,0,0,0,55,0,0,0,0,0/0,-
Richard Morgan,Portland Lumber Jax,F,15,10,11,21,28,0,0,0,75,0,0,0,0,0/1,-
Ryan Marshall,Portland Lumber Jax,F,11,2,9,11,13,0,0,0,28,0,0,0,0,0/2,-
Ryan Powell,Portland Lumber Jax,F,13,12,26,38,8,0,0,0,46,0,0,0,0,0/0,-
Ryan Sharp,Portland Lumber Jax,D,16,16,14,30,42,0,0,0,137,0,0,0,0,1/1,100%
Ryder Bateman,Portland Lumber Jax,F,12,9,9,18,19,0,0,0,52,0,0,0,0,37/101,37%
Scott Stewart,Portland Lumber Jax,F,5,3,2,5,0,0,0,0,13,0,0,0,0,0/0,-
Shawn Cable,Portland Lumber Jax,F,13,9,16,25,15,0,0,0,42,0,0,0,0,0/0,-
Ted Dowling,Portland Lumber Jax,F,5,8,7,15,4,0,0,0,22,0,0,0,0,0/0,-
Tom Montour,Portland Lumber Jax,F,10,5,11,16,6,0,0,0,32,0,0,0,0,2/8,25%
