Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Burkholder,Rochester Knighthawks,F,7,6,7,13,0,0,0,0,15,0,0,0,0,0/0,-
Bill Greer,Rochester Knighthawks,F,6,1,1,2,8,0,0,0,23,0,0,0,0,0/0,-
Brian Croswell,Rochester Knighthawks,F,4,1,2,3,0,0,0,0,8,0,0,0,0,0/0,-
Carter Livingstone,Rochester Knighthawks,D,9,0,3,3,6,0,0,0,24,0,0,0,0,0/0,-
Chris Schiller,Rochester Knighthawks,D,16,2,4,6,15,0,0,0,90,0,0,0,0,0/0,-
Grant Crawley,Rochester Knighthawks,G,16,0,1,1,0,0,0,0,2,0,0,0,0,0/0,-
John Grant Jr.,Rochester Knighthawks,F,16,54,43,97,22,0,0,0,86,0,0,0,0,0/0,-
Ken Millin,Rochester Knighthawks,F,11,4,12,16,0,0,0,0,20,0,0,0,0,0/0,-
Marshall Abrams,Rochester Knighthawks,D,11,0,2,2,25,0,0,0,53,0,0,0,0,0/0,-
Mike Accursi,Rochester Knighthawks,F,16,27,36,63,10,0,0,0,61,0,0,0,0,2/7,29%
Mike Hasen,Rochester Knighthawks,D,16,3,3,6,6,0,0,0,73,0,0,0,0,0/0,-
Pat Cougevan,Rochester Knighthawks,D,4,0,1,1,4,0,0,0,3,0,0,0,0,0/0,-
Pat Dutton,Rochester Knighthawks,F,10,4,7,11,4,0,0,0,39,0,0,0,0,0/0,-
Pat O'Toole,Rochester Knighthawks,G,16,0,12,12,0,0,0,0,20,0,0,0,0,0/0,-
Regy Thorpe,Rochester Knighthawks,D,16,1,4,5,29,0,0,0,61,0,0,0,0,5/11,45%
Ryan O'Connor,Rochester Knighthawks,F,7,5,6,11,11,0,0,0,7,0,0,0,0,0/0,-
Sandy Chapman,Rochester Knighthawks,F,11,1,5,6,4,0,0,0,32,0,0,0,0,0/0,-
Scott Ditzell,Rochester Knighthawks,D,15,2,2,4,34,0,0,0,49,0,0,0,0,0/0,-
Scott Evans,Rochester Knighthawks,F,16,22,48,70,55,0,0,0,81,0,0,0,0,0/0,-
Shawn Evans,Rochester Knighthawks,F,15,21,16,37,59,0,0,0,110,0,0,0,0,0/1,-
Shawn Williams,Rochester Knighthawks,F,16,31,49,80,14,0,0,0,68,0,0,0,0,0/0,-
Stephen Hoar,Rochester Knighthawks,D,16,3,5,8,35,0,0,0,94,0,0,0,0,221/408,54%
Steve Penny,Rochester Knighthawks,D,8,0,1,1,8,0,0,0,24,0,0,0,0,0/0,-
Steve Toll,Rochester Knighthawks,D,16,14,18,32,6,0,0,0,119,0,0,0,0,4/15,27%
