Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aaron Wilson,Toronto Rock,F,16,37,34,71,17,0,0,0,110,0,0,0,0,0/0,-
Blaine Manning,Toronto Rock,F,16,21,56,77,2,0,0,0,56,0,0,0,0,0/1,-
Bob Watson,Toronto Rock,G,16,0,5,5,2,0,0,0,9,0,0,0,0,0/0,-
Brad MacArthur,Toronto Rock,D,14,0,0,0,15,0,0,0,51,0,0,0,0,36/98,37%
Bryan Riddell,Toronto Rock,D,6,1,3,4,8,0,0,0,33,0,0,0,0,70/141,50%
Chad Thompson,Toronto Rock,D,16,14,10,24,11,0,0,0,56,0,0,0,0,0/0,-
Chris Driscoll,Toronto Rock,T,16,12,16,28,14,0,0,0,91,0,0,0,0,0/1,-
Dan Ladouceur,Toronto Rock,D,10,0,2,2,21,0,0,0,30,0,0,0,0,0/0,-
Derek Suddons,Toronto Rock,D,16,2,7,9,6,0,0,0,55,0,0,0,0,0/0,-
Ian Rubel,Toronto Rock,D,14,0,2,2,10,0,0,0,23,0,0,0,0,0/0,-
Jamie Taylor,Toronto Rock,F,1,0,0,0,0,0,0,0,4,0,0,0,0,0/0,-
Jim Veltman,Toronto Rock,T,13,3,34,37,10,0,0,0,143,0,0,0,0,0/0,-
Josh Sanderson,Toronto Rock,F,16,31,54,85,10,0,0,0,78,0,0,0,0,0/0,-
Kevin Fines,Toronto Rock,D,13,15,7,22,21,0,0,0,30,0,0,0,0,0/1,-
Matt Carroll,Toronto Rock,D,6,0,3,3,6,0,0,0,21,0,0,0,0,0/0,-
Matt Shearer,Toronto Rock,F,9,9,10,19,4,0,0,0,19,0,0,0,0,0/0,-
Mike MacLeod,Toronto Rock,,1,0,0,0,0,0,0,0,4,0,0,0,0,0/0,-
Mike Poulin,Toronto Rock,G,16,0,0,0,0,0,0,0,3,0,0,0,0,0/0,-
Patrick Merrill,Toronto Rock,D,13,0,10,10,53,0,0,0,57,0,0,0,0,72/181,40%
Phil Sanderson,Toronto Rock,D,15,5,5,10,6,0,0,0,110,0,0,0,0,5/16,31%
Rob Marshall,Toronto Rock,D,15,3,4,7,19,0,0,0,88,0,0,0,0,0/0,-
Ryan Benesch,Toronto Rock,F,15,33,25,58,6,0,0,0,64,0,0,0,0,0/0,-
Scott Campbell,Toronto Rock,D,11,0,4,4,21,0,0,0,31,0,0,0,0,0/0,-
Sean Kimpinski,Toronto Rock,F,2,0,0,0,0,0,0,0,2,0,0,0,0,0/0,-
Tim O'Brien,Toronto Rock,F,3,0,0,0,7,0,0,0,1,0,0,0,0,0/0,-
