Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
AJ Shannon,Edmonton Rush,F,16,22,18,40,2,0,0,0,55,0,0,0,0,0/0,-
Andrew Martin,Edmonton Rush,D,4,0,0,0,4,0,0,0,9,0,0,0,0,0/0,-
Ben Prepchuk,Edmonton Rush,F,8,5,14,19,2,0,0,0,21,0,0,0,0,0/0,-
Brenden Thenhaus,Edmonton Rush,F,10,3,7,10,4,0,0,0,41,0,0,0,0,0/1,-
Buck Stobart,Edmonton Rush,D,14,2,5,7,44,0,0,0,60,0,0,0,0,5/16,31%
Cam Bergman,Edmonton Rush,T,8,0,5,5,2,0,0,0,42,0,0,0,0,0/0,-
Chris Gill,Edmonton Rush,F,13,18,12,30,14,0,0,0,38,0,0,0,0,0/0,-
Chris McElroy,Edmonton Rush,T,16,4,3,7,29,0,0,0,101,0,0,0,0,0/0,-
Chris McKay,Edmonton Rush,F,7,2,4,6,34,0,0,0,56,0,0,0,0,0/0,-
Chris Seller,Edmonton Rush,T,14,6,8,14,11,0,0,0,55,0,0,0,0,0/1,-
Cory Melville,Edmonton Rush,T,2,0,0,0,2,0,0,0,9,0,0,0,0,0/0,-
Curtis Palidwor,Edmonton Rush,G,16,0,7,7,0,0,0,0,9,0,0,0,0,0/0,-
Dan Stroup,Edmonton Rush,F,16,21,21,42,8,0,0,0,63,0,0,0,0,0/0,-
Dan Teat,Edmonton Rush,F,19,16,35,51,4,0,0,0,61,0,0,0,0,0/1,-
Darren Hillier,Edmonton Rush,T,5,1,2,3,0,0,0,0,6,0,0,0,0,0/0,-
Ian Crashley,Edmonton Rush,D,12,2,3,5,21,0,0,0,51,0,0,0,0,0/1,-
Ian Hawksbee,Edmonton Rush,D,16,0,10,10,47,0,0,0,123,0,0,0,0,0/0,-
Jim Quinlan,Edmonton Rush,F,16,22,31,53,23,0,0,0,76,0,0,0,0,0/0,-
Kevin Olson,Edmonton Rush,F,2,1,0,1,0,0,0,0,8,0,0,0,0,0/0,-
Kris Hartzell,Edmonton Rush,D,1,0,0,0,0,0,0,0,3,0,0,0,0,0/0,-
Kurtis Wagar,Edmonton Rush,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Kyle Goundrey,Edmonton Rush,F,12,8,10,18,2,0,0,0,31,0,0,0,0,0/0,-
Mac Allen,Edmonton Rush,D,5,0,0,0,12,0,0,0,6,0,0,0,0,53/105,50%
Matt Disher,Edmonton Rush,G,13,0,4,4,0,0,0,0,14,0,0,0,0,0/0,-
Matt King,Edmonton Rush,G,17,0,1,1,5,0,0,0,22,0,0,0,0,0/0,-
Mike Accursi,Edmonton Rush,F,13,17,25,42,6,0,0,0,54,0,0,0,0,56/116,48%
Mike Grimes,Edmonton Rush,D,16,5,9,14,20,0,0,0,74,0,0,0,0,0/3,-
Mike Hominuck,Edmonton Rush,F,16,21,33,54,4,0,0,0,76,0,0,0,0,0/0,-
Peter Gut,Edmonton Rush,D,6,0,1,1,0,0,0,0,23,0,0,0,0,0/1,-
Randy Daly,Edmonton Rush,F,7,2,6,8,7,0,0,0,20,0,0,0,0,0/0,-
Rob Williams,Edmonton Rush,D,11,0,1,1,0,0,0,0,22,0,0,0,0,66/175,38%
Rory Glaves,Edmonton Rush,D,12,1,1,2,2,0,0,0,29,0,0,0,0,1/1,100%
Steve Hutchins,Edmonton Rush,F,6,3,6,9,11,0,0,0,15,0,0,0,0,0/0,-
Troy Bonterre,Edmonton Rush,D,10,0,1,1,18,0,0,0,20,0,0,0,0,0/0,-
