Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew McBride,Calgary Roughnecks,D,15,0,2,2,18,0,0,0,52,7,16,0,0,0/0,-
Cody Hawkins,Calgary Roughnecks,,1,0,1,1,2,0,0,0,0,1,0,0,0,0/0,-
Curtis Dickson,Calgary Roughnecks,F,18,44,28,72,8,0,0,0,46,52,4,0,0,0/0,-
Curtis Manning,Calgary Roughnecks,D,13,4,7,11,10,0,0,0,69,11,15,0,0,0/0,-
Dan MacRae,Calgary Roughnecks,D,16,7,8,15,8,0,0,0,73,7,21,0,0,0/0,-
Dane Dobbie,Calgary Roughnecks,F,18,51,39,90,22,0,0,0,32,52,1,0,0,0/0,-
Daryl Veltman,Calgary Roughnecks,F,18,20,41,61,0,0,0,0,35,20,2,0,0,0/0,-
Frank Scigliano,Calgary Roughnecks,G,18,0,1,1,0,0,0,0,0,0,1,0,0,0/0,-
Garrett McIntosh,Calgary Roughnecks,D,18,3,6,9,20,0,0,0,33,1,8,0,0,3/6,50%
Geoff Snider,Calgary Roughnecks,D,18,17,16,33,45,0,0,0,209,60,18,0,0,317/493,64%
Greg Harnett,Calgary Roughnecks,F,18,1,4,5,17,0,0,0,35,8,8,0,0,0/0,-
Jeff Shattler,Calgary Roughnecks,F,18,35,49,84,10,0,0,0,71,41,2,0,0,0/0,-
Jon Harnett,Calgary Roughnecks,D,18,2,14,16,26,0,0,0,84,8,15,0,0,0/0,-
Karsen Leung,Calgary Roughnecks,T,18,11,18,29,14,0,0,0,93,12,13,0,0,0/0,-
Matthew Dinsdale,Calgary Roughnecks,,14,6,11,17,6,0,0,0,19,10,3,0,0,8/23,35%
Mike Carnegie,Calgary Roughnecks,D,13,1,2,3,18,0,0,0,32,8,13,0,0,0/0,-
Mike Poulin,Calgary Roughnecks,G,18,0,13,13,0,0,0,0,13,10,2,0,0,0/0,-
Peter McFetridge,Calgary Roughnecks,D,8,0,5,5,2,0,0,0,27,5,5,0,0,0/0,-
Scott Ranger,Calgary Roughnecks,F,9,6,15,21,0,0,0,0,21,12,0,0,0,0/0,-
Shawn Evans,Calgary Roughnecks,F,18,26,79,105,8,0,0,0,89,71,13,0,0,0/0,-
Tor Reinholdt,Calgary Roughnecks,T,9,3,2,5,14,0,0,0,22,12,6,0,0,0/0,-
Travis Cornwall,Calgary Roughnecks,T,10,0,4,4,9,0,0,0,29,4,3,0,0,0/0,-
