Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Alex Crepinsek,Minnesota Swarm,D,18,2,4,6,6,0,0,0,70,10,18,0,0,1/1,100%
Andrew Suitor,Minnesota Swarm,F,18,9,10,19,73,0,0,0,106,28,31,0,0,8/39,21%
Brock Sorensen,Minnesota Swarm,D,18,6,3,9,18,0,0,0,73,12,17,0,0,0/0,-
Callum Crawford,Minnesota Swarm,F,18,26,54,80,8,0,0,0,92,54,11,0,0,0/0,-
Cam Flint,Minnesota Swarm,T,11,1,1,2,13,0,0,0,33,2,9,0,0,0/0,-
Corbyn Tao,Minnesota Swarm,F,1,0,1,1,0,0,0,0,1,0,0,0,0,0/1,-
Dane Stevens,Minnesota Swarm,F,4,1,4,5,0,0,0,0,8,6,2,0,0,0/0,-
David Earl,Minnesota Swarm,F,15,3,11,14,2,0,0,0,89,6,23,0,0,0/0,-
Greg Downing,Minnesota Swarm,D,18,3,5,8,18,0,0,0,69,8,28,0,0,0/0,-
Jason Noble,Minnesota Swarm,D,17,0,1,1,10,0,0,0,71,11,24,0,0,0/0,-
Jeff Gilbert,Minnesota Swarm,D,18,2,8,10,20,0,0,0,105,16,23,0,0,0/0,-
Jordan Houtby,Minnesota Swarm,D,6,0,2,2,0,0,0,0,15,0,5,0,0,0/0,-
Jordan MacIntosh,Minnesota Swarm,F,18,23,38,61,14,0,0,0,204,52,25,0,0,198/430,46%
Josh Gillam,Minnesota Swarm,F,16,13,15,28,2,0,0,0,57,24,1,0,0,0/0,-
Kiel Matisz,Minnesota Swarm,F,18,22,14,36,13,0,0,0,46,26,7,0,0,0/0,-
Logan Schuss,Minnesota Swarm,F,18,36,37,73,9,0,0,0,77,40,4,0,0,0/0,-
Mike Hobbins,Minnesota Swarm,,8,1,4,5,0,0,0,0,25,1,7,0,0,0/0,-
Scott Jones,Minnesota Swarm,F,16,6,15,21,2,0,0,0,23,14,1,0,0,0/0,-
Shayne Jackson,Minnesota Swarm,F,18,18,33,51,9,0,0,0,56,19,1,0,0,0/0,-
Tyler Carlson,Minnesota Swarm,G,18,0,5,5,0,0,0,0,2,5,1,0,0,0/0,-
Tyler Hass,Minnesota Swarm,F,14,8,3,11,35,0,0,0,63,6,13,0,0,0/0,-
Zach Higgins,Minnesota Swarm,G,18,0,2,2,0,0,0,0,4,1,1,0,0,0/0,-
